DATES,STX
29/06/2026,4073.902099609375
26/06/2026,4027.264892578125
25/06/2026,4120.28076171875
24/06/2026,4110.81298828125
23/06/2026,4106.2509765625
22/06/2026,4163.09716796875
18/06/2026,4090.48095703125
17/06/2026,4108.076171875
16/06/2026,4091.89208984375
15/06/2026,4096.47216796875
12/06/2026,4031.512939453125
11/06/2026,3987.014892578125
10/06/2026,3993.22607421875
09/06/2026,4010.031005859375
08/06/2026,3959.337890625
05/06/2026,4027.736083984375
04/06/2026,4057.781005859375
03/06/2026,4083.97412109375
02/06/2026,4075.10205078125
01/06/2026,4057.739990234375
29/05/2026,4068.569091796875
28/05/2026,4098.63623046875
27/05/2026,4093.72705078125
26/05/2026,4145.373046875
25/05/2026,4152.56787109375
22/05/2026,4112.89892578125
21/05/2026,4077.277099609375
20/05/2026,4162.18505859375
19/05/2026,4169.5380859375
18/05/2026,4131.52783203125
15/05/2026,4135.38916015625
14/05/2026,4177.9169921875
13/05/2026,4242.57177734375
12/05/2026,4214.48876953125
11/05/2026,4225.02099609375
08/05/2026,4179.953125
07/05/2026,4180.091796875
06/05/2026,4160.173828125
30/04/2026,4112.1591796875
29/04/2026,4107.51416015625
28/04/2026,4078.636962890625
27/04/2026,4086.343994140625
24/04/2026,4079.89990234375
23/04/2026,4093.25
22/04/2026,4106.2578125
21/04/2026,4085.076904296875
20/04/2026,4082.126953125
17/04/2026,4051.425048828125
16/04/2026,4055.547119140625
15/04/2026,4027.208984375
14/04/2026,4026.625
13/04/2026,3988.55810546875
10/04/2026,3986.22509765625
09/04/2026,3966.1708984375
08/04/2026,3994.998046875
07/04/2026,3890.1650390625
03/04/2026,3880.096923828125
02/04/2026,3919.284912109375
01/04/2026,3948.552001953125
31/03/2026,3891.861083984375
30/03/2026,3923.287109375
27/03/2026,3913.72412109375
26/03/2026,3889.0830078125
25/03/2026,3931.8369140625
24/03/2026,3881.280029296875
23/03/2026,3813.282958984375
20/03/2026,3957.052978515625
19/03/2026,4006.552001953125
18/03/2026,4062.98388671875
17/03/2026,4049.906982421875
16/03/2026,4084.785888671875
13/03/2026,4095.447998046875
12/03/2026,4129.10302734375
11/03/2026,4133.43310546875
10/03/2026,4123.13818359375
