DATES,GDP
01/03/1993,0.153
01/06/1993,0.135
01/09/1993,0.129
01/12/1993,0.141
01/03/1994,0.141
01/06/1994,0.133
01/09/1994,0.131
01/12/1994,0.12
01/03/1995,0.119
01/06/1995,0.11
01/09/1995,0.104
01/12/1995,0.108
01/03/1996,0.109
01/06/1996,0.094
01/09/1996,0.092
01/12/1996,0.103
01/03/1997,0.1009999999999999
01/06/1997,0.1
01/09/1997,0.086
01/12/1997,0.086
01/03/1998,0.073
01/06/1998,0.069
01/09/1998,0.078
01/12/1998,0.091
01/03/1999,0.089
01/06/1999,0.079
01/09/1999,0.076
01/12/1999,0.067
01/03/2000,0.087
01/06/2000,0.091
01/09/2000,0.088
01/12/2000,0.075
01/03/2001,0.095
01/06/2001,0.086
01/09/2001,0.08
01/12/2001,0.075
01/03/2002,0.089
01/06/2002,0.088
01/09/2002,0.096
01/12/2002,0.091
01/03/2003,0.111
01/06/2003,0.091
01/09/2003,0.1
01/12/2003,0.1
01/03/2004,0.106
01/06/2004,0.1159999999999999
01/09/2004,0.098
01/12/2004,0.088
01/03/2005,0.111
01/06/2005,0.111
01/09/2005,0.108
01/12/2005,0.124
01/03/2006,0.125
01/06/2006,0.1369999999999999
01/09/2006,0.122
01/12/2006,0.125
01/03/2007,0.138
01/06/2007,0.15
01/09/2007,0.143
01/12/2007,0.139
01/03/2008,0.115
01/06/2008,0.109
01/09/2008,0.095
01/12/2008,0.071
01/03/2009,0.064
01/06/2009,0.0819999999999999
01/09/2009,0.106
01/12/2009,0.119
01/03/2010,0.122
01/06/2010,0.108
01/09/2010,0.099
01/12/2010,0.099
01/03/2011,0.102
01/06/2011,0.1
01/09/2011,0.094
01/12/2011,0.088
01/03/2012,0.081
01/06/2012,0.077
01/09/2012,0.075
01/12/2012,0.081
01/03/2013,0.079
01/06/2013,0.076
01/09/2013,0.079
01/12/2013,0.077
01/03/2014,0.075
01/06/2014,0.076
01/09/2014,0.072
01/12/2014,0.073
01/03/2015,0.071
01/06/2015,0.071
01/09/2015,0.07
01/12/2015,0.069
01/03/2016,0.069
01/06/2016,0.068
01/09/2016,0.068
01/12/2016,0.069
01/03/2017,0.07
01/06/2017,0.07
01/09/2017,0.069
01/12/2017,0.068
01/03/2018,0.069
01/06/2018,0.069
01/09/2018,0.067
01/12/2018,0.065
01/03/2019,0.063
01/06/2019,0.06
01/09/2019,0.059
01/12/2019,0.0579999999999999
01/03/2020,-0.069
01/06/2020,0.031
01/09/2020,0.048
01/12/2020,0.064
01/03/2021,0.187
01/06/2021,0.083
01/09/2021,0.052
01/12/2021,0.043
01/03/2022,0.048
01/06/2022,0.004
01/09/2022,0.039
01/12/2022,0.0289999999999999
01/03/2023,0.045
01/06/2023,0.063
01/09/2023,0.049
01/12/2023,0.052
01/03/2024,0.053
01/06/2024,0.047
01/09/2024,0.046
01/12/2024,0.054000000000000006
01/03/2025,0.05
01/06/2025,0.05
01/09/2025,0.048
01/12/2025,0.045
01/03/2026,0.05
