DATES,rEER
199401,52.99
199402,53.26
199403,53.42
199404,54.36
199405,54.71
199406,54.93
199407,54.33
199408,56.33
199409,58.2
199410,58.33
199411,58.95
199412,60.51
199501,62.17
199502,62.19
199503,60.38
199504,59.59
199505,60.82
199506,60.18
199507,60.1
199508,62.59
199509,64.98
199510,64.35
199511,64.73
199512,65.09
199601,67.03
199602,67.61
199603,67.87
199604,69.08
199605,68.94
199606,68.8
199607,68.1
199608,68.5
199609,70.07
199610,70.04
199611,69.8
199612,70.61
199701,72.31
199702,74.29
199703,73.98
199704,74.87
199705,73.33
199706,72.08
199707,72.14
199708,73.57
199709,74.98
199710,74.43
199711,75.56
199712,78.98
199801,81.62
199802,80.35
199803,80.01
199804,79.71
199805,79.05
199806,79.49
199807,78.41
199808,79.59
199809,79.14
199810,75.75
199811,75.35
199812,74.61
199901,74.74
199902,76.17
199903,76.96
199904,76.37
199905,75.58
199906,74.88
199907,74.52
199908,73.58
199909,74.29
199910,73.39
199911,73.11
199912,72.74
200001,73.94
200002,75.9
200003,74.49
200004,74.21
200005,74.98
200006,73.29
200007,73.35
200008,74.1
200009,75.75
200010,76.3
200011,77.09
200012,76.94
200101,77.95
200102,78.12
200103,78.93
200104,79.89
200105,78.95
200106,78.71
200107,78.91
200108,77.27
200109,77.29
200110,77.91
200111,78.51
200112,79.15
200201,80.49
200202,81.7
200203,79.84
200204,78.94
200205,76.86
200206,75.02
200207,73.17
200208,73.72
200209,74.49
200210,74.99
200211,74.11
200212,73.96
200301,73.43
200302,73.86
200303,73.1
200304,72.91
200305,70.39
200306,69.6
200307,69.9
200308,70.52
200309,70.15
200310,68.96
200311,70.0
200312,69.16
200401,69.05
200402,68.6
200403,69.29
200404,69.76
200405,70.43
200406,69.23
200407,68.92
200408,69.51
200409,69.77
200410,68.56
200411,66.83
200412,65.85
200501,66.66
200502,67.73
200503,66.3
200504,66.65
200505,66.6
200506,67.18
200507,68.41
200508,68.44
200509,68.63
200510,69.52
200511,70.63
200512,70.49
200601,69.92
200602,70.94
200603,69.95
200604,69.2
200605,67.41
200606,67.96
200607,67.79
200608,67.7
200609,68.77
200610,69.41
200611,69.39
200612,69.64
200701,71.14
200702,72.12
200703,70.97
200704,70.09
200705,70.57
200706,71.35
200707,71.6
200708,72.35
200709,72.16
200710,71.16
200711,71.22
200712,72.62
200801,74.0
200802,76.26
200803,74.3
200804,74.67
200805,74.95
200806,75.33
200807,75.29
200808,77.04
200809,79.17
200810,82.61
200811,84.79
200812,82.82
200901,84.42
200902,86.68
200903,86.5
200904,84.49
200905,81.76
200906,80.16
200907,79.84
200908,79.21
200909,78.45
200910,77.21
200911,77.04
200912,78.28
201001,78.87
201002,80.87
201003,79.7
201004,79.66
201005,81.68
201006,82.08
201007,81.18
201008,80.35
201009,80.33
201010,79.14
201011,80.68
201012,81.71
201101,81.99
201102,82.42
201103,81.13
201104,80.21
201105,80.34
201106,80.6
201107,80.86
201108,81.52
201109,84.12
201110,85.16
201111,85.72
201112,87.04
201201,88.27
201202,87.06
201203,87.26
201204,87.13
201205,87.87
201206,87.74
201207,87.67
201208,87.32
201209,86.63
201210,86.83
201211,88.35
201212,88.61
201301,89.85
201302,91.33
201303,91.61
201304,92.51
201305,93.3
201306,93.32
201307,94.11
201308,94.16
201309,94.43
201310,93.41
201311,94.56
201312,95.41
201401,97.23
201402,97.16
201403,94.28
201404,92.18
201405,91.67
201406,91.67
201407,92.19
201408,93.75
201409,96.0
201410,97.52
201411,99.67
201412,100.87
201501,102.57
201502,104.13
201503,104.98
201504,104.37
201505,103.01
201506,103.64
201507,105.26
201508,104.78
201509,104.72
201510,103.77
201511,105.4
201512,104.87
201601,104.47
201602,105.45
201603,103.66
201604,101.74
201605,100.94
201606,99.33
201607,98.34
201608,97.62
201609,97.96
201610,97.77
201611,98.32
201612,99.19
201701,99.59
201702,98.62
201703,97.28
201704,96.45
201705,95.7
201706,95.96
201707,96.06
201708,96.64
201709,97.94
201710,98.2
201711,98.1
201712,98.27
201801,99.17
201802,101.54
201803,100.03
201804,100.28
201805,100.91
201806,100.23
201807,97.34
201808,96.47
201809,97.02
201810,96.64
201811,96.6
201812,97.48
201901,98.3
201902,100.27
201903,100.14
201904,99.84
201905,98.37
201906,96.94
201907,97.57
201908,96.48
201909,96.62
201910,97.33
201911,98.72
201912,98.4
202001,100.32
202002,101.85
202003,101.37
202004,101.11
202005,99.36
202006,97.5
202007,98.1
202008,98.05
202009,99.98
202010,100.65
202011,100.91
202012,100.78
202101,101.71
202102,103.21
202103,103.06
202104,101.77
202105,101.54
202106,101.54
202107,102.48
202108,102.42
202109,102.49
202110,104.25
202111,105.47
202112,106.26
202201,105.31
202202,106.22
202203,107.3
202204,106.35
202205,102.84
202206,103.13
202207,105.23
202208,103.7
202209,103.34
202210,101.82
202211,98.6
202212,98.49
202301,98.78
202302,98.77
202303,97.65
202304,95.91
202305,94.71
202306,92.77
202307,91.96
202308,92.52
202309,93.31
202310,93.57
202311,92.58
202312,92.73
202401,92.32
202402,94.07
202403,92.65
202404,92.9
202405,92.13
202406,92.12
202407,92.23
202408,91.8
202409,91.67
202410,92.55
202411,92.16
202412,92.26
202501,92.64
202502,92.22
202503,90.55
202504,87.67
202505,86.85
202506,86.19
202507,86.38
202508,86.79
202509,87.22
202510,87.97
202511,88.81
202512,89.44
202601,89.52
202602,90.74
202603,91.49
202604,91.06
202605,90.86
