DATES,CPI
31/01/1954,0.03
28/02/1954,0.03
31/03/1954,0.03
30/04/1954,0.03
31/05/1954,0.03
30/06/1954,0.03
31/07/1954,0.03
31/08/1954,0.03
30/09/1954,0.03
31/10/1954,0.03
30/11/1954,0.03
31/12/1954,0.03
31/01/1955,0.03
28/02/1955,0.03
31/03/1955,0.03
30/04/1955,0.03
31/05/1955,0.03
30/06/1955,0.03
31/07/1955,0.03
31/08/1955,0.03
30/09/1955,0.03
31/10/1955,0.03
30/11/1955,0.03
31/12/1955,0.03
31/01/1956,0.03
29/02/1956,0.03
31/03/1956,0.03
30/04/1956,0.03
31/05/1956,0.03
30/06/1956,0.03
31/07/1956,0.03
31/08/1956,0.03
30/09/1956,0.03
31/10/1956,0.03
30/11/1956,0.03
31/12/1956,0.03
31/01/1957,0.03
28/02/1957,0.03
31/03/1957,0.03
30/04/1957,0.03
31/05/1957,0.03
30/06/1957,0.03
31/07/1957,0.03
31/08/1957,0.03
30/09/1957,0.03
31/10/1957,0.03
30/11/1957,0.03
31/12/1957,0.03
31/01/1958,0.03
28/02/1958,0.03
31/03/1958,0.03
30/04/1958,0.03
31/05/1958,0.03
30/06/1958,0.03
31/07/1958,0.03
31/08/1958,0.03
30/09/1958,0.03
31/10/1958,0.03
30/11/1958,0.03
31/12/1958,0.03
31/01/1959,0.04
28/02/1959,0.04
31/03/1959,0.04
30/04/1959,0.04
31/05/1959,0.04
30/06/1959,0.04
31/07/1959,0.04
31/08/1959,0.04
30/09/1959,0.04
31/10/1959,0.04
30/11/1959,0.04
31/12/1959,0.04
31/01/1960,0.04
29/02/1960,0.04
31/03/1960,0.04
30/04/1960,0.04
31/05/1960,0.04
30/06/1960,0.04
31/07/1960,0.04
31/08/1960,0.04
30/09/1960,0.04
31/10/1960,0.04
30/11/1960,0.04
31/12/1960,0.04
31/01/1961,0.04
28/02/1961,0.04
31/03/1961,0.04
30/04/1961,0.05
31/05/1961,0.05
30/06/1961,0.05
31/07/1961,0.05
31/08/1961,0.05
30/09/1961,0.05
31/10/1961,0.05
30/11/1961,0.05
31/12/1961,0.05
31/01/1962,0.05
28/02/1962,0.05
31/03/1962,0.05
30/04/1962,0.05
31/05/1962,0.05
30/06/1962,0.05
31/07/1962,0.05
31/08/1962,0.05
30/09/1962,0.05
31/10/1962,0.05
30/11/1962,0.05
31/12/1962,0.05
31/01/1963,0.05
28/02/1963,0.06
31/03/1963,0.06
30/04/1963,0.06
31/05/1963,0.06
30/06/1963,0.06
31/07/1963,0.06
31/08/1963,0.06
30/09/1963,0.06
31/10/1963,0.06
30/11/1963,0.06
31/12/1963,0.06
31/01/1964,0.06
29/02/1964,0.06
31/03/1964,0.07
30/04/1964,0.07
31/05/1964,0.07
30/06/1964,0.07
31/07/1964,0.07
31/08/1964,0.07
30/09/1964,0.07
31/10/1964,0.07
30/11/1964,0.07
31/12/1964,0.07
31/01/1965,0.07
28/02/1965,0.07
31/03/1965,0.07
30/04/1965,0.07
31/05/1965,0.08
30/06/1965,0.08
31/07/1965,0.08
31/08/1965,0.08
30/09/1965,0.08
31/10/1965,0.08
30/11/1965,0.08
31/12/1965,0.08
31/01/1966,0.08
28/02/1966,0.08
31/03/1966,0.09
30/04/1966,0.09
31/05/1966,0.09
30/06/1966,0.09
31/07/1966,0.09
31/08/1966,0.09
30/09/1966,0.09
31/10/1966,0.09
30/11/1966,0.09
31/12/1966,0.09
31/01/1967,0.09
28/02/1967,0.1
31/03/1967,0.1
30/04/1967,0.1
31/05/1967,0.1
30/06/1967,0.1
31/07/1967,0.1
31/08/1967,0.1
30/09/1967,0.1
31/10/1967,0.1
30/11/1967,0.1
31/12/1967,0.1
31/01/1968,0.1
