DATES,Ryr
26/06/2026,11.85
25/06/2026,11.94
24/06/2026,11.999
23/06/2026,11.825
22/06/2026,11.899
19/06/2026,11.67
18/06/2026,11.88
16/06/2026,11.849
12/06/2026,11.962
11/06/2026,12.1
10/06/2026,12.19
09/06/2026,12.32
05/06/2026,12.25
04/06/2026,12.295
03/06/2026,12.301
02/06/2026,12.33
01/06/2026,12.586
29/05/2026,13.2
28/05/2026,13.3
27/05/2026,13.402
26/05/2026,13.349
25/05/2026,13.471
22/05/2026,13.704
21/05/2026,13.887
20/05/2026,14.003
19/05/2026,14.29
15/05/2026,14.1
14/05/2026,13.622
13/05/2026,13.6
12/05/2026,13.5
11/05/2026,13.5
08/05/2026,13.58
07/05/2026,13.434
06/05/2026,13.365
05/05/2026,13.344
04/05/2026,13.2
30/04/2026,13.141
29/04/2026,13.17
28/04/2026,13.0
27/04/2026,13.12
24/04/2026,12.902
23/04/2026,12.9
22/04/2026,12.818
21/04/2026,12.718
20/04/2026,12.682
17/04/2026,12.71
16/04/2026,12.75
15/04/2026,12.705
14/04/2026,12.69
13/04/2026,12.767
10/04/2026,12.752
09/04/2026,12.84
08/04/2026,12.845
07/04/2026,12.935
06/04/2026,12.915
01/04/2026,12.91
31/03/2026,12.88
30/03/2026,12.78
27/03/2026,12.8
26/03/2026,12.925
25/03/2026,12.96
24/03/2026,12.94
20/03/2026,13.09
19/03/2026,13.005
18/03/2026,12.96
17/03/2026,13.09
16/03/2026,13.14
13/03/2026,13.344
12/03/2026,13.299
11/03/2026,13.225
10/03/2026,13.149
09/03/2026,13.2
06/03/2026,13.366
05/03/2026,13.3
04/03/2026,13.325
03/03/2026,13.574
02/03/2026,13.58
27/02/2026,13.47
26/02/2026,13.56
25/02/2026,13.396
24/02/2026,13.546
23/02/2026,13.35
20/02/2026,13.159
19/02/2026,13.142
18/02/2026,12.9
17/02/2026,12.9
16/02/2026,12.76
13/02/2026,12.649
12/02/2026,12.75
11/02/2026,12.8
10/02/2026,12.725
09/02/2026,12.61
06/02/2026,12.69
05/02/2026,12.699
04/02/2026,12.6
03/02/2026,12.5
02/02/2026,12.42
30/01/2026,12.382
29/01/2026,12.36
28/01/2026,12.344
27/01/2026,12.33
26/01/2026,12.353
23/01/2026,12.203
22/01/2026,12.248
21/01/2026,12.295
20/01/2026,12.06
19/01/2026,12.006
16/01/2026,12.03
15/01/2026,12.05
14/01/2026,12.182
13/01/2026,12.528
09/01/2026,12.5
08/01/2026,12.551
07/01/2026,12.5
06/01/2026,12.42
05/01/2026,12.67
02/01/2026,12.86
30/12/2025,12.651
29/12/2025,12.434
26/12/2025,12.099
23/12/2025,11.9
22/12/2025,11.7
19/12/2025,12.25
18/12/2025,12.528
17/12/2025,12.482
16/12/2025,12.41
15/12/2025,12.46
12/12/2025,12.43
11/12/2025,12.599
10/12/2025,12.407
09/12/2025,12.25
05/12/2025,12.007
04/12/2025,12.1
03/12/2025,12.35
02/12/2025,12.507
01/12/2025,12.551
28/11/2025,12.575
27/11/2025,12.57
26/11/2025,12.7
25/11/2025,12.4
24/11/2025,12.409
21/11/2025,12.344
20/11/2025,12.306
19/11/2025,12.295
18/11/2025,12.181
14/11/2025,12.1
13/11/2025,12.05
12/11/2025,11.88
11/11/2025,11.785
10/11/2025,11.71
07/11/2025,11.695
06/11/2025,11.671
05/11/2025,11.706
04/11/2025,11.633
31/10/2025,11.612
30/10/2025,11.68
29/10/2025,11.63
28/10/2025,11.649
27/10/2025,11.581
24/10/2025,11.642
23/10/2025,11.751
22/10/2025,11.649
21/10/2025,11.557
20/10/2025,11.632
17/10/2025,11.452
16/10/2025,11.499
15/10/2025,11.479
14/10/2025,11.541
10/10/2025,11.553
09/10/2025,11.48
08/10/2025,11.484
07/10/2025,11.4
06/10/2025,11.4
03/10/2025,11.378
02/10/2025,11.31
01/10/2025,11.326
30/09/2025,11.34
29/09/2025,11.312
26/09/2025,11.293
25/09/2025,11.29
24/09/2025,11.2
23/09/2025,11.17
22/09/2025,11.17
19/09/2025,11.189
18/09/2025,11.157
17/09/2025,11.1
16/09/2025,11.185
15/09/2025,11.29
12/09/2025,11.269
11/09/2025,11.2
10/09/2025,11.287
09/09/2025,11.393
08/09/2025,11.5
05/09/2025,11.52
04/09/2025,11.56
03/09/2025,11.523
02/09/2025,11.43
01/09/2025,11.366
29/08/2025,11.298
28/08/2025,11.34
27/08/2025,11.42
26/08/2025,11.46
25/08/2025,11.45
22/08/2025,11.63
21/08/2025,11.654
20/08/2025,11.689
19/08/2025,11.75
15/08/2025,11.823
14/08/2025,11.8
13/08/2025,11.78
12/08/2025,11.73
11/08/2025,11.808
08/08/2025,11.763
06/08/2025,11.651
05/08/2025,11.717
04/08/2025,11.933
01/08/2025,12.05
31/07/2025,11.94
30/07/2025,11.884
29/07/2025,11.766
28/07/2025,11.844
25/07/2025,11.811
24/07/2025,11.805
23/07/2025,11.73
22/07/2025,11.677
21/07/2025,11.53
18/07/2025,11.52
17/07/2025,11.67
16/07/2025,11.843
15/07/2025,11.869
14/07/2025,11.975
11/07/2025,12.11
10/07/2025,12.13
09/07/2025,12.16
08/07/2025,12.265
07/07/2025,12.23
04/07/2025,12.206
03/07/2025,12.16
02/07/2025,12.22
01/07/2025,12.241
27/06/2025,12.255
26/06/2025,12.205
25/06/2025,12.34
24/06/2025,12.25
20/06/2025,12.257
19/06/2025,12.167
18/06/2025,12.202
17/06/2025,12.47
16/06/2025,12.66
13/06/2025,12.759
12/06/2025,12.811
11/06/2025,12.798
10/06/2025,12.7
09/06/2025,12.631
06/06/2025,12.619
05/06/2025,12.5
04/06/2025,12.38
03/06/2025,12.41
30/05/2025,12.39
29/05/2025,12.397
28/05/2025,12.42
27/05/2025,12.366
26/05/2025,12.346
23/05/2025,12.4
22/05/2025,12.332
21/05/2025,12.357
20/05/2025,12.25
19/05/2025,12.266
16/05/2025,12.23
15/05/2025,12.264
14/05/2025,12.306
