DATES,CPI
31/01/1980,2.975167
29/02/1980,2.971006
31/03/1980,3.000134
30/04/1980,3.0126169999999997
31/05/1980,2.987651
30/06/1980,3.0126169999999997
31/07/1980,2.9959729999999998
31/08/1980,2.975167
30/09/1980,2.975167
31/10/1980,2.987651
30/11/1980,2.98349
31/12/1980,3.0084560000000002
31/01/1981,3.087516
28/02/1981,3.099999
31/03/1981,3.162416
30/04/1981,3.112483
31/05/1981,3.104161
30/06/1981,3.1083220000000003
31/07/1981,3.124966
31/08/1981,3.120805
30/09/1981,3.124966
31/10/1981,3.1332880000000003
30/11/1981,3.170738
31/12/1981,3.2081869999999997
31/01/1982,3.274765
28/02/1982,3.25812
31/03/1982,3.283087
30/04/1982,3.291409
31/05/1982,3.283087
30/06/1982,3.3288589999999996
31/07/1982,3.320536
31/08/1982,3.345503
30/09/1982,3.407919
31/10/1982,3.4204019999999997
30/11/1982,3.4328849999999997
31/12/1982,3.478657
31/01/1983,3.5452339999999998
28/02/1983,3.5452339999999998
31/03/1983,3.5702010000000004
30/04/1983,3.56604
31/05/1983,3.557718
30/06/1983,3.5702010000000004
31/07/1983,3.5743620000000003
31/08/1983,3.578523
30/09/1983,3.6201339999999997
31/10/1983,3.628456
30/11/1983,3.628456
31/12/1983,3.661744
31/01/1984,3.753288
29/02/1984,3.8365089999999995
31/03/1984,3.882281
30/04/1984,3.8989260000000003
31/05/1984,3.890603
30/06/1984,3.903087
31/07/1984,3.948858
31/08/1984,3.903087
30/09/1984,3.9114089999999995
31/10/1984,3.903087
30/11/1984,3.9114089999999995
31/12/1984,3.948858
31/01/1985,4.023758
28/02/1985,4.11114
31/03/1985,4.152751
30/04/1985,4.165234
31/05/1985,4.14859
30/06/1985,4.156912
31/07/1985,4.186039
31/08/1985,4.14859
30/09/1985,4.181879
31/10/1985,4.190201
30/11/1985,4.211005999999999
31/12/1985,4.256778
31/01/1986,4.315033000000001
28/02/1986,4.331677
31/03/1986,4.369127
30/04/1986,4.38161
31/05/1986,4.352482
30/06/1986,4.331677
31/07/1986,4.373288
31/08/1986,4.356644
30/09/1986,4.402415
31/10/1986,4.423221
30/11/1986,4.452348000000001
31/12/1986,4.4856370000000005
31/01/1987,4.560536
28/02/1987,4.589664
31/03/1987,4.606308
30/04/1987,4.668724
31/05/1987,4.73114
30/06/1987,4.726979
31/07/1987,4.806039
31/08/1987,4.814362
30/09/1987,4.84765
31/10/1987,4.8851
30/11/1987,4.92255
31/12/1987,4.976644
31/01/1988,5.371944999999999
29/02/1988,5.405234
31/03/1988,5.426039
30/04/1988,5.459328
31/05/1988,5.434361
30/06/1988,5.359462000000001
31/07/1988,5.517583
31/08/1988,5.534227
30/09/1988,5.5924830000000005
31/10/1988,5.638254
30/11/1988,5.667382
31/12/1988,5.713153
31/01/1989,6.012751000000001
28/02/1989,6.229126
31/03/1989,6.274899
30/04/1989,6.370603
31/05/1989,6.370603
30/06/1989,6.387247
31/07/1989,6.507918
31/08/1989,6.5869789999999995
30/09/1989,6.603623
31/10/1989,6.674361
30/11/1989,6.691006
31/12/1989,6.749261
31/01/1990,7.3775830000000004
28/02/1990,7.7437570000000004
31/03/1990,7.906039
30/04/1990,8.064159
31/05/1990,8.080803999999999
30/06/1990,8.068321000000001
31/07/1990,8.322146
31/08/1990,8.505234
30/09/1990,8.655032
31/10/1990,8.771543
30/11/1990,8.937985000000001
31/12/1990,9.000401
31/01/1991,9.890871
28/02/1991,10.31114
31/03/1991,10.619060000000001
30/04/1991,10.951939999999999
31/05/1991,11.06429
30/06/1991,11.1808
31/07/1991,11.50121
31/08/1991,11.41382
30/09/1991,11.60107
31/10/1991,11.74671
30/11/1991,11.87154
31/12/1991,11.90067
31/01/1992,12.67879
29/02/1992,13.01989
31/03/1992,13.25283
30/04/1992,13.419220000000001
31/05/1992,13.635520000000001
30/06/1992,13.7104
31/07/1992,13.74368
31/08/1992,13.86015
30/09/1992,14.1846
31/10/1992,14.54234
30/11/1992,14.775279999999999
31/12/1992,14.941670000000002
31/01/1993,15.95664
28/02/1993,16.23118
31/03/1993,16.355970000000003
30/04/1993,16.489079999999998
31/05/1993,16.55564
30/06/1993,16.59723
31/07/1993,16.68875
31/08/1993,16.97993
30/09/1993,17.46245
31/10/1993,17.74531
30/11/1993,17.84515
31/12/1993,18.09473
31/01/1994,18.668770000000002
28/02/1994,18.92667
31/03/1994,19.11802
30/04/1994,19.35096
31/05/1994,19.5839
30/06/1994,19.78357
31/07/1994,20.03315
31/08/1994,20.30769
30/09/1994,20.77358
31/10/1994,21.21451
30/11/1994,21.61384
31/12/1994,21.92998
31/01/1995,22.7952
28/02/1995,23.43579
31/03/1995,24.36757
30/04/1995,25.00817
31/05/1995,25.6238
30/06/1995,25.9233
31/07/1995,26.147920000000003
31/08/1995,26.239440000000002
30/09/1995,26.75524
31/10/1995,27.37088
30/11/1995,27.803490000000004
31/12/1995,28.136259999999996
31/01/1996,29.37586
29/02/1996,30.05805
31/03/1996,30.62377
30/04/1996,31.114620000000002
31/05/1996,31.755209999999998
30/06/1996,32.02975
31/07/1996,32.13791
31/08/1996,32.23774
30/09/1996,32.6953
31/10/1996,33.12791
30/11/1996,33.40245
31/12/1996,33.71027
31/01/1997,34.94155
28/02/1997,35.70693
31/03/1997,36.37249
30/04/1997,36.87997
31/05/1997,37.3625
30/06/1997,38.019729999999996
31/07/1997,37.969809999999995
31/08/1997,38.03637
30/09/1997,38.56881
31/10/1997,39.00142
30/11/1997,39.475629999999995
31/12/1997,39.90824
31/01/1998,41.11456
28/02/1998,41.79675
31/03/1998,42.337509999999995
30/04/1998,42.77844
31/05/1998,43.26928
30/06/1998,43.39407
31/07/1998,43.31088
31/08/1998,43.152809999999995
30/09/1998,43.39407
31/10/1998,43.785090000000004
30/11/1998,43.901559999999996
31/12/1998,44.018029999999996
31/01/1999,45.12451
28/02/1999,45.72351
31/03/1999,46.26427
30/04/1999,46.79671
31/05/1999,47.10453
30/06/1999,47.33748
31/07/1999,47.67025
31/08/1999,47.84496
30/09/1999,48.10286
31/10/1999,48.38572
30/11/1999,48.56043
31/12/1999,48.951440000000005
31/01/2000,49.666909999999994
29/02/2000,50.25907
31/03/2000,50.703179999999996
30/04/2000,51.1473
31/05/2000,51.36935
30/06/2000,51.66543
31/07/2000,52.18357
31/08/2000,52.47964
30/09/2000,53.0718
31/10/2000,53.367869999999996
30/11/2000,53.73797
31/12/2000,53.88601
31/01/2001,54.700219999999995
28/02/2001,55.44041
31/03/2001,55.95855
30/04/2001,56.40266
31/05/2001,56.9208
30/06/2001,57.06884
31/07/2001,57.14286
31/08/2001,56.99482
30/09/2001,57.2909
31/10/2001,57.438930000000006
30/11/2001,57.51295
31/12/2001,57.51295
31/01/2002,58.25315
28/02/2002,58.8453
31/03/2002,59.28941
30/04/2002,59.80755
31/05/2002,60.10363
30/06/2002,59.80755
31/07/2002,59.73353
31/08/2002,59.58549
30/09/2002,59.95559
31/10/2002,60.25167
30/11/2002,60.25167
31/12/2002,60.325680000000006
31/01/2003,61.06588000000001
28/02/2003,61.50999
31/03/2003,62.028130000000004
30/04/2003,62.10215
31/05/2003,62.25019
30/06/2003,62.398219999999995
31/07/2003,62.54626
31/08/2003,62.398219999999995
30/09/2003,62.768319999999996
31/10/2003,63.21244
30/11/2003,63.582530000000006
31/12/2003,63.73056999999999
31/01/2004,65.06291999999999
29/02/2004,65.87713000000001
31/03/2004,66.24722
30/04/2004,66.39526
31/05/2004,66.98742
30/06/2004,67.06144
31/07/2004,67.06144
31/08/2004,66.83938
30/09/2004,66.9134
31/10/2004,67.20947
30/11/2004,67.28349
31/12/2004,67.20947
31/01/2005,67.72761
28/02/2005,68.02369
31/03/2005,68.4678
30/04/2005,68.98594
31/05/2005,69.35603
30/06/2005,69.57809
