"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.07.2026","140.842,30","141.696,83","141.924,23","139.095,16","2,09M","-0,60%"
"07.07.2026","141.691,73","143.585,86","143.607,94","141.593,58","1,74M","-1,32%"
"06.07.2026","143.587,16","143.072,50","143.587,16","141.528,55","1,53M","0,36%"
"03.07.2026","143.072,30","141.741,38","143.091,75","141.741,38","1,37M","0,94%"
"02.07.2026","141.741,66","139.472,44","141.791,16","139.470,69","1,75M","1,63%"
"01.07.2026","139.468,06","139.894,86","141.154,78","139.468,06","1,51M","-0,30%"
"30.06.2026","139.892,19","139.079,89","140.489,59","138.976,88","2,48M","0,58%"
"29.06.2026","139.081,97","139.787,61","140.105,17","138.591,55","1,94M","-0,51%"
"26.06.2026","139.790,13","139.624,23","140.578,80","139.123,66","1,92M","0,12%"
"25.06.2026","139.624,45","138.850,94","140.038,88","138.387,14","3,22M","0,55%"
"24.06.2026","138.853,98","139.303,44","139.766,66","138.853,98","2,17M","-0,32%"
"23.06.2026","139.301,72","139.501,25","139.577,34","137.639,59","5,64M","-0,14%"
"22.06.2026","139.495,63","137.623,03","139.505,70","137.601,91","1,89M","1,36%"
"19.06.2026","137.625,55","138.410,59","138.832,84","137.545,58","4,34M","-0,56%"
"18.06.2026","138.405,88","138.902,58","139.485,02","136.837,19","3,94M","-0,36%"
"17.06.2026","138.901,30","138.729,44","138.971,23","137.962,95","2,38M","0,12%"
"16.06.2026","138.730,73","137.603,44","138.868,56","137.385,02","2,52M","0,82%"
"15.06.2026","137.602,78","135.721,34","137.602,78","135.698,56","3,00M","1,38%"
"12.06.2026","135.724,69","133.519,59","135.809,23","133.519,59","2,53M","1,64%"
"11.06.2026","133.528,69","132.234,58","134.188,75","132.075,83","1,92M","0,98%"
"10.06.2026","132.231,02","133.371,81","133.804,06","131.322,73","2,95M","-0,86%"
"09.06.2026","133.372,63","133.707,56","134.858,73","133.090,83","2,31M","-0,25%"
"08.06.2026","133.710,41","133.676,95","134.374,72","132.971,20","1,93M","0,03%"
"05.06.2026","133.670,95","133.592,06","135.253,08","133.306,28","2,19M","0,06%"
"04.06.2026","133.591,94","134.719,41","135.354,56","133.372,69","2,40M","-0,84%"
"03.06.2026","134.720,16","136.002,61","136.958,63","134.719,77","8,38M","-0,94%"
"02.06.2026","135.997,44","133.791,47","136.166,91","133.790,19","2,60M","1,64%"
"01.06.2026","133.797,41","134.617,02","135.466,13","133.770,95","2,38M","-0,61%"
"29.05.2026","134.616,81","131.455,08","134.773,28","131.415,88","6,88M","2,41%"
"28.05.2026","131.452,70","131.833,94","132.089,17","130.553,63","2,79M","-0,29%"
"27.05.2026","131.829,83","130.913,15","132.513,81","130.709,99","3,04M","0,70%"
"26.05.2026","130.916,32","129.720,94","131.638,19","129.720,94","2,84M","0,92%"
"22.05.2026","129.728,50","130.632,49","132.017,97","129.463,33","2,56M","-0,69%"
"21.05.2026","130.632,44","131.461,25","132.804,09","130.632,21","2,94M","-0,63%"
"20.05.2026","131.460,20","131.770,44","132.190,05","130.615,02","5,22M","-0,24%"
"19.05.2026","131.773,44","132.041,69","132.727,89","131.246,59","4,66M","-0,21%"
"18.05.2026","132.046,38","131.698,44","132.162,75","130.295,71","3,50M","0,27%"
"15.05.2026","131.696,19","132.438,09","132.530,23","130.685,23","2,58M","-0,55%"
"14.05.2026","132.426,66","131.071,01","133.089,63","130.548,73","3,49M","1,03%"
"13.05.2026","131.071,24","132.483,30","133.827,20","130.912,65","3,12M","-1,07%"
"12.05.2026","132.484,92","134.272,84","134.450,13","132.484,92","2,29M","-1,33%"
"11.05.2026","134.265,27","134.545,34","134.994,17","133.444,27","2,48M","-0,21%"
"08.05.2026","134.545,20","135.140,98","135.291,45","132.530,75","3,46M","-0,44%"
"07.05.2026","135.138,83","135.894,45","136.565,81","135.104,66","2,63M","-0,56%"
"06.05.2026","135.899,33","135.929,03","137.557,52","135.854,09","2,96M","-0,03%"
"05.05.2026","135.935,09","133.590,50","136.115,94","133.501,88","3,01M","1,76%"
"04.05.2026","133.586,13","133.780,00","135.736,45","133.556,52","2,35M","-0,15%"
"30.04.2026","133.787,98","132.641,23","134.915,17","132.168,47","3,82M","0,87%"
"29.04.2026","132.633,84","132.857,20","133.974,66","132.633,84","1,88M","-0,17%"
"28.04.2026","132.855,52","133.175,38","134.172,14","132.816,88","2,44M","-0,24%"
"27.04.2026","133.168,50","133.870,59","134.885,41","133.168,50","3,86M","-0,53%"
"24.04.2026","133.872,25","134.803,94","134.821,28","133.220,09","2,82M","-0,69%"
"23.04.2026","134.799,02","136.313,23","136.633,34","134.641,75","2,89M","-1,11%"
"22.04.2026","136.308,23","135.643,48","137.155,38","135.385,48","3,62M","0,49%"
"21.04.2026","135.643,98","136.382,44","137.180,09","135.597,34","2,36M","-0,54%"
"20.04.2026","136.386,25","138.821,73","138.977,23","136.351,84","2,68M","-1,75%"
"17.04.2026","138.818,03","136.260,00","139.578,95","136.100,59","4,90M","1,88%"
"16.04.2026","136.260,36","139.493,81","140.284,30","136.198,69","5,35M","-2,32%"
"15.04.2026","139.499,38","138.890,30","140.623,34","138.620,36","6,39M","0,44%"
"14.04.2026","138.891,06","139.457,59","141.478,52","137.804,20","6,84M","-0,41%"
"13.04.2026","139.459,59","132.850,80","139.479,81","132.844,45","11,90M","4,95%"
"10.04.2026","132.888,20","128.030,02","132.888,20","128.030,02","7,67M","3,79%"
"09.04.2026","128.030,58","129.734,96","129.734,96","127.087,68","3,25M","-1,31%"
"08.04.2026","129.730,83","125.940,92","129.839,96","125.567,54","4,28M","2,99%"
"07.04.2026","125.961,98","123.989,74","126.623,53","123.989,74","2,77M","1,59%"
"02.04.2026","123.996,41","124.314,99","124.455,48","121.529,51","2,74M","-0,25%"
"01.04.2026","124.307,61","121.367,31","126.035,40","121.367,31","4,12M","2,41%"
"31.03.2026","121.380,56","120.766,51","122.509,85","120.766,51","4,07M","0,50%"
"30.03.2026","120.770,78","121.718,20","122.432,26","120.061,36","4,49M","-0,78%"
"27.03.2026","121.718,08","122.512,64","122.852,99","120.892,85","4,18M","-0,65%"
"26.03.2026","122.510,70","124.236,72","124.358,43","122.510,70","3,03M","-1,39%"
"25.03.2026","124.235,55","122.653,58","124.663,48","122.653,58","2,68M","1,29%"
"24.03.2026","122.655,67","122.646,51","123.230,07","121.183,09","2,14M","0,01%"
"23.03.2026","122.647,44","122.111,16","122.939,69","119.037,12","2,85M","0,44%"
"20.03.2026","122.107,32","121.794,86","124.329,32","121.794,86","6,77M","0,26%"
"19.03.2026","121.795,19","122.259,48","122.730,07","120.781,34","3,00M","-0,38%"
"18.03.2026","122.255,73","122.535,08","124.542,86","121.865,63","2,52M","-0,23%"
"17.03.2026","122.537,07","120.787,94","123.673,60","120.298,77","1,91M","1,45%"
"16.03.2026","120.787,85","121.754,12","121.808,93","120.330,23","1,87M","-0,79%"
"13.03.2026","121.754,84","122.033,33","122.761,83","120.737,39","1,89M","-0,22%"
"12.03.2026","122.028,59","122.584,87","124.096,63","121.821,19","3,38M","-0,45%"
"11.03.2026","122.583,12","124.573,38","124.617,68","122.157,54","2,24M","-1,59%"
"10.03.2026","124.570,00","120.426,81","125.211,28","120.421,78","3,30M","3,43%"
"09.03.2026","120.443,10","121.889,48","121.903,38","117.674,57","4,69M","-1,18%"
"06.03.2026","121.885,96","125.154,93","126.299,61","121.885,96","3,46M","-2,61%"
"05.03.2026","125.157,64","123.878,86","126.423,97","123.862,90","3,06M","1,04%"
"04.03.2026","123.872,29","120.682,92","124.330,72","120.273,93","7,14M","2,64%"
"03.03.2026","120.688,04","125.375,43","125.629,09","120.354,14","6,52M","-3,74%"
"02.03.2026","125.373,25","126.540,11","126.540,11","120.093,27","5,67M","-0,92%"
"27.02.2026","126.534,75","126.767,39","128.492,56","126.534,75","4,96M","-0,18%"
"26.02.2026","126.768,38","127.083,30","128.131,56","126.768,21","4,47M","-0,25%"
"25.02.2026","127.083,87","124.712,92","127.277,87","124.373,34","3,32M","1,90%"
"24.02.2026","124.714,69","127.042,30","127.042,30","124.667,27","2,87M","-1,83%"
"23.02.2026","127.042,45","125.734,69","127.162,82","125.555,70","2,45M","1,04%"
"20.02.2026","125.733,91","126.674,52","127.302,09","125.733,77","2,42M","-0,74%"
"19.02.2026","126.673,84","127.821,48","128.398,20","126.405,00","2,23M","-0,90%"
"18.02.2026","127.820,56","124.907,02","127.820,56","124.788,38","3,44M","2,33%"
"17.02.2026","124.907,35","124.389,85","125.086,20","122.332,65","5,70M","0,42%"
"16.02.2026","124.389,48","126.961,58","127.367,44","124.357,24","4,32M","-2,03%"
"13.02.2026","126.964,02","130.202,97","130.226,05","126.714,47","3,82M","-2,49%"
"12.02.2026","130.202,21","129.449,27","131.272,81","129.196,52","3,15M","0,58%"
"11.02.2026","129.447,89","130.327,03","130.408,28","128.653,49","2,83M","-0,68%"
"10.02.2026","130.328,22","129.854,64","130.980,38","129.127,72","2,13M","0,37%"
"09.02.2026","129.854,13","130.030,31","130.905,00","129.022,61","2,71M","-0,14%"
"06.02.2026","130.030,34","129.819,76","131.129,83","128.177,61","3,38M","0,16%"
"05.02.2026","129.819,11","133.311,38","133.592,23","129.817,21","4,00M","-2,62%"
"04.02.2026","133.311,70","130.285,29","133.631,48","130.285,29","4,91M","2,32%"
"03.02.2026","130.284,26","128.389,40","130.898,50","128.333,67","4,31M","1,47%"
"02.02.2026","128.391,02","128.831,78","128.831,78","127.124,36","3,24M","-0,34%"
"30.01.2026","128.831,58","127.890,29","129.805,41","127.474,60","7,29M","0,74%"
"29.01.2026","127.890,41","128.194,50","128.991,90","127.538,61","3,33M","-0,24%"
"28.01.2026","128.194,87","127.493,50","128.508,49","127.354,74","4,24M","0,55%"
"27.01.2026","127.493,86","126.665,30","128.638,73","126.436,49","5,05M","0,66%"
"26.01.2026","126.663,78","125.062,01","126.793,92","124.804,60","2,65M","1,28%"
"23.01.2026","125.061,81","125.198,04","125.769,70","123.773,69","2,79M","-0,11%"
"22.01.2026","125.197,21","121.308,05","125.269,78","121.308,05","4,25M","3,21%"
"21.01.2026","121.308,37","121.282,41","121.894,59","119.825,98","2,80M","0,02%"
"20.01.2026","121.282,66","122.151,55","122.522,92","120.751,86","3,80M","-0,71%"
"19.01.2026","122.151,69","122.312,41","122.312,41","121.206,84","2,09M","-0,13%"
"16.01.2026","122.311,20","120.679,66","122.408,77","120.533,92","3,84M","1,35%"
"15.01.2026","120.679,89","120.650,95","121.201,70","120.344,61","4,30M","0,02%"
"14.01.2026","120.651,59","118.863,04","120.793,80","118.497,79","6,50M","1,50%"
"13.01.2026","118.863,12","117.384,17","118.863,22","116.979,90","2,47M","1,26%"
"12.01.2026","117.385,41","116.510,84","117.385,41","116.218,85","1,29M","0,75%"
"09.01.2026","116.510,12","115.910,22","116.695,29","115.721,42","2,81M","0,52%"
"08.01.2026","115.909,58","116.559,59","116.791,69","115.545,56","5,21M","-0,56%"
"07.01.2026","116.560,10","116.425,90","117.175,24","115.939,92","3,18M","0,12%"
"06.01.2026","116.425,94","113.182,96","116.426,03","113.182,96","4,20M","2,87%"
"05.01.2026","113.182,33","111.030,34","113.772,12","111.030,34","3,12M","1,94%"
"30.12.2025","111.031,79","110.953,65","111.611,08","110.938,30","2,05M","0,07%"
"29.12.2025","110.953,40","111.041,78","111.463,09","110.622,48","1,48M","-0,08%"
"23.12.2025","111.046,97","110.893,34","111.051,91","110.450,39","1,25M","0,14%"
"22.12.2025","110.890,99","110.405,34","110.909,55","110.198,86","1,95M","0,44%"
