"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.12.2010","21.459,94","21.468,58","21.547,79","21.431,16","2,25M","-0,26%"
"27.12.2010","21.516,06","21.413,36","21.516,06","21.260,05","5,08M","0,32%"
"23.12.2010","21.446,58","21.548,53","21.548,53","21.297,54","1,79M","-0,38%"
"22.12.2010","21.527,74","21.242,32","21.527,74","21.242,32","3,75M","1,79%"
"21.12.2010","21.148,37","21.348,15","21.473,00","21.148,37","2,21M","-0,42%"
"20.12.2010","21.237,46","21.217,35","21.350,01","21.187,85","3,65M","0,09%"
"17.12.2010","21.218,27","21.202,70","21.506,82","21.186,57","6,92M","0,01%"
"16.12.2010","21.215,78","21.220,04","21.237,80","21.090,98","2,32M","-0,32%"
"15.12.2010","21.283,71","21.339,47","21.364,25","21.161,28","4,61M","-0,44%"
"14.12.2010","21.378,57","21.427,12","21.450,23","21.229,64","6,09M","0,12%"
"13.12.2010","21.353,25","21.590,13","21.590,13","21.350,59","3,90M","-0,52%"
"10.12.2010","21.465,16","21.631,95","21.659,44","21.465,16","2,15M","-0,95%"
"09.12.2010","21.671,73","21.959,34","22.044,62","21.574,75","2,59M","-0,42%"
"08.12.2010","21.763,33","21.581,61","21.848,29","21.531,15","2,57M","0,26%"
"07.12.2010","21.707,61","21.324,59","21.760,10","21.306,31","2,81M","1,58%"
"06.12.2010","21.370,03","21.502,35","21.621,32","21.093,52","4,32M","-0,69%"
"03.12.2010","21.519,43","21.207,52","21.617,83","21.140,32","3,63M","2,16%"
"02.12.2010","21.065,24","21.413,82","21.643,94","21.065,24","5,44M","-1,06%"
"01.12.2010","21.291,84","20.953,55","21.319,37","20.844,94","4,20M","3,16%"
"30.11.2010","20.639,64","20.422,46","20.809,53","20.325,74","7,35M","2,07%"
"29.11.2010","20.221,37","20.943,80","21.095,79","20.146,50","6,89M","-2,61%"
"26.11.2010","20.763,54","21.258,33","21.258,33","20.354,74","13,24M","-2,81%"
