DATES,GDP
01/03/1995,5554549000000.0
01/06/1995,5542349000000.0
01/09/1995,5540578000000.0
01/12/1995,5517997000000.0
01/03/1996,5563178000000.0
01/06/1996,5519597000000.0
01/09/1996,5509423000000.0
01/12/1996,5579325000000.0
01/03/1997,5635698000000.0
01/06/1997,5694891000000.0
01/09/1997,5745065000000.0
01/12/1997,5792981000000.0
01/03/1998,5840181000000.0
01/06/1998,5931903000000.0
01/09/1998,5987653000000.0
01/12/1998,5989148000000.0
01/03/1999,5987517000000.0
01/06/1999,6053585000000.0
01/09/1999,6169692000000.0
01/12/1999,6239938000000.0
01/03/2000,6295645000000.0
01/06/2000,6356168000000.0
01/09/2000,6413578000000.0
01/12/2000,6536867000000.0
01/03/2001,6580284000000.0
01/06/2001,6633102000000.0
01/09/2001,6692312000000.0
01/12/2001,6742665000000.0
01/03/2002,6897400000000.0
01/06/2002,6933847000000.0
01/09/2002,6996948000000.0
01/12/2002,7082040000000.0
01/03/2003,7136243000000.0
01/06/2003,7212694000000.0
01/09/2003,7298518000000.0
01/12/2003,7371327000000.0
01/03/2004,7494240000000.0
01/06/2004,7576827000000.0
01/09/2004,7667219000000.0
01/12/2004,7694531000000.0
01/03/2005,7767157000000.0
01/06/2005,7925290000000.0
01/09/2005,7982187000000.0
01/12/2005,8071224000000.0
01/03/2006,8130806000000.0
01/06/2006,8251597000000.0
01/09/2006,8295614000000.0
01/12/2006,8376249000000.0
01/03/2007,8267028000000.0
01/06/2007,8261522999999.999
01/09/2007,8302203000000.0
01/12/2007,8329021000000.001
01/03/2008,8416128000000.001
01/06/2008,8458385000000.0
01/09/2008,8437129999999.999
01/12/2008,8139861000000.0
01/03/2009,7809553000000.0
01/06/2009,7813797000000.0
01/09/2009,7808928000000.0
01/12/2009,7801534000000.0
01/03/2010,7815328000000.0
01/06/2010,7875421000000.0
01/09/2010,7934810000000.0
01/12/2010,7926053000000.0
01/03/2011,8020713000000.0
01/06/2011,8004766000000.0
01/09/2011,8013815000000.0
01/12/2011,8104691000000.0
01/03/2012,8002551000000.0
01/06/2012,7927245000000.0
01/09/2012,7946242000000.0
01/12/2012,7926279000000.0
01/03/2013,7962316000000.0
01/06/2013,8034838000000.0
01/09/2013,8158313000000.0
01/12/2013,8223081000000.0
01/03/2014,8297950000000.001
01/06/2014,8404991000000.0
01/09/2014,8484121999999.999
01/12/2014,8528697000000.0
01/03/2015,8674501000000.0
01/06/2015,8684123000000.0
01/09/2015,8748916999999.999
01/12/2015,8839392000000.0
01/03/2016,8805328000000.0
01/06/2016,8911282000000.0
01/09/2016,8956263000000.0
01/12/2016,9035538000000.0
01/03/2017,9163391000000.0
01/06/2017,9272787000000.0
01/09/2017,9356767000000.0
01/12/2017,9492835000000.0
01/03/2018,9663884000000.0
01/06/2018,9747349000000.0
01/09/2018,9892508000000.0
01/12/2018,9996245000000.0
01/03/2019,10195214000000.0
01/06/2019,10224386000000.0
01/09/2019,10364217000000.0
01/12/2019,10426920000000.0
01/03/2020,10389349000000.0
01/06/2020,8877799000000.0
01/09/2020,9920065000000.0
01/12/2020,10086203000000.0
01/03/2021,10203105000000.0
01/06/2021,10435375000000.0
01/09/2021,10566236000000.0
01/12/2021,10835189000000.0
01/03/2022,10987162000000.0
01/06/2022,11103901000000.0
01/09/2022,10980620000000.0
01/12/2022,10888817000000.0
01/03/2023,10862114000000.0
01/06/2023,10858865000000.0
01/09/2023,10951729000000.0
