DATES,rEER
199401,84.96
199402,84
199403,83.33
199404,84.09
199405,83.97
199406,83.32
199407,83.57
199408,79.22
199409,79.61
199410,80.68
199411,81.29
199412,81.73
199501,83.2
199502,83.96
199503,80.58
199504,78.45
199505,78.6
199506,77.27
199507,76.59
199508,76.08
199509,76.21
199510,76.01
199511,76.02
199512,76.07
199601,78.26
199602,78.58
199603,79.13
199604,79.48
199605,80.06
199606,80.02
199607,79.33
199608,78.51
199609,78.67
199610,78.96
199611,78.37
199612,78.08
199701,81.44
199702,82.34
199703,82.99
199704,82.86
199705,82.57
199706,82.83
199707,81.45
199708,81.06
199709,81.51
199710,81.32
199711,81.28
199712,82.03
199801,84.34
199802,84.37
199803,84.24
199804,84.18
199805,84.53
199806,83.46
199807,82.79
199808,81.13
199809,79.7
199810,79.63
199811,80.52
199812,80.72
199901,83.71
199902,84.27
199903,83.49
199904,84.09
199905,85.05
199906,84.97
199907,85.02
199908,84.63
199909,83.84
199910,83.83
199911,84.03
199912,83.91
200001,84.84
200002,84.51
200003,84.13
200004,83.76
200005,83.2
200006,84.32
200007,84.73
200008,83.81
200009,83.12
200010,82.99
200011,83.05
200012,84.24
200101,87.03
200102,87.4
200103,87.65
200104,87.33
200105,89.97
200106,93.51
200107,93.67
200108,93.94
200109,92.59
200110,93
200111,93.88
200112,95.38
200201,97.57
200202,98.03
200203,97.94
200204,99.47
200205,100.12
200206,101.39
200207,100.65
200208,100.66
200209,101.64
200210,102.27
200211,104.79
200212,106.02
200301,106.51
200302,105.38
200303,105.99
200304,105.97
200305,107.89
200306,101.89
200307,100.68
200308,101.33
200309,103.16
200310,104.55
200311,103.72
200312,102.72
200401,105.61
200402,107.14
200403,110.41
200404,110.72
200405,110.74
200406,110.64
200407,112.38
200408,112.19
200409,112.69
200410,113.72
200411,115.04
200412,114.94
200501,114.9
200502,115.57
200503,115.66
200504,114.2
200505,112.35
200506,112.62
200507,113.75
200508,114.05
200509,112.8
200510,109.66
200511,110.01
200512,108.9
200601,110.03
200602,109.03
200603,105.74
200604,104.43
200605,107.15
200606,103.72
200607,102.09
200608,103.05
200609,105.46
200610,108.52
200611,112.32
200612,114.63
200701,115.99
200702,117.43
200703,119.72
200704,121.82
200705,121.06
200706,120.21
200707,122.17
200708,117.81
200709,119.46
200710,121.22
200711,120.29
200712,120.74
200801,120.63
200802,118.05
200803,120.5
200804,123.73
200805,127.03
200806,129.16
200807,134.92
200808,130.93
200809,127.43
200810,116.78
200811,114.5
200812,117.28
200901,112.41
200902,106.2
200903,105.18
200904,108.25
200905,115.18
200906,116.41
200907,121.79
200908,122
200909,121.42
200910,123.23
200911,122.16
200912,120.14
201001,122.45
201002,120.07
201003,122.08
201004,121.35
201005,115.75
201006,113.28
201007,113.67
201008,113.44
201009,112.8
201010,117.99
201011,116.77
201012,114.8
201101,116.43
201102,118.8
201103,120.09
201104,123.56
201105,122.36
201106,122.38
201107,121.55
201108,119.47
201109,113.13
201110,109.32
201111,105.31
201112,106.19
201201,106.34
201202,113.04
201203,112.45
201204,111.88
201205,111.7
201206,111.72
201207,113.69
201208,116.33
201209,115.1
201210,116.12
201211,115.78
201212,114.71
201301,113.43
201302,113.86
201303,108.8
201304,110.77
201305,113.03
201306,112.96
201307,113.18
201308,111.58
201309,111.55
201310,113.43
201311,112.29
201312,111.38
201401,111.48
201402,108.46
201403,108.17
201404,109.32
201405,109.68
201406,108.86
201407,107.76
201408,105.82
201409,104.81
201410,106.09
201411,106.25
201412,104.43
201501,101.91
201502,104.13
201503,103.8
201504,104.69
201505,103.83
201506,102.67
201507,102.63
201508,103.18
201509,102.53
201510,103.05
201511,101.71
201512,101.52
201601,102.85
201602,104.35
201603,102.87
201604,103.75
201605,103.01
201606,103.08
201607,102.81
201608,103.82
201609,104.32
201610,105.16
201611,104.71
201612,103.26
201701,105.11
201702,104.89
201703,104.15
201704,103.17
201705,104.79
201706,105.68
201707,107.19
201708,108.5
201709,106.78
201710,106.24
201711,105.95
201712,105.41
201801,107.61
201802,106.71
201803,106.23
201804,106.77
201805,104.87
201806,103.14
201807,103.55
201808,104.16
201809,103.96
201810,104.04
201811,104.16
201812,103.71
201901,105.17
201902,105.7
201903,106.31
201904,104.86
201905,104.43
201906,104.96
201907,104.09
201908,103.76
201909,101.54
201910,102.13
201911,101.36
201912,102.31
202001,101.77
202002,100.49
202003,100.4
202004,97.08
202005,99.21
202006,100.83
202007,101.33
202008,102.96
202009,99.13
202010,98.64
202011,98.69
202012,99.47
202101,99.56
202102,99.67
202103,98.08
202104,100.09
202105,102.51
202106,103.5
202107,101.33
202108,102.53
202109,102.08
202110,99.67
202111,98.54
202112,97.55
202201,100.04
202202,100.82
202203,94.79
202204,94.97
202205,93.59
202206,91.41
202207,90.52
202208,92.04
202209,94.82
202210,93.24
202211,98.19
202212,100.58
202301,105.05
202302,108.33
202303,108.85
202304,112.88
202305,113.1
202306,114.29
202307,112.77
202308,111.23
202309,110.7
202310,110.41
202311,112.72
202312,111.11
202401,111.91
202402,109.98
202403,109.02
202404,109.9
202405,111.22
202406,108.79
202407,110.16
202408,109.4
202409,109.07
202410,106.64
202411,104.96
202412,104.18
202501,105.31
202502,107.65
202503,109.69
202504,109.49
202505,109.83
202506,110.89
202507,112.44
202508,113.04
202509,114.51
202510,114.51
202511,116.32
202512,116.27
202601,116.68
202602,117.75
202603,113.74
202604,119.56
202605,123.06
