DATES,STX
08/07/2026,76503.6
07/07/2026,78180.72
06/07/2026,78285.07
03/07/2026,77763.91
02/07/2026,77502.12
01/07/2026,76922.64
30/06/2026,76478.67
29/06/2026,76728.37
25/06/2026,77100.47
24/06/2026,76991.22
23/06/2026,76200.68
22/06/2026,77094.07
19/06/2026,76802.9
18/06/2026,77409.98
17/06/2026,77155.62
16/06/2026,76808.48
15/06/2026,76264.33
12/06/2026,75527.95
11/06/2026,73832.55
10/06/2026,73983.18
09/06/2026,73918.76
08/06/2026,73524.26
05/06/2026,74243.34
04/06/2026,74360.01
03/06/2026,74346.17
02/06/2026,74649.84
01/06/2026,74267.34
29/05/2026,74775.74
27/05/2026,75867.8
26/05/2026,76009.7
25/05/2026,76488.96
22/05/2026,75415.35
21/05/2026,75183.36
20/05/2026,75318.39
19/05/2026,75200.85
18/05/2026,75315.04
15/05/2026,75237.99
14/05/2026,75398.72
13/05/2026,74608.98
12/05/2026,74559.24
11/05/2026,76015.28
08/05/2026,77328.19
07/05/2026,77844.52
06/05/2026,77958.52
05/05/2026,77017.79
04/05/2026,77269.4
30/04/2026,76913.5
29/04/2026,77496.36
28/04/2026,76886.91
27/04/2026,77303.63
24/04/2026,76664.21
23/04/2026,77664.0
22/04/2026,78516.49
21/04/2026,79273.33
20/04/2026,78520.3
17/04/2026,78493.54
16/04/2026,77988.68
15/04/2026,78111.24
13/04/2026,76847.57
10/04/2026,77550.25
09/04/2026,76631.65
08/04/2026,77562.9
07/04/2026,74616.58
06/04/2026,74106.85
02/04/2026,73319.55
01/04/2026,73134.32
30/03/2026,71947.55
27/03/2026,73583.22
25/03/2026,75273.45
24/03/2026,74068.45
23/03/2026,72696.39
20/03/2026,74532.96
19/03/2026,74207.24
18/03/2026,76704.13
17/03/2026,76070.84
16/03/2026,75502.85
13/03/2026,74563.92
12/03/2026,76034.42
11/03/2026,76863.71
10/03/2026,78205.98
09/03/2026,77566.16
06/03/2026,78918.9
05/03/2026,80015.9
04/03/2026,79116.19
02/03/2026,80238.85
27/02/2026,81287.19
26/02/2026,82248.61
25/02/2026,82276.07
24/02/2026,82225.92
23/02/2026,83294.66
20/02/2026,82814.71
19/02/2026,82498.14
18/02/2026,83734.25
17/02/2026,83450.96
16/02/2026,83277.15
13/02/2026,82626.76
12/02/2026,83674.92
11/02/2026,84233.64
10/02/2026,84273.92
09/02/2026,84065.75
06/02/2026,83580.4
05/02/2026,83313.93
04/02/2026,83817.69
03/02/2026,83739.13
02/02/2026,81666.46
01/02/2026,80722.94
30/01/2026,82269.78
29/01/2026,82566.37
28/01/2026,82344.68
27/01/2026,81857.48
23/01/2026,81537.7
22/01/2026,82307.37
21/01/2026,81909.63
20/01/2026,82180.47
19/01/2026,83246.18
16/01/2026,83570.35
14/01/2026,83382.71
13/01/2026,83627.69
12/01/2026,83878.17
09/01/2026,83576.24
08/01/2026,84180.96
07/01/2026,84961.14
06/01/2026,85063.34
05/01/2026,85439.62
02/01/2026,85762.01
01/01/2026,85188.6
31/12/2025,85220.6
30/12/2025,84675.08
29/12/2025,84695.54
26/12/2025,85041.45
24/12/2025,85408.7
23/12/2025,85524.84
22/12/2025,85567.48
19/12/2025,84929.36
18/12/2025,84481.81
17/12/2025,84559.65
16/12/2025,84679.86
15/12/2025,85213.36
12/12/2025,85267.66
11/12/2025,84818.13
10/12/2025,84391.27
09/12/2025,84666.28
08/12/2025,85102.69
05/12/2025,85712.37
04/12/2025,85265.32
03/12/2025,85106.81
02/12/2025,85138.27
01/12/2025,85641.9
28/11/2025,85706.67
27/11/2025,85720.38
26/11/2025,85609.51
25/11/2025,84587.01
24/11/2025,84900.71
21/11/2025,85231.92
20/11/2025,85632.68
19/11/2025,85186.47
18/11/2025,84673.02
17/11/2025,84950.95
14/11/2025,84562.78
13/11/2025,84478.67
12/11/2025,84466.51
11/11/2025,83871.32
10/11/2025,83535.35
07/11/2025,83216.28
06/11/2025,83311.01
04/11/2025,83459.15
03/11/2025,83978.49
31/10/2025,83938.71
30/10/2025,84404.46
29/10/2025,84997.13
28/10/2025,84628.16
27/10/2025,84778.84
24/10/2025,84211.88
23/10/2025,84556.4
21/10/2025,84426.34
20/10/2025,84363.37
17/10/2025,83952.19
16/10/2025,83467.66
15/10/2025,82605.43
14/10/2025,82029.98
13/10/2025,82327.05
10/10/2025,82500.82
09/10/2025,82172.1
08/10/2025,81773.66
07/10/2025,81926.75
06/10/2025,81790.12
03/10/2025,81207.17
01/10/2025,80983.31
30/09/2025,80267.62
29/09/2025,80364.94
26/09/2025,80426.46
25/09/2025,81159.68
24/09/2025,81715.63
23/09/2025,82102.1
22/09/2025,82159.97
19/09/2025,82626.23
18/09/2025,83013.96
17/09/2025,82693.71
16/09/2025,82380.69
15/09/2025,81785.74
12/09/2025,81904.7
11/09/2025,81548.73
10/09/2025,81425.15
09/09/2025,81101.32
08/09/2025,80787.3
05/09/2025,80710.76
04/09/2025,80718.01
03/09/2025,80567.71
02/09/2025,80157.88
01/09/2025,80364.49
29/08/2025,79809.65
28/08/2025,80080.57
26/08/2025,80786.54
25/08/2025,81635.91
22/08/2025,81306.85
21/08/2025,82000.71
20/08/2025,81857.84
19/08/2025,81644.39
18/08/2025,81273.75
14/08/2025,80597.66
13/08/2025,80539.91
12/08/2025,80235.59
11/08/2025,80604.08
08/08/2025,79857.79
07/08/2025,80623.26
06/08/2025,80543.99
05/08/2025,80710.25
04/08/2025,81018.72
01/08/2025,80599.91
31/07/2025,81185.58
30/07/2025,81481.86
29/07/2025,81337.95
28/07/2025,80891.02
25/07/2025,81463.09
24/07/2025,82184.17
23/07/2025,82726.64
22/07/2025,82186.81
21/07/2025,82200.34
18/07/2025,81757.73
17/07/2025,82259.24
16/07/2025,82634.48
15/07/2025,82570.91
14/07/2025,82253.46
11/07/2025,82500.47
10/07/2025,83190.28
09/07/2025,83536.08
08/07/2025,83712.51
07/07/2025,83442.5
04/07/2025,83432.89
03/07/2025,83239.47
02/07/2025,83409.69
01/07/2025,83697.29
30/06/2025,83606.46
27/06/2025,84058.9
26/06/2025,83755.87
25/06/2025,82755.51
24/06/2025,82055.11
23/06/2025,81896.79
20/06/2025,82408.17
19/06/2025,81361.87
18/06/2025,81444.66
17/06/2025,81583.3
16/06/2025,81796.15
13/06/2025,81118.6
12/06/2025,81691.98
11/06/2025,82515.14
10/06/2025,82391.72
09/06/2025,82445.21
06/06/2025,82188.99
05/06/2025,81442.04
04/06/2025,80998.25
03/06/2025,80737.51
02/06/2025,81373.75
30/05/2025,81451.01
29/05/2025,81633.02
28/05/2025,81312.32
27/05/2025,81551.63
26/05/2025,82176.45
23/05/2025,81721.08
22/05/2025,80951.99
21/05/2025,81596.63
20/05/2025,81186.44
19/05/2025,82059.42
16/05/2025,82330.59
15/05/2025,82530.74
14/05/2025,81330.56
13/05/2025,81148.22
12/05/2025,82429.9
09/05/2025,79454.47
08/05/2025,80334.81
07/05/2025,80746.78
06/05/2025,80641.07
05/05/2025,80796.84
02/05/2025,80501.99
30/04/2025,80242.24
29/04/2025,80288.38
28/04/2025,80218.37
25/04/2025,79212.53
24/04/2025,79801.43
23/04/2025,80116.49
22/04/2025,79595.59
21/04/2025,79408.5
17/04/2025,78553.2
16/04/2025,77044.29
15/04/2025,76734.89
11/04/2025,75157.26
09/04/2025,73847.15
08/04/2025,74227.08
07/04/2025,73137.9
04/04/2025,75364.69
03/04/2025,76295.36
02/04/2025,76617.44
01/04/2025,76024.51
28/03/2025,77414.92
27/03/2025,77606.43
26/03/2025,77288.5
25/03/2025,78017.19
24/03/2025,77984.38
21/03/2025,76905.51
20/03/2025,76348.06
19/03/2025,75449.05
18/03/2025,75301.26
17/03/2025,74169.95
13/03/2025,73828.91
12/03/2025,74029.76
11/03/2025,74102.32
10/03/2025,74115.17
07/03/2025,74332.58
06/03/2025,74340.09
05/03/2025,73730.23
04/03/2025,72989.93
03/03/2025,73085.94
28/02/2025,73198.1
27/02/2025,74612.43
25/02/2025,74602.12
24/02/2025,74454.41
21/02/2025,75311.06
20/02/2025,75735.96
19/02/2025,75939.18
18/02/2025,75967.39
17/02/2025,75996.86
14/02/2025,75939.21
13/02/2025,76138.97
12/02/2025,76171.08
11/02/2025,76293.6
10/02/2025,77311.8
07/02/2025,77860.19
06/02/2025,78058.16
05/02/2025,78271.28
04/02/2025,78583.81
03/02/2025,77186.74
01/02/2025,77505.96
31/01/2025,77500.57
30/01/2025,76759.81
29/01/2025,76532.96
28/01/2025,75901.41
27/01/2025,75366.17
24/01/2025,76190.46
23/01/2025,76520.38
22/01/2025,76404.99
21/01/2025,75838.36
20/01/2025,77073.44
17/01/2025,76619.33
16/01/2025,77042.82
15/01/2025,76724.08
14/01/2025,76499.63
13/01/2025,76330.01
10/01/2025,77378.91
09/01/2025,77620.21
08/01/2025,78148.49
07/01/2025,78199.11
06/01/2025,77964.99
03/01/2025,79223.11
02/01/2025,79943.71
01/01/2025,78507.41
31/12/2024,78139.01
30/12/2024,78248.13
27/12/2024,78699.07
26/12/2024,78472.48
24/12/2024,78472.87
23/12/2024,78540.17
20/12/2024,78041.59
19/12/2024,79218.05
18/12/2024,80182.2
17/12/2024,80684.45
16/12/2024,81748.57
13/12/2024,82133.12
12/12/2024,81289.96
11/12/2024,81526.14
10/12/2024,81510.05
09/12/2024,81508.46
06/12/2024,81709.12
05/12/2024,81765.86
04/12/2024,80956.33
03/12/2024,80845.75
02/12/2024,80248.08
29/11/2024,79802.79
28/11/2024,79043.74
27/11/2024,80234.08
26/11/2024,80004.06
25/11/2024,80109.85
22/11/2024,79117.11
21/11/2024,77155.79
19/11/2024,77578.38
18/11/2024,77339.01
14/11/2024,77580.31
13/11/2024,77690.95
12/11/2024,78675.18
11/11/2024,79496.15
08/11/2024,79486.32
07/11/2024,79541.79
06/11/2024,80378.13
05/11/2024,79476.63
04/11/2024,78782.24
01/11/2024,79724.12
31/10/2024,79389.06
30/10/2024,79942.18
29/10/2024,80369.03
28/10/2024,80005.04
25/10/2024,79402.29
24/10/2024,80065.16
23/10/2024,80081.98
22/10/2024,80220.72
21/10/2024,81151.27
18/10/2024,81224.75
17/10/2024,81006.61
16/10/2024,81501.36
15/10/2024,81820.12
14/10/2024,81973.05
11/10/2024,81381.36
10/10/2024,81611.41
09/10/2024,81467.1
08/10/2024,81634.81
07/10/2024,81050.0
04/10/2024,81688.45
03/10/2024,82497.1
01/10/2024,84266.29
30/09/2024,84299.78
27/09/2024,85571.85
26/09/2024,85836.12
25/09/2024,85169.87
24/09/2024,84914.04
23/09/2024,84928.61
20/09/2024,84544.31
19/09/2024,83184.8
18/09/2024,82948.23
17/09/2024,83079.66
16/09/2024,82988.78
13/09/2024,82890.94
12/09/2024,82962.71
11/09/2024,81523.16
10/09/2024,81921.29
09/09/2024,81559.54
06/09/2024,81183.93
05/09/2024,82201.16
04/09/2024,82352.64
03/09/2024,82555.44
02/09/2024,82559.84
30/08/2024,82365.77
29/08/2024,82134.61
28/08/2024,81785.56
27/08/2024,81711.76
26/08/2024,81698.11
23/08/2024,81086.21
22/08/2024,81053.19
21/08/2024,80905.3
20/08/2024,80802.86
19/08/2024,80424.68
16/08/2024,80436.84
14/08/2024,79105.88
13/08/2024,78956.03
12/08/2024,79648.92
09/08/2024,79705.91
08/08/2024,78886.22
07/08/2024,79468.01
06/08/2024,78593.07
05/08/2024,78759.4
02/08/2024,80981.95
01/08/2024,81867.55
31/07/2024,81741.34
30/07/2024,81455.4
29/07/2024,81355.84
26/07/2024,81332.72
25/07/2024,80039.8
24/07/2024,80148.88
23/07/2024,80429.04
22/07/2024,80502.08
19/07/2024,80604.65
18/07/2024,81343.46
16/07/2024,80716.55
15/07/2024,80664.86
12/07/2024,80519.34
11/07/2024,79897.34
10/07/2024,79924.77
09/07/2024,80351.64
08/07/2024,79960.38
05/07/2024,79996.6
04/07/2024,80049.67
03/07/2024,79986.8
02/07/2024,79441.45
01/07/2024,79476.19
28/06/2024,79032.73
27/06/2024,79243.18
26/06/2024,78674.25
25/06/2024,78053.52
24/06/2024,77341.08
21/06/2024,77209.9
20/06/2024,77478.93
19/06/2024,77337.59
18/06/2024,77301.14
14/06/2024,76992.77
13/06/2024,76810.9
12/06/2024,76606.57
11/06/2024,76456.59
10/06/2024,76490.08
07/06/2024,76693.36
06/06/2024,75074.51
05/06/2024,74382.24
04/06/2024,72079.05
03/06/2024,76468.78
31/05/2024,73961.31
30/05/2024,73885.6
29/05/2024,74502.9
28/05/2024,75170.45
27/05/2024,75390.5
24/05/2024,75410.39
23/05/2024,75418.04
22/05/2024,74221.06
21/05/2024,73953.31
18/05/2024,74005.94
17/05/2024,73917.03
16/05/2024,73663.72
15/05/2024,72987.03
14/05/2024,73104.61
13/05/2024,72776.13
10/05/2024,72664.47
09/05/2024,72404.17
08/05/2024,73466.39
07/05/2024,73511.85
06/05/2024,73895.54
03/05/2024,73878.15
02/05/2024,74611.11
30/04/2024,74482.78
29/04/2024,74671.28
26/04/2024,73730.16
25/04/2024,74339.44
24/04/2024,73852.94
23/04/2024,73738.45
22/04/2024,73648.62
19/04/2024,73088.33
18/04/2024,72488.99
16/04/2024,72943.68
15/04/2024,73399.78
12/04/2024,74244.9
10/04/2024,75038.15
09/04/2024,74683.7
08/04/2024,74742.5
05/04/2024,74248.22
04/04/2024,74227.63
03/04/2024,73876.82
02/04/2024,73903.91
01/04/2024,74014.55
28/03/2024,73651.35
27/03/2024,72996.31
26/03/2024,72470.3
22/03/2024,72831.94
21/03/2024,72641.19
20/03/2024,72101.69
19/03/2024,72012.05
18/03/2024,72748.42
15/03/2024,72643.43
14/03/2024,73097.28
13/03/2024,72761.89
12/03/2024,73667.96
11/03/2024,73502.64
07/03/2024,74119.39
06/03/2024,74085.99
05/03/2024,73677.13
04/03/2024,73872.29
02/03/2024,73806.15
01/03/2024,73745.35
29/02/2024,72500.3
28/02/2024,72304.88
27/02/2024,73095.22
26/02/2024,72790.13
23/02/2024,73142.8
22/02/2024,73158.24
21/02/2024,72623.09
20/02/2024,73057.4
19/02/2024,72708.16
16/02/2024,72426.64
15/02/2024,72050.38
14/02/2024,71822.83
13/02/2024,71555.19
12/02/2024,71072.49
09/02/2024,71595.49
08/02/2024,71428.43
07/02/2024,72152.0
06/02/2024,72186.09
05/02/2024,71731.42
02/02/2024,72085.63
01/02/2024,71645.3
31/01/2024,71752.11
30/01/2024,71139.9
29/01/2024,71941.57
25/01/2024,70700.67
24/01/2024,71060.31
