DATES,rEER
199401,92.55
199402,92.29
199403,92.38
199404,93.79
199405,93.37
199406,93.78
199407,92.97
199408,93.14
199409,92.25
199410,92.03
199411,92.45
199412,94.38
199501,94.63
199502,94.22
199503,90.88
199504,91.14
199505,92.04
199506,91.71
199507,92.42
199508,93.53
199509,89.37
199510,85.01
199511,85.19
199512,84.77
199601,83.05
199602,81.1
199603,85.94
199604,87.58
199605,86.56
199606,86.79
199607,86.36
199608,86.06
199609,86.25
199610,86.44
199611,85.71
199612,86.64
199701,87.44
199702,89.42
199703,89.96
199704,91.61
199705,90.71
199706,91.01
199707,92.52
199708,93.77
199709,92.78
199710,93.23
199711,90.73
199712,89.23
199801,92.23
199802,91.31
199803,89.72
199804,90.48
199805,89.6
199806,87.76
199807,88.09
199808,87.76
199809,86.55
199810,85.13
199811,85.89
199812,84.87
199901,84.46
199902,86.13
199903,87.45
199904,87.27
199905,87.42
199906,87.51
199907,87.49
199908,86.57
199909,86.5
199910,86.61
199911,87.68
199912,87.26
200001,86.82
200002,88.08
200003,90.22
200004,91.81
200005,93.09
200006,90.55
200007,90.94
200008,90.24
200009,91.56
200010,93.3
200011,92.85
200012,91.76
200101,91.27
200102,91.79
200103,92.85
200104,93.83
200105,93.71
200106,94.72
200107,94.8
200108,93.15
200109,91.51
200110,91.91
200111,92.52
200112,92.62
200201,91.8
200202,91.36
200203,91.25
200204,90.22
200205,88.76
200206,88.36
200207,87.59
200208,89.3
200209,89.58
200210,89.99
200211,89.17
200212,88.32
200301,87.18
200302,87.74
200303,88.8
200304,89.76
200305,87.92
200306,88.43
200307,90.21
200308,91.51
200309,91.71
200310,90.79
200311,90.8
200312,88.78
200401,88.55
200402,88.9
200403,90.32
200404,93.24
200405,91.57
200406,90.39
200407,89.73
200408,90.73
200409,90.76
200410,90.25
200411,90.12
200412,90.01
200501,91.49
200502,91.29
200503,90.83
200504,92.46
200505,93.13
200506,94.99
200507,96.68
200508,95.03
200509,94.63
200510,93.76
200511,93.18
200512,92.09
200601,93.65
200602,94.01
200603,93.42
200604,92.72
200605,90.5
200606,91.18
200607,90.76
200608,90.42
200609,92.06
200610,94.15
200611,94.12
200612,92.76
200701,94.29
200702,94.02
200703,93.9
200704,98.12
200705,100.81
200706,101.01
200707,101.04
200708,100.48
200709,100.41
200710,100.78
200711,99.11
200712,99.12
200801,98.79
200802,97.81
200803,96.18
200804,97.29
200805,92.74
200806,93.23
200807,93.07
200808,95.33
200809,91.58
200810,89.79
200811,90.72
200812,88.62
200901,88.67
200902,88.54
200903,85.08
200904,86.5
200905,87.78
200906,88.61
200907,88.07
200908,88.34
200909,87.57
200910,89.94
200911,90.96
200912,91.79
201001,94.78
201002,94.93
201003,97.06
201004,100.8
201005,100.61
201006,100.61
201007,98.66
201008,98.3
201009,98.89
201010,99.84
201011,99.32
201012,101.75
201101,101.28
201102,100.04
201103,100.65
201104,101.94
201105,100.56
201106,101.01
201107,102.5
201108,100.33
201109,98.1
201110,95.67
201111,93.34
201112,90.89
201201,93.96
201202,96.63
201203,95.26
201204,93.91
201205,90.72
201206,89.77
201207,91.6
201208,91.33
201209,92.24
201210,93.98
201211,91.52
201212,90.97
201301,90.32
201302,91.48
201303,91.54
201304,92.01
201305,91.7
201306,88.34
201307,88.14
201308,83.98
201309,83.29
201310,86.27
201311,86.54
201312,85.95
201401,85.25
201402,84.77
201403,86.65
201404,87.99
201405,89.87
201406,90.15
201407,91.48
201408,91.55
201409,92.28
201410,92.43
201411,93.34
201412,92.44
201501,95.37
201502,96.01
201503,96.87
201504,96.26
201505,94.27
201506,95.69
201507,97.34
201508,97.1
201509,96.25
201510,97.91
201511,98.23
201512,97.51
201601,97.83
201602,94.98
201603,95.68
201604,95.77
201605,96.64
201606,97.29
201607,98.86
201608,98.41
201609,98.31
201610,99.61
201611,99.72
201612,100.06
201701,98.9
201702,99.73
201703,101.45
201704,103.15
201705,102.67
201706,102.29
201707,103.42
201708,103.6
201709,101.51
201710,102.06
201711,103.48
201712,103.32
201801,101.76
201802,98.69
201803,98.01
201804,97.59
201805,97.08
201806,98.07
201807,98.88
201808,98.76
201809,94.79
201810,93.73
201811,96.79
201812,97.49
201901,96.42
201902,95.29
201903,97.95
201904,98.68
201905,99.45
201906,100.27
201907,102.04
201908,100.22
201909,100.48
201910,101.23
201911,101.14
201912,102.26
202001,101.18
202002,100.98
202003,98.16
202004,99.29
202005,99.73
202006,98.57
202007,99.87
202008,99.38
202009,101.48
202010,102.26
202011,100.59
202012,98.51
202101,97.74
202102,97.97
202103,99.23
202104,97.29
202105,99.72
202106,99.81
202107,100.13
202108,100.8
202109,101.34
202110,100.73
202111,102.15
202112,100.8
202201,101.18
202202,99.7
202203,99.71
202204,101.4
202205,102.6
202206,101.74
202207,101.43
202208,102.18
202209,104.1
202210,103.61
202211,102.27
202212,98.05
202301,97.22
202302,96.74
202303,97.77
202304,97.9
202305,98.82
202306,100.94
202307,103.36
202308,103.32
202309,102.72
202310,103.82
202311,102.97
202312,101.33
202401,101.78
202402,101.99
202403,101.94
202404,102.78
202405,102.99
202406,104.47
202407,105.32
202408,102.84
202409,102.42
202410,104.65
202411,106.1
202412,105.41
202501,103.02
202502,100.55
202503,100.04
202504,100.22
202505,99.62
202506,98.31
202507,98.29
202508,97.27
202509,95.89
202510,96.05
202511,96.28
202512,94.15
202601,93.2
202602,91.98
202603,90.99
202604,89.7
202605,88.01
