DATES,CPI
31/01/1968,0.5623475
29/02/1968,0.6185822
31/03/1968,0.6373270999999999
30/04/1968,0.5998373
31/05/1968,0.6310788
30/06/1968,0.6498236999999999
31/07/1968,0.6810653
31/08/1968,0.6998101
30/09/1968,0.6998101
31/10/1968,0.6935619000000001
30/11/1968,0.8497695
31/12/1968,0.7497965999999999
31/01/1969,0.7622932
28/02/1969,0.7747898
31/03/1969,0.7935348000000001
30/04/1969,0.7560449
31/05/1969,0.7560449
30/06/1969,0.7435483
31/07/1969,0.7560449
31/08/1969,0.7810381
30/09/1969,0.7810381
31/10/1969,0.7935348000000001
30/11/1969,0.8060313
31/12/1969,0.8185279000000001
31/01/1970,0.8810110000000001
28/02/1970,0.8810110000000001
31/03/1970,0.8747627
30/04/1970,0.8622661
31/05/1970,0.8622661
30/06/1970,0.8747627
31/07/1970,0.8747627
31/08/1970,0.8747627
30/09/1970,0.8560177999999999
31/10/1970,0.8560177999999999
30/11/1970,0.8872593000000001
31/12/1970,0.8935076
31/01/1971,0.9185008
28/02/1971,0.943494
31/03/1971,0.943494
30/04/1971,0.9309974
31/05/1971,0.9060041999999999
30/06/1971,0.8935076
31/07/1971,0.8935076
31/08/1971,0.8872593000000001
30/09/1971,0.8810110000000001
31/10/1971,0.8935076
30/11/1971,0.9185008
31/12/1971,0.9122524999999999
31/01/1972,0.9309974
29/02/1972,0.9497424000000001
31/03/1972,0.9497424000000001
30/04/1972,0.9497424000000001
31/05/1972,0.943494
30/06/1972,0.9247491
31/07/1972,0.9185008
31/08/1972,0.9247491
30/09/1972,0.9372457000000001
31/10/1972,0.9747355999999999
30/11/1972,1.080957
31/12/1972,1.1496879999999998
31/01/1973,1.130943
28/02/1973,1.137192
31/03/1973,1.1496879999999998
30/04/1973,1.18093
31/05/1973,1.18093
30/06/1973,1.2434129999999999
31/07/1973,1.305896
31/08/1973,1.305896
30/09/1973,1.349634
31/10/1973,1.387124
30/11/1973,1.412117
31/12/1973,1.4621030000000002
31/01/1974,1.612063
28/02/1974,1.6682970000000001
31/03/1974,1.6932909999999999
30/04/1974,1.7620220000000002
31/05/1974,1.7620220000000002
30/06/1974,1.7807669999999998
31/07/1974,1.7870150000000002
31/08/1974,1.7870150000000002
30/09/1974,1.8245049999999998
31/10/1974,1.874491
30/11/1974,1.9119810000000002
31/12/1974,1.9557189999999998
31/01/1975,1.974464
28/02/1975,1.993209
31/03/1975,2.0306990000000003
30/04/1975,2.068189
31/05/1975,2.086934
30/06/1975,2.086934
31/07/1975,2.1056790000000003
31/08/1975,2.1244240000000003
30/09/1975,2.205652
31/10/1975,2.224396
30/11/1975,2.28688
31/12/1975,2.336866
31/01/1976,2.386853
29/02/1976,2.436839
31/03/1976,2.436839
30/04/1976,2.449336
31/05/1976,2.493074
30/06/1976,2.536812
31/07/1976,2.561805
31/08/1976,2.605543
30/09/1976,2.668026
31/10/1976,2.668026
30/11/1976,2.674274
31/12/1976,2.668026
31/01/1977,2.711764
28/02/1977,2.718013
31/03/1977,2.730509
30/04/1977,2.755502
31/05/1977,2.799241
30/06/1977,2.799241
31/07/1977,2.842979
31/08/1977,2.861724
30/09/1977,2.905462
31/10/1977,2.91171
30/11/1977,2.942952
31/12/1977,2.9866900000000003
31/01/1978,2.9866900000000003
28/02/1978,2.992938
31/03/1978,3.005435
30/04/1978,3.0616689999999998
31/05/1978,3.049173
30/06/1978,3.005435
31/07/1978,3.055421
31/08/1978,3.092911
30/09/1978,3.055421
31/10/1978,3.0804139999999998
30/11/1978,3.149146
31/12/1978,3.186635
31/01/1979,3.192884
28/02/1979,3.267864
31/03/1979,3.267864
30/04/1979,3.367836
31/05/1979,3.4678089999999995
30/06/1979,3.555285
31/07/1979,3.6427620000000003
31/08/1979,3.72399
30/09/1979,3.7552309999999998
31/10/1979,3.7864730000000004
30/11/1979,3.8114660000000002
31/12/1979,3.842708
31/01/1980,3.886446
29/02/1980,3.94268
31/03/1980,3.9551769999999995
30/04/1980,3.992667
31/05/1980,4.142626
30/06/1980,4.205108999999999
31/07/1980,4.255095
31/08/1980,4.305082
30/09/1980,4.317579
31/10/1980,4.392558999999999
30/11/1980,4.486283
31/12/1980,4.49878
31/01/1981,4.561262999999999
28/02/1981,4.592504
31/03/1981,4.6237449999999995
30/04/1981,4.667484
31/05/1981,4.673732
30/06/1981,4.692476999999999
