DATES,GDP
01/03/2000,1012908548.9
01/06/2000,1007085097.4
01/09/2000,1031621787.4
01/12/2000,1061287238.5
01/03/2001,1053724548.7
01/06/2001,1064503041.7
01/09/2001,1064723806.5
01/12/2001,1079803504.2
01/03/2002,1092967373.4
01/06/2002,1107016689.4
01/09/2002,1121225595.6
01/12/2002,1133346850.7
01/03/2003,1148138310.8
01/06/2003,1161156638.7
01/09/2003,1173320795.6
01/12/2003,1184885007.8
01/03/2004,1198807260.6
01/06/2004,1213143896.8
01/09/2004,1227905795.3
01/12/2004,1262459879.8
01/03/2005,1272698656.9
01/06/2005,1287273733.3
01/09/2005,1301458227.9
01/12/2005,1319954094.9
01/03/2006,1337393578.3
01/06/2006,1354469278.2
01/09/2006,1376301897.3
01/12/2006,1398245434.2
01/03/2007,1420985934.2
01/06/2007,1444669538.6
01/09/2007,1467445669.0
01/12/2007,1480153989.0
01/03/2008,1513071211.2
01/06/2008,1535483757.5
01/09/2008,1555822432.3
01/12/2008,1558469599.0
01/03/2009,1579736481.2
01/06/2009,1599686188.7
01/09/2009,1624635349.7
01/12/2009,1648551780.5
01/03/2010,1675172557.0
01/06/2010,1703433185.8
01/09/2010,1728907813.1
01/12/2010,1756619544.1
01/03/2011,1782182595.6
01/06/2011,1807970614.5
01/09/2011,1835409706.8
01/12/2011,1862072383.1
01/03/2012,1890327515.5
01/06/2012,1918317446.2
01/09/2012,1945632295.8
01/12/2012,1972806142.5
01/03/2013,1999867862.7
01/06/2013,2026008935.3
01/09/2013,2052231834.9
01/12/2013,2078389167.2
01/03/2014,2103242353.3
01/06/2014,2128987700.5
01/09/2014,2154020904.1
01/12/2014,2178615642.0
01/03/2015,2205428638.1
01/06/2015,2230976381.8
01/09/2015,2258579199.3
01/12/2015,2287532880.8
01/03/2016,2314818296.5
01/06/2016,2344644370.3
01/09/2016,2373238785.4
01/12/2016,2401911947.7
01/03/2017,2432412007.9
01/06/2017,2462033897.1
01/09/2017,2493343946.0
01/12/2017,2525138248.9
01/03/2018,2557067719.8
01/06/2018,2589853860.1
01/09/2018,2622737460.5
01/12/2018,2656192859.6
01/03/2019,2689375112.4
01/06/2019,2722616908.9
01/09/2019,2754072774.5
01/12/2019,2783090604.2
01/03/2020,2765766066.6
01/06/2020,2577176022.7
01/09/2020,2660518545.4
01/12/2020,2719538665.3
01/03/2021,2747386950.5
01/06/2021,2761746203.8
01/09/2021,2768068745.1
01/12/2021,2842857800.5
01/03/2022,2876278883.1
01/06/2022,2909986201.9
01/09/2022,2943232687.7
01/12/2022,2980725427.2
01/03/2023,3016871929.9
01/06/2023,3056593500.7
01/09/2023,3094933476.5
01/12/2023,3133053692.8
01/03/2024,3173046610.0
01/06/2024,3209381173.7
01/09/2024,3249343102.1
01/12/2024,3288761514.2
01/03/2025,3328465246.3
01/06/2025,3372887814.5
01/09/2025,3416222982.6
01/12/2025,3462948656.6
01/03/2026,3510282996.2
