DATES,Ryr
09/07/2026,7.281
08/07/2026,7.258
07/07/2026,7.183
06/07/2026,7.146
03/07/2026,7.153
02/07/2026,7.153
01/07/2026,7.153
30/06/2026,7.167
29/06/2026,7.138
26/06/2026,7.182
25/06/2026,7.182
24/06/2026,7.167
23/06/2026,7.218
22/06/2026,7.129
19/06/2026,7.070
18/06/2026,6.968
17/06/2026,6.910
15/06/2026,6.939
12/06/2026,7.165
11/06/2026,7.442
10/06/2026,7.479
09/06/2026,7.404
08/06/2026,7.313
05/06/2026,6.902
04/06/2026,6.823
03/06/2026,6.709
02/06/2026,6.716
29/05/2026,6.716
26/05/2026,6.709
25/05/2026,6.695
22/05/2026,6.737
21/05/2026,6.887
20/05/2026,6.794
19/05/2026,6.779
18/05/2026,6.851
13/05/2026,6.709
12/05/2026,6.737
11/05/2026,6.638
08/05/2026,6.701
07/05/2026,6.701
06/05/2026,6.701
05/05/2026,6.822
04/05/2026,6.829
30/04/2026,6.829
29/04/2026,6.957
28/04/2026,6.779
27/04/2026,6.814
24/04/2026,6.715
23/04/2026,6.715
22/04/2026,6.638
21/04/2026,6.583
20/04/2026,6.583
17/04/2026,6.583
16/04/2026,6.583
15/04/2026,6.583
14/04/2026,6.604
13/04/2026,6.604
10/04/2026,6.548
09/04/2026,6.576
08/04/2026,6.624
07/04/2026,6.624
06/04/2026,6.624
02/04/2026,6.624
01/04/2026,6.673
31/03/2026,6.884
30/03/2026,6.848
27/03/2026,6.848
26/03/2026,6.848
25/03/2026,6.847
17/03/2026,6.847
16/03/2026,6.932
13/03/2026,6.818
12/03/2026,6.776
11/03/2026,6.692
10/03/2026,6.692
09/03/2026,6.741
06/03/2026,6.588
05/03/2026,6.588
04/03/2026,6.636
03/03/2026,6.552
02/03/2026,6.478
27/02/2026,6.411
26/02/2026,6.404
25/02/2026,6.410
24/02/2026,6.438
23/02/2026,6.451
20/02/2026,6.458
19/02/2026,6.458
18/02/2026,6.424
13/02/2026,6.409
12/02/2026,6.409
11/02/2026,6.436
10/02/2026,6.436
09/02/2026,6.464
06/02/2026,6.444
05/02/2026,6.317
04/02/2026,6.297
03/02/2026,6.364
02/02/2026,6.330
30/01/2026,6.346
29/01/2026,6.374
28/01/2026,6.367
27/01/2026,6.364
