DATES,STX
29/06/2026,5820.7900390625
26/06/2026,5896.1337890625
25/06/2026,5999.0380859375
24/06/2026,5883.880859375
23/06/2026,6101.3330078125
22/06/2026,6116.68994140625
19/06/2026,6177.13916015625
18/06/2026,6172.33984375
17/06/2026,6220.740234375
15/06/2026,6254.9658203125
12/06/2026,6007.65576171875
11/06/2026,5886.0322265625
10/06/2026,5902.3759765625
09/06/2026,5746.64794921875
08/06/2026,5342.13720703125
05/06/2026,5594.76513671875
04/06/2026,5839.78515625
03/06/2026,5941.06591796875
02/06/2026,6195.4267578125
29/05/2026,6127.380859375
26/05/2026,6130.18994140625
25/05/2026,6206.34912109375
22/05/2026,6162.044921875
21/05/2026,6094.94091796875
20/05/2026,6318.5
19/05/2026,6370.67919921875
18/05/2026,6599.240234375
13/05/2026,6723.31982421875
12/05/2026,6858.89892578125
11/05/2026,6905.6201171875
08/05/2026,6969.39599609375
07/05/2026,7174.32080078125
06/05/2026,7092.466796875
05/05/2026,7057.10595703125
04/05/2026,6971.953125
30/04/2026,6956.80419921875
29/04/2026,7101.22607421875
28/04/2026,7072.39208984375
27/04/2026,7106.52001953125
24/04/2026,7129.490234375
23/04/2026,7378.60595703125
22/04/2026,7541.61181640625
21/04/2026,7559.3798828125
20/04/2026,7594.11083984375
17/04/2026,7634.00390625
16/04/2026,7621.3818359375
15/04/2026,7623.5859375
14/04/2026,7675.951171875
13/04/2026,7500.18701171875
10/04/2026,7458.49609375
09/04/2026,7307.5888671875
08/04/2026,7279.208984375
07/04/2026,6971.02685546875
06/04/2026,6989.42578125
02/04/2026,7026.7822265625
01/04/2026,7184.43798828125
31/03/2026,7048.22216796875
30/03/2026,7091.669921875
27/03/2026,7097.05712890625
26/03/2026,7164.0908203125
25/03/2026,7302.12109375
17/03/2026,7106.8388671875
16/03/2026,7022.2880859375
13/03/2026,7137.2119140625
12/03/2026,7362.1171875
11/03/2026,7389.39892578125
10/03/2026,7440.9130859375
09/03/2026,7337.369140625
06/03/2026,7585.68701171875
05/03/2026,7710.537109375
04/03/2026,7577.06396484375
03/03/2026,7939.76708984375
02/03/2026,8016.8330078125
27/02/2026,8235.4853515625
26/02/2026,8235.26171875
25/02/2026,8322.228515625
24/02/2026,8280.8330078125
23/02/2026,8396.08203125
20/02/2026,8271.7666015625
19/02/2026,8274.0810546875
18/02/2026,8310.2265625
13/02/2026,8212.271484375
12/02/2026,8265.3515625
11/02/2026,8290.9658203125
10/02/2026,8131.73779296875
09/02/2026,8031.8740234375
06/02/2026,7935.259765625
05/02/2026,8103.87890625
04/02/2026,8146.716796875
03/02/2026,8122.59716796875
02/02/2026,7922.73095703125
30/01/2026,8329.6064453125
29/01/2026,8232.203125
28/01/2026,8320.5556640625
27/01/2026,8980.23046875
26/01/2026,8975.333984375
23/01/2026,8951.009765625
22/01/2026,8992.1826171875
21/01/2026,9010.330078125
20/01/2026,9134.7001953125
19/01/2026,9133.873046875
15/01/2026,9075.40625
14/01/2026,9032.583984375
13/01/2026,8948.302734375
12/01/2026,8884.72265625
09/01/2026,8936.75390625
08/01/2026,8925.470703125
07/01/2026,8944.8134765625
06/01/2026,8933.609375
05/01/2026,8859.19140625
02/01/2026,8748.1318359375
30/12/2025,8646.9384765625
29/12/2025,8644.255859375
24/12/2025,8537.9111328125
23/12/2025,8584.7822265625
22/12/2025,8645.84375
19/12/2025,8609.55078125
18/12/2025,8618.1953125
17/12/2025,8677.3447265625
16/12/2025,8686.46875
15/12/2025,8649.662109375
12/12/2025,8660.4990234375
11/12/2025,8620.4814453125
10/12/2025,8700.923828125
09/12/2025,8657.1787109375
08/12/2025,8710.6953125
05/12/2025,8632.7607421875
04/12/2025,8640.1962890625
03/12/2025,8611.787109375
02/12/2025,8617.04296875
01/12/2025,8548.7880859375
28/11/2025,8508.7060546875
27/11/2025,8545.865234375
26/11/2025,8602.1298828125
25/11/2025,8521.884765625
24/11/2025,8570.25390625
21/11/2025,8414.3515625
20/11/2025,8419.9169921875
19/11/2025,8406.5771484375
18/11/2025,8361.92578125
17/11/2025,8416.8818359375
14/11/2025,8370.435546875
13/11/2025,8371.9990234375
12/11/2025,8388.56640625
11/11/2025,8366.5146484375
10/11/2025,8391.240234375
07/11/2025,8394.58984375
06/11/2025,8337.0576171875
05/11/2025,8318.5263671875
04/11/2025,8241.9111328125
03/11/2025,8275.083984375
31/10/2025,8163.875
30/10/2025,8184.06396484375
29/10/2025,8166.22412109375
28/10/2025,8092.62890625
27/10/2025,8117.15087890625
24/10/2025,8271.7216796875
23/10/2025,8274.3515625
22/10/2025,8152.55322265625
21/10/2025,8238.083984375
20/10/2025,8088.97802734375
17/10/2025,7915.65576171875
16/10/2025,8124.7568359375
15/10/2025,8051.1748046875
14/10/2025,8066.52197265625
13/10/2025,8227.2021484375
10/10/2025,8257.859375
09/10/2025,8250.9384765625
08/10/2025,8166.02880859375
07/10/2025,8169.28076171875
06/10/2025,8139.89404296875
03/10/2025,8118.30078125
02/10/2025,8071.0810546875
01/10/2025,8043.82177734375
30/09/2025,8061.06201171875
29/09/2025,8123.2451171875
26/09/2025,8099.3330078125
25/09/2025,8040.6650390625
24/09/2025,8126.55810546875
23/09/2025,8125.201171875
22/09/2025,8040.0390625
19/09/2025,8051.1181640625
18/09/2025,8008.43310546875
17/09/2025,8025.17919921875
16/09/2025,7957.69580078125
15/09/2025,7937.1181640625
12/09/2025,7854.06005859375
11/09/2025,7747.90478515625
10/09/2025,7699.0068359375
09/09/2025,7628.60498046875
08/09/2025,7766.84912109375
04/09/2025,7867.34814453125
03/09/2025,7885.86279296875
02/09/2025,7801.5849609375
01/09/2025,7736.06591796875
29/08/2025,7830.4931640625
28/08/2025,7952.087890625
27/08/2025,7936.17578125
26/08/2025,7905.7568359375
25/08/2025,7926.9072265625
22/08/2025,7858.85107421875
21/08/2025,7890.71484375
20/08/2025,7943.8251953125
19/08/2025,7862.94921875
15/08/2025,7898.375
14/08/2025,7931.2509765625
13/08/2025,7892.9111328125
12/08/2025,7791.69677734375
11/08/2025,7605.9248046875
08/08/2025,7533.384765625
07/08/2025,7490.18310546875
06/08/2025,7503.75
05/08/2025,7515.18505859375
04/08/2025,7464.64501953125
