DATES,rEER
199401,120.02
199402,119.07
199403,117.2
199404,116.18
199405,115.62
199406,114.44
199407,113.58
199408,114.33
199409,113.07
199410,113.27
199411,113.68
199412,114.76
199501,113.63
199502,113.88
199503,110.1
199504,107.98
199505,108.88
199506,108.65
199507,110.12
199508,112.64
199509,113.8
199510,114.02
199511,114.21
199512,115.29
199601,118.69
199602,119.71
199603,117.22
199604,118.15
199605,118.11
199606,118.7
199607,119.22
199608,118.24
199609,119.23
199610,120.7
199611,120.06
199612,120.76
199701,122.92
199702,125.86
199703,124.9
199704,124.93
199705,122.64
199706,121.03
199707,120.3
199708,113.96
199709,104.89
199710,89.7
199711,96.78
199712,73.68
199801,42.02
199802,48.14
199803,47.93
199804,58.96
199805,51.97
199806,40.17
199807,41.44
199808,51.05
199809,56.79
199810,69.34
199811,77.05
199812,77.75
199901,71.55
199902,71.77
199903,71.51
199904,73.14
199905,79.26
199906,85.67
199907,92.17
199908,81.63
199909,71.83
199910,78.26
199911,84.68
199912,84.19
200001,83.77
200002,83.19
200003,82.09
200004,79.41
200005,75.84
200006,72.84
200007,69.76
200008,76.6
200009,75.16
200010,74.18
200011,72.23
200012,72.64
200101,72.67
200102,72.16
200103,69.92
200104,65.02
200105,64.71
200106,66.03
200107,70.63
200108,83.83
200109,80.75
200110,75.61
200111,73.88
200112,77.94
200201,79.33
200202,82.01
200203,83.96
200204,86.88
200205,89.42
200206,92.33
200207,88.64
200208,89.99
200209,90.4
200210,89.75
200211,91.01
200212,93.15
200301,92.42
200302,92.35
200303,91.6
200304,92.92
200305,95.29
200306,97.62
200307,96.95
200308,95.99
200309,95.57
200310,94.23
200311,94.41
200312,93.99
200401,94.33
200402,93.21
200403,92.77
200404,92.92
200405,90.87
200406,86.92
200407,90.29
200408,88.56
200409,88.7
200410,88.85
200411,88.31
200412,86.1
200501,87.82
200502,86.85
200503,86.77
200504,86.05
200505,87.04
200506,87.49
200507,87.16
200508,84.74
200509,83.16
200510,92.67
200511,95.45
200512,96.72
200601,99.77
200602,102.98
200603,103.66
200604,104.83
200605,101.76
200606,99.84
200607,102.61
200608,102.74
200609,102.68
200610,103.64
200611,103.13
200612,103.54
200701,105.63
200702,105.61
200703,103.43
200704,102.88
200705,105.81
200706,104.39
200707,102.33
200708,99.61
200709,100.02
200710,101.0
200711,97.27
200712,97.65
200801,97.12
200802,98.78
200803,97.48
200804,96.82
200805,97.67
200806,99.79
200807,101.56
200808,104.63
200809,105.2
200810,101.73
200811,88.22
200812,90.18
200901,91.83
200902,87.94
200903,89.31
200904,94.33
200905,98.03
200906,98.76
200907,99.74
200908,100.43
200909,101.55
200910,104.17
200911,103.63
200912,104.47
201001,107.22
201002,107.49
201003,108.8
201004,110.08
201005,110.36
201006,112.56
201007,113.36
201008,113.35
201009,112.31
201010,109.6
201011,110.08
201012,110.72
201101,109.97
201102,110.54
201103,110.92
201104,110.42
201105,110.87
201106,111.21
201107,111.38
201108,111.38
201109,110.26
201110,110.03
201111,109.05
201112,109.51
201201,109.52
201202,108.84
201203,107.79
201204,107.43
201205,106.79
201206,107.04
201207,107.39
201208,106.51
201209,104.21
201210,103.41
201211,103.76
201212,103.7
201301,104.87
201302,105.82
201303,106.96
201304,107.05
201305,107.47
201306,107.38
201307,109.18
201308,103.96
201309,97.08
201310,97.81
201311,94.7
201312,91.95
201401,92.6
201402,93.82
201403,97.86
201404,97.16
201405,96.14
201406,93.65
201407,96.11
201408,96.38
201409,96.18
201410,95.65
201411,98.88
201412,100.63
201501,100.75
201502,99.12
201503,98.14
201504,98.53
201505,97.0
201506,97.01
201507,98.2
201508,97.08
201509,93.29
201510,96.83
201511,99.11
201512,98.9
201601,100.45
201602,101.37
201603,102.64
201604,100.55
201605,99.6
201606,100.56
201607,103.07
201608,101.6
201609,102.36
201610,104.16
201611,104.21
201612,106.09
201701,106.69
201702,105.87
201703,105.68
201704,105.22
201705,105.13
201706,105.14
201707,104.59
201708,102.93
201709,102.31
201710,101.48
201711,101.34
201712,101.01
201801,100.85
201802,97.74
201803,96.91
201804,96.83
201805,96.96
201806,98.61
201807,97.92
201808,97.29
201809,95.0
201810,93.84
201811,97.8
201812,99.07
201901,100.77
201902,100.75
201903,99.76
201904,100.64
201905,100.37
201906,101.69
201907,103.03
201908,102.8
201909,103.51
201910,102.65
201911,102.55
201912,102.95
202001,104.56
202002,105.44
202003,97.01
202004,95.14
202005,101.43
202006,104.9
202007,101.22
202008,98.37
202009,96.81
202010,96.89
202011,99.54
202012,98.69
202101,98.75
202102,98.38
202103,97.45
202104,96.74
202105,97.58
202106,97.4
202107,97.44
202108,98.13
202109,98.56
202110,99.1
202111,98.61
202112,99.01
202201,98.95
202202,97.82
202203,99.14
202204,100.67
202205,101.96
202206,101.94
202207,101.7
202208,102.38
202209,105.36
202210,104.05
202211,100.63
202212,98.56
202301,98.3
202302,99.83
202303,99.95
202304,102.59
202305,104.16
202306,104.93
202307,103.74
202308,103.27
202309,103.51
202310,101.77
202311,102.16
202312,101.6
202401,101.4
202402,101.49
202403,102.02
202404,100.88
202405,100.67
202406,99.12
202407,99.04
202408,99.4
202409,100.58
202410,100.12
202411,101.06
202412,100.79
202501,99.23
202502,97.04
202503,97.17
202504,95.48
202505,95.94
202506,95.99
202507,96.0
202508,96.06
202509,94.42
202510,94.74
202511,94.76
202512,94.48
202601,93.16
202602,92.3
202603,93.21
202604,91.41
202605,88.92
