DATES,CPI
31/01/1980,40.2
29/02/1980,40.4
31/03/1980,40.4
30/04/1980,40.2
31/05/1980,40.6
30/06/1980,41.0
31/07/1980,41.3
31/08/1980,41.7
30/09/1980,41.6
31/10/1980,41.8
30/11/1980,42.4
31/12/1980,42.7
31/01/1981,43.5
28/02/1981,44.0
31/03/1981,44.4
30/04/1981,44.6
31/05/1981,44.8
30/06/1981,45.1
31/07/1981,45.5
31/08/1981,45.8
30/09/1981,46.0
31/10/1981,46.0
30/11/1981,46.1
31/12/1981,46.3
31/01/1982,46.8
28/02/1982,47.1
31/03/1982,47.2
30/04/1982,47.4
31/05/1982,47.5
30/06/1982,47.7
31/07/1982,48.0
31/08/1982,48.1
30/09/1982,48.1
31/10/1982,48.0
30/11/1982,48.5
31/12/1982,48.7
31/01/1983,49.2
28/02/1983,49.0
31/03/1983,49.1
30/04/1983,49.1
31/05/1983,49.4
30/06/1983,49.5
31/07/1983,49.6
31/08/1983,49.6
30/09/1983,49.8
31/10/1983,49.9
30/11/1983,50.0
31/12/1983,50.3
31/01/1984,51.2
29/02/1984,51.8
31/03/1984,51.1
30/04/1984,51.1
31/05/1984,51.1
30/06/1984,51.1
31/07/1984,51.5
31/08/1984,51.5
30/09/1984,51.5
31/10/1984,51.4
30/11/1984,51.1
31/12/1984,51.1
31/01/1985,51.2
28/02/1985,51.3
31/03/1985,51.5
30/04/1985,51.3
31/05/1985,51.4
30/06/1985,51.5
31/07/1985,51.8
31/08/1985,51.9
30/09/1985,51.6
31/10/1985,51.5
30/11/1985,51.5
31/12/1985,51.6
31/01/1986,51.8
28/02/1986,51.9
31/03/1986,51.8
30/04/1986,51.5
31/05/1986,51.7
30/06/1986,51.6
31/07/1986,51.7
31/08/1986,51.6
30/09/1986,51.8
31/10/1986,51.8
30/11/1986,52.1
31/12/1986,52.2
31/01/1987,52.1
28/02/1987,52.1
31/03/1987,51.8
30/04/1987,52.1
31/05/1987,52.2
30/06/1987,52.3
31/07/1987,52.2
31/08/1987,52.3
30/09/1987,52.3
31/10/1987,52.4
30/11/1987,52.5
31/12/1987,52.7
31/01/1988,52.8
29/02/1988,52.9
31/03/1988,53.0
30/04/1988,53.0
31/05/1988,53.0
30/06/1988,53.5
31/07/1988,53.8
31/08/1988,53.9
30/09/1988,54.0
31/10/1988,53.9
30/11/1988,54.2
31/12/1988,54.6
31/01/1989,54.6
28/02/1989,54.6
31/03/1989,54.6
30/04/1989,54.7
31/05/1989,54.9
30/06/1989,54.9
31/07/1989,55.1
31/08/1989,55.2
30/09/1989,55.4
31/10/1989,55.4
30/11/1989,55.6
31/12/1989,55.7
31/01/1990,56.1
28/02/1990,56.4
31/03/1990,56.3
30/04/1990,56.5
31/05/1990,56.8
30/06/1990,56.7
31/07/1990,56.5
31/08/1990,56.5
30/09/1990,56.8
31/10/1990,57.2
30/11/1990,57.5
31/12/1990,57.8
31/01/1991,58.1
28/02/1991,58.3
31/03/1991,58.4
30/04/1991,58.9
31/05/1991,59.1
30/06/1991,59.6
31/07/1991,59.3
31/08/1991,59.5
30/09/1991,59.4
31/10/1991,59.6
30/11/1991,59.9
31/12/1991,60.4
31/01/1992,60.6
29/02/1992,60.9
31/03/1992,61.1
30/04/1992,61.5
31/05/1992,62.1
30/06/1992,62.2
31/07/1992,62.3
31/08/1992,62.5
30/09/1992,62.5
31/10/1992,62.4
30/11/1992,63.1
31/12/1992,63.2
31/01/1993,63.3
28/02/1993,63.5
31/03/1993,63.6
30/04/1993,63.9
31/05/1993,64.0
30/06/1993,64.2
31/07/1993,64.6
31/08/1993,64.3
30/09/1993,64.4
31/10/1993,64.6
30/11/1993,65.0
31/12/1993,65.4
31/01/1994,65.7
28/02/1994,66.3
31/03/1994,66.1
30/04/1994,66.1
31/05/1994,66.2
30/06/1994,66.1
31/07/1994,66.6
31/08/1994,66.7
30/09/1994,67.0
31/10/1994,67.1
30/11/1994,67.5
31/12/1994,67.7
31/01/1995,68.0
28/02/1995,68.4
31/03/1995,68.3
30/04/1995,68.3
31/05/1995,68.8
30/06/1995,68.8
31/07/1995,68.9
31/08/1995,69.0
30/09/1995,69.3
31/10/1995,69.4
30/11/1995,69.7
31/12/1995,69.9
31/01/1996,70.3
29/02/1996,70.8
31/03/1996,70.5
30/04/1996,70.9
31/05/1996,71.2
30/06/1996,71.3
31/07/1996,71.5
31/08/1996,71.5
30/09/1996,71.8
31/10/1996,71.8
30/11/1996,72.0
31/12/1996,72.2
31/01/1997,72.5
28/02/1997,72.9
31/03/1997,72.8
30/04/1997,72.7
31/05/1997,73.0
30/06/1997,72.9
31/07/1997,73.0
31/08/1997,73.2
30/09/1997,73.4
31/10/1997,73.7
30/11/1997,73.9
31/12/1997,74.3
31/01/1998,75.0
28/02/1998,76.1
31/03/1998,76.6
30/04/1998,76.7
31/05/1998,76.9
30/06/1998,77.5
31/07/1998,77.3
31/08/1998,77.4
30/09/1998,77.5
31/10/1998,77.5
30/11/1998,78.1
31/12/1998,78.2
31/01/1999,78.9
28/02/1999,79.0
31/03/1999,78.9
30/04/1999,78.9
31/05/1999,79.2
30/06/1999,79.1
31/07/1999,79.2
31/08/1999,79.1
30/09/1999,79.1
31/10/1999,79.1
30/11/1999,79.3
31/12/1999,80.2
31/01/2000,80.2
29/02/2000,80.3
31/03/2000,80.2
30/04/2000,80.2
31/05/2000,80.3
30/06/2000,80.3
31/07/2000,80.4
31/08/2000,80.4
30/09/2000,80.4
31/10/2000,80.6
30/11/2000,80.8
31/12/2000,81.1
31/01/2001,81.4
28/02/2001,81.5
31/03/2001,81.4
30/04/2001,81.5
31/05/2001,81.5
30/06/2001,81.5
31/07/2001,81.5
31/08/2001,81.4
30/09/2001,81.5
31/10/2001,81.4
30/11/2001,82.0
31/12/2001,82.1
31/01/2002,82.3
28/02/2002,82.5
31/03/2002,83.1
30/04/2002,83.0
31/05/2002,83.1
30/06/2002,83.2
31/07/2002,83.2
31/08/2002,83.1
30/09/2002,83.2
31/10/2002,83.1
30/11/2002,83.3
