DATES,GDP
01/03/2015,289405.0
01/06/2015,293440.0
01/09/2015,295320.0
01/12/2015,298775.0
01/03/2016,301541.0
01/06/2016,305570.0
01/09/2016,308986.0
01/12/2016,313215.0
01/03/2017,318402.0
01/06/2017,323144.0
01/09/2017,327941.0
01/12/2017,331282.0
01/03/2018,335826.0
01/06/2018,340482.0
01/09/2018,342809.0
01/12/2018,344650.0
01/03/2019,349838.0
01/06/2019,359011.0
01/09/2019,360555.0
01/12/2019,354549.0
01/03/2020,350298.0
01/06/2020,298748.0
01/09/2020,353212.0
01/12/2020,343991.0
01/03/2021,348913.0
01/06/2021,347755.0
01/09/2021,337669.0
01/12/2021,356545.0
01/03/2022,366325.0
01/06/2022,379469.0
01/09/2022,386120.0
01/12/2022,384589.0
01/03/2023,387968.0
01/06/2023,388984.0
01/09/2023,396667.0
01/12/2023,397155.0
01/03/2024,404502.0
01/06/2024,411680.0
01/09/2024,417129.0
01/12/2024,418425.0
01/03/2025,422336.0
01/06/2025,430245.0
01/09/2025,438936.0
01/12/2025,444931.0
01/03/2026,444876.0
