DATES,rEER
199401,136.87
199402,133.49
199403,134.18
199404,134.43
199405,137.28
199406,137.12
199407,135.67
199408,136.94
199409,136.41
199410,135.41
199411,136.02
199412,137.59
199501,137.43
199502,137.37
199503,133.25
199504,132.65
199505,134.38
199506,135.47
199507,136.14
199508,138.06
199509,138.95
199510,137.19
199511,137.84
199512,138.6
199601,139.48
199602,140.22
199603,139.79
199604,142.14
199605,143.51
199606,144.27
199607,145.02
199608,143.84
199609,144.3
199610,144.59
199611,143.32
199612,144.46
199701,148.71
199702,152.04
199703,153.14
199704,151.41
199705,149.67
199706,147.51
199707,146.18
199708,139.6
199709,128.24
199710,119.01
199711,118.26
199712,110.88
199801,99.52
199802,113.61
199803,115.68
199804,115.31
199805,114.08
199806,112.36
199807,107.8
199808,107.85
199809,116.06
199810,111.01
199811,111.46
199812,110.85
199901,111.61
199902,113.27
199903,114.79
199904,114.14
199905,114.68
199906,114.53
199907,114.38
199908,112.6
199909,111.65
199910,110.54
199911,111.0
199912,111.88
200001,111.72
200002,113.27
200003,112.86
200004,112.86
200005,115.1
200006,113.73
200007,114.67
200008,114.87
200009,115.32
200010,116.8
200011,117.63
200012,117.84
200101,118.27
200102,118.56
200103,120.38
200104,121.82
200105,121.44
200106,122.27
200107,122.93
200108,119.97
200109,119.24
200110,120.58
200111,122.38
200112,123.43
200201,124.76
200202,125.12
200203,125.14
200204,123.99
200205,121.9
200206,120.3
200207,118.38
200208,118.86
200209,119.32
200210,120.08
200211,118.99
200212,118.59
200301,116.77
200302,116.8
200303,116.24
200304,116.45
200305,114.15
200306,114.09
200307,114.91
200308,115.16
200309,113.84
200310,111.79
200311,111.86
200312,110.63
200401,109.09
200402,108.59
200403,109.3
200404,109.19
200405,110.69
200406,110.16
200407,109.92
200408,110.26
200409,109.99
200410,109.34
200411,107.34
200412,106.31
200501,106.81
200502,106.42
200503,105.7
200504,106.63
200505,107.65
200506,109.36
200507,110.36
200508,110.46
200509,110.21
200510,111.1
200511,112.5
200512,111.99
200601,110.81
200602,111.82
200603,113.79
200604,113.5
200605,113.1
200606,112.99
200607,112.65
200608,111.65
200609,112.19
200610,112.32
200611,112.56
200612,114.25
200701,117.01
200702,116.52
200703,115.4
200704,115.89
200705,116.76
200706,115.58
200707,114.35
200708,113.02
200709,112.28
200710,113.55
200711,112.74
200712,113.85
200801,114.91
200802,115.22
200803,113.96
200804,114.1
200805,113.27
200806,116.09
200807,116.45
200808,116.49
200809,114.28
200810,114.71
200811,114.15
200812,112.91
200901,112.32
200902,112.69
200903,111.9
200904,111.95
200905,112.13
200906,111.35
200907,110.06
200908,110.04
200909,109.67
200910,111.15
200911,111.1
200912,111.03
201001,112.5
201002,111.74
201003,114.32
201004,118.13
201005,118.41
201006,119.06
201007,119.36
201008,120.05
201009,120.4
201010,117.37
201011,116.94
201012,117.67
201101,119.36
201102,119.33
201103,118.49
201104,117.84
201105,117.25
201106,116.8
201107,117.49
201108,117.19
201109,115.56
201110,114.52
201111,114.41
201112,114.99
201201,116.33
201202,118.25
201203,117.77
201204,116.88
201205,116.61
201206,115.08
201207,115.42
201208,116.37
201209,116.18
201210,116.77
201211,117.36
201212,116.94
201301,118.25
201302,116.43
201303,117.19
201304,119.81
201305,122.0
201306,117.15
201307,116.31
201308,112.87
201309,114.17
201310,116.01
201311,116.25
201312,115.14
201401,114.31
201402,113.91
201403,114.75
201404,115.16
201405,115.8
201406,116.58
201407,117.64
201408,118.41
201409,118.29
201410,118.13
201411,117.99
201412,114.94
201501,112.12
201502,111.18
201503,110.69
201504,112.44
201505,112.96
201506,110.03
201507,110.01
201508,104.19
201509,98.52
201510,99.34
201511,99.89
201512,100.85
201601,100.44
201602,102.59
201603,103.58
201604,106.94
201605,104.11
201606,103.18
201607,105.21
201608,104.4
201609,101.91
201610,101.54
201611,100.36
201612,99.23
201701,99.71
201702,100.14
201703,99.95
201704,99.78
201705,101.21
201706,101.03
201707,100.23
201708,99.86
201709,100.84
201710,101.2
201711,103.12
201712,104.79
201801,106.2
201802,105.78
201803,105.9
201804,106.45
201805,106.08
201806,104.86
201807,105.26
201808,104.85
201809,103.93
201810,104.21
201811,104.15
201812,104.28
201901,104.1
201902,104.63
201903,104.93
201904,103.84
201905,103.53
201906,103.38
201907,104.07
201908,103.81
201909,103.81
201910,103.19
201911,103.46
201912,103.46
202001,104.4
202002,103.38
202003,100.4
202004,97.88
202005,98.22
202006,99.07
202007,99.02
202008,99.71
202009,100.0
202010,99.42
202011,99.09
202012,99.41
202101,100.21
202102,99.95
202103,100.06
202104,99.85
202105,98.64
202106,98.59
202107,97.37
202108,96.8
202109,97.77
202110,98.57
202111,98.31
202112,98.1
202201,98.26
202202,97.67
202203,98.29
202204,97.73
202205,97.51
202206,97.63
202207,98.28
202208,97.77
202209,98.48
202210,97.03
202211,97.08
202212,98.7
202301,98.42
202302,98.06
202303,96.46
202304,96.73
202305,95.61
202306,94.27
202307,94.67
202308,95.22
202309,94.57
202310,93.9
202311,94.03
202312,93.41
202401,93.45
202402,92.21
202403,93.46
202404,93.65
202405,94.6
202406,95.17
202407,95.48
202408,98.89
202409,101.06
202410,101.43
202411,100.12
202412,100.27
202501,100.9
202502,100.75
202503,100.08
202504,99.74
202505,101.48
202506,101.08
202507,100.97
202508,101.64
202509,101.81
202510,102.17
202511,104.31
202512,105.41
202601,106.92
202602,108.8
202603,109.12
202604,108.05
202605,108.33
