"DATES,GDP"
"01/03/1980,10401367.6"
"01/06/1980,10342350.0"
"01/09/1980,10392733.0"
"01/12/1980,10927666.4"
"01/03/1981,11345848.5"
"01/06/1981,11564024.6"
"01/09/1981,11427297.7"
"01/12/1981,11759145.6"
"01/03/1982,11739627.5"
"01/06/1982,11650017.8"
"01/09/1982,11397429.0"
"01/12/1982,11286384.6"
"01/03/1983,11163156.4"
"01/06/1983,10952709.7"
"01/09/1983,10762491.9"
"01/12/1983,11064605.3"
"01/03/1984,11521509.4"
"01/06/1984,11274728.8"
"01/09/1984,11260790.4"
"01/12/1984,11429832.6"
"01/03/1985,11748571.4"
"01/06/1985,11628257.4"
"01/09/1985,11367630.0"
"01/12/1985,11615393.4"
"01/03/1986,11278255.9"
"01/06/1986,11503306.6"
"01/09/1986,10747058.8"
"01/12/1986,11009307.3"
"01/03/1987,11137876.9"
"01/06/1987,11543181.3"
"01/09/1987,11129229.1"
"01/12/1987,11646620.5"
"01/03/1988,11501000.2"
"01/06/1988,11678253.2"
"01/09/1988,11103016.7"
"01/12/1988,11728421.7"
"01/03/1989,11764439.8"
"01/06/1989,12178231.8"
"01/09/1989,11685108.2"
"01/12/1989,12051006.0"
"01/03/1990,12307182.0"
"01/06/1990,12654375.2"
"01/09/1990,12289241.3"
"01/12/1990,12931144.1"
"01/03/1991,12713377.4"
"01/06/1991,13349245.7"
"01/09/1991,12678199.4"
"01/12/1991,13436306.5"
"01/03/1992,13317626.8"
"01/06/1992,13636576.4"
"01/09/1992,13291879.0"
"01/12/1992,13793046.9"
"01/03/1993,13759047.1"
"01/06/1993,13889138.0"
"01/09/1993,13862877.9"
"01/12/1993,14077367.6"
"01/03/1994,14100079.6"
"01/06/1994,14655091.4"
"01/09/1994,14488837.4"
"01/12/1994,14787048.9"
"01/03/1995,14043967.1"
"01/06/1995,13287437.0"
"01/09/1995,13412225.1"
"01/12/1995,13857618.8"
"01/03/1996,14237674.1"
"01/06/1996,14340835.5"
"01/09/1996,14412889.2"
"01/12/1996,15005117.1"
"01/03/1997,14809598.0"
"01/06/1997,15584321.6"
"01/09/1997,15624240.3"
"01/12/1997,16153453.3"
"01/03/1998,16337140.2"
"01/06/1998,16539586.1"
"01/09/1998,16552825.7"
"01/12/1998,16587424.6"
"01/03/1999,16704986.3"
"01/06/1999,16929125.8"
"01/09/1999,17050479.4"
"01/12/1999,17151172.8"
"01/03/2000,17649717.2"
"01/06/2000,17862005.4"
"01/09/2000,18020875.4"
"01/12/2000,17714819.6"
"01/03/2001,17764226.8"
"01/06/2001,17874017.3"
"01/09/2001,17761063.4"
"01/12/2001,17526894.5"
"01/03/2002,17079177.2"
"01/06/2002,18016819.3"
"01/09/2002,17827998.1"
"01/12/2002,17834404.6"
"01/03/2003,17609575.9"
"01/06/2003,18082636.1"
"01/09/2003,17859145.4"
"01/12/2003,18045914.2"
"01/03/2004,18184992.6"
"01/06/2004,18770261.5"
"01/09/2004,18461383.4"
"01/12/2004,18733392.8"
"01/03/2005,18271701.1"
"01/06/2005,19218692.3"
"01/09/2005,18883253.8"
"01/12/2005,19343356.3"
"01/03/2006,19362530.7"
"01/06/2006,20116119.0"
"01/09/2006,19836036.6"
"01/12/2006,20040529.5"
"01/03/2007,19745610.8"
"01/06/2007,20509465.4"
"01/09/2007,20266820.5"
"01/12/2007,20482212.4"
"01/03/2008,19902932.3"
"01/06/2008,20998515.6"
"01/09/2008,20495874.6"
"01/12/2008,20370924.2"
"01/03/2009,18537230.6"
"01/06/2009,18827531.0"
"01/09/2009,19292213.3"
"01/12/2009,19963755.8"
"01/03/2010,19372019.3"
"01/06/2010,20180689.8"
"01/09/2010,20200788.7"
"01/12/2010,20676305.7"
"01/03/2011,20091482.1"
"01/06/2011,20682938.3"
"01/09/2011,20950108.0"
"01/12/2011,21475313.9"
"01/03/2012,21083685.9"
"01/06/2012,21522097.8"
"01/09/2012,21479054.2"
"01/12/2012,22071270.1"
"01/03/2013,21025826.0"
"01/06/2013,21893527.8"
"01/09/2013,21702814.0"
"01/12/2013,22268077.7"
"01/03/2014,21547653.4"
"01/06/2014,22320092.9"
"01/09/2014,22258209.0"
"01/12/2014,22939816.6"
"01/03/2015,22170076.8"
"01/06/2015,22843184.2"
"01/09/2015,23011620.5"
"01/12/2015,23447735.6"
"01/03/2016,22535780.7"
"01/06/2016,23358868.7"
"01/09/2016,23214588.3"
"01/12/2016,23984725.3"
"01/03/2017,23310683.5"
"01/06/2017,23714199.2"
"01/09/2017,23491246.0"
"01/12/2017,24320300.6"
"01/03/2018,23551474.2"
"01/06/2018,24381862.5"
"01/09/2018,24138832.8"
"01/12/2018,24634512.1"
"01/03/2019,23814241.0"
"01/06/2019,24212333.5"
"01/09/2019,24054175.8"
"01/12/2019,24382872.7"
"01/03/2020,23444757.3"
"01/06/2020,19201803.6"
"01/09/2020,22030368.2"
"01/12/2020,23467135.0"
"01/03/2021,22735887.0"
"01/06/2021,23398419.4"
"01/09/2021,23162043.8"
"01/12/2021,23906485.3"
"01/03/2022,23456410.1"
"01/06/2022,24176436.6"
"01/09/2022,24269422.4"
"01/12/2022,24981146.5"
"01/03/2023,24291956.2"
"01/06/2023,25001940.0"
"01/09/2023,25121269.3"
"01/12/2023,25596360.6"
"01/03/2024,24761655.524"
"01/06/2024,25655479.047"
"01/09/2024,25475446.445"
"01/12/2024,25693292.983"
"01/03/2025,24913610.281"
"01/06/2025,25618678.767"
"01/09/2025,25422850.191"
"01/12/2025,26135644.696"
"01/03/2026,24973976,071"
