DATES,rEER
199001,113.57406546947674
199002,113.84062112212534
199003,115.22160590956727
199004,115.88347384415457
199005,116.28441640540643
199006,117.85453669465505
199007,117.9510250947936
199008,117.3965205500737
199009,117.31994607237897
199010,116.36130384315045
199011,117.51482767921439
199012,119.77295150449305
199101,120.5147824047309
199102,120.42014949924736
199103,124.20047903068875
199104,126.50848148503775
199105,127.62057777235111
199106,129.45015547452272
199107,130.05662689263997
199108,130.04996083626122
199109,129.92306252406394
199110,130.66453846340806
199111,131.72496189847172
199112,132.44516950532025
199201,133.30194321945808
199202,135.58332246181197
199203,137.76668225332477
199204,138.58670703535782
199205,137.2247134214705
199206,135.89188803752933
199207,135.532378632251
199208,137.3328034008923
199209,139.08730145094808
199210,140.19545226265274
199211,143.5136638447226
199212,144.340819038437
199301,145.5994375583467
199302,147.34289089493132
199303,146.37597214018325
199304,145.71184769498734
199305,145.0325222417465
199306,146.25171449790702
199307,148.36564490166674
199308,149.96475819534783
199309,150.45623578721788
199310,152.1292639735424
199311,151.65777655365758
199312,154.23627568872854
199401,154.64
199402,153.79
199403,145.27
199404,143.62
199405,145.2
199406,142.97
199407,140.95
199408,141.83
199409,141.05
199410,140.41
199411,140.23
199412,122.98
199501,89.35
199502,91.93
199503,80.53
199504,93.45
199505,101.4
199506,100.0
199507,103.99
199508,105.02
199509,105.56
199510,100.36
199511,90.27
199512,93.49
199601,99.57
199602,100.81
199603,101.92
199604,106.19
199605,108.18
199606,108.26
199607,108.72
199608,111.34
199609,112.52
199610,111.08
199611,109.84
199612,114.16
199701,117.98
199702,120.8
199703,119.86
199704,122.0
199705,122.85
199706,122.82
199707,125.53
199708,128.63
199709,130.05
199710,129.66
199711,124.92
199712,130.8
199801,132.96
199802,130.0
199803,129.97
199804,131.97
199805,131.67
199806,128.71
199807,130.3
199808,125.21
199809,115.8
199810,116.51
199811,120.63
199812,124.45
199901,123.88
199902,128.57
199903,133.76
199904,138.37
199905,139.98
199906,139.19
199907,142.01
199908,141.77
199909,143.01
199910,140.01
199911,143.72
199912,145.05
200001,145.34
200002,147.71
200003,149.79
200004,149.24
200005,148.92
200006,143.51
200007,150.18
200008,154.03
200009,153.79
200010,152.27
200011,154.26
200012,156.29
200101,151.12
200102,151.79
200103,155.12
200104,160.45
200105,163.69
200106,165.26
200107,164.28
200108,164.65
200109,160.49
200110,163.08
200111,166.64
200112,168.43
200201,170.26
200202,171.6
200203,171.98
200204,169.98
200205,162.97
200206,158.58
200207,157.91
200208,157.87
200209,155.1
200210,155.78
200211,154.53
200212,154.52
200301,147.59
200302,142.65
200303,142.78
200304,147.2
200305,149.86
200306,146.16
200307,147.55
200308,143.67
200309,141.43
200310,137.62
200311,139.26
200312,137.57
200401,141.26
200402,140.11
200403,140.77
200404,137.48
200405,134.38
200406,135.36
200407,134.43
200408,136.21
200409,135.62
200410,136.28
200411,136.32
200412,138.17
200501,137.48
200502,138.72
200503,138.16
200504,138.92
200505,140.61
200506,143.33
200507,145.62
200508,144.35
200509,142.32
200510,142.32
200511,146.87
200512,148.32
200601,148.44
200602,149.42
200603,145.36
200604,140.2
200605,137.09
200606,134.17
200607,139.19
200608,140.69
200609,141.22
200610,143.53
200611,143.45
200612,144.0
200701,143.86
200702,142.72
200703,140.09
200704,140.18
200705,140.61
200706,140.22
200707,140.3
200708,137.89
200709,137.94
200710,139.57
200711,138.01
200712,139.24
200801,137.74
200802,138.62
200803,137.77
200804,139.99
200805,140.37
200806,141.42
200807,142.64
200808,147.21
200809,142.42
200810,124.16
200811,124.13
200812,121.83
200901,118.0
200902,113.25
200903,113.28
200904,122.61
200905,122.93
200906,120.55
200907,120.56
200908,123.17
200909,119.22
200910,120.39
200911,121.63
200912,124.89
201001,126.5
201002,126.4
201003,130.44
201004,133.27
201005,128.71
201006,129.35
201007,127.42
201008,127.47
201009,126.75
201010,129.28
201011,131.51
201012,131.68
201101,134.05
201102,133.89
201103,133.33
201104,134.92
201105,134.12
201106,132.21
201107,133.98
201108,127.57
201109,121.01
201110,118.49
201111,117.86
201112,118.95
201201,122.13
201202,127.11
201203,127.33
201204,123.56
201205,118.93
201206,117.78
201207,123.64
201208,124.65
201209,126.18
201210,127.08
201211,126.74
201212,128.86
201301,130.74
201302,130.63
201303,134.23
201304,137.86
201305,136.31
201306,129.4
201307,131.64
201308,129.9
201309,128.29
201310,128.92
201311,130.22
201312,131.56
201401,130.68
201402,129.88
201403,130.69
201404,131.28
201405,131.74
