DATES,GDP
01/09/2015,7984761.82311866
01/12/2015,8166028.273360071
01/03/2016,8184475.885674958
01/06/2016,8389784.96140314
01/09/2016,8205803.840206729
01/12/2016,8490511.623110363
01/03/2017,8644357.685599916
01/06/2017,8834955.710969243
01/09/2017,8841009.878257165
01/12/2017,8962657.98725605
01/03/2018,9109613.571062587
01/06/2018,9364727.653495269
01/09/2018,9112299.823725786
01/12/2018,9142033.64093428
01/03/2019,9331707.15719074
01/06/2019,9598064.611153325
01/09/2019,9326034.922635056
01/12/2019,9320544.694762707
01/03/2020,9312305.71498715
01/06/2020,8751460.642472716
01/09/2020,9527165.979564179
01/12/2020,9846483.05140291
01/03/2021,9876199.13166473
01/06/2021,9851766.718865165
01/09/2021,10112912.502785118
01/12/2021,10088401.361868225
01/03/2022,10376588.962433424
01/06/2022,10392029.488287594
01/09/2022,10148275.133267092
01/12/2022,10332745.210697958
01/03/2023,10239358.898773422
01/06/2023,10079550.983264305
01/09/2023,10430244.543063609
01/12/2023,10606375.709918655
01/03/2024,10582054.166990906
01/06/2024,10441118.907570964
01/09/2024,10639635.498574281
01/12/2024,10912614.10201162
01/03/2025,10896882.332021443
01/06/2025,11215393.948235437
01/09/2025,11136814.488282615
01/12/2025,11470288.482362403
01/03/2026,11488675.233219532
