DATES,Ryr
09/07/2026,11.792
08/07/2026,11.842
07/07/2026,11.704
06/07/2026,11.686
03/07/2026,11.716
02/07/2026,11.961
01/07/2026,12.080
30/06/2026,12.079
29/06/2026,12.069
24/06/2026,12.092
23/06/2026,12.215
22/06/2026,12.277
19/06/2026,12.293
18/06/2026,12.292
17/06/2026,12.292
16/06/2026,12.403
15/06/2026,12.440
12/06/2026,12.763
11/06/2026,12.880
10/06/2026,12.735
09/06/2026,12.731
08/06/2026,12.747
05/06/2026,12.748
04/06/2026,12.765
03/06/2026,12.756
02/06/2026,12.672
01/06/2026,12.674
29/05/2026,12.816
25/05/2026,12.816
22/05/2026,12.930
21/05/2026,12.924
20/05/2026,12.946
19/05/2026,12.948
18/05/2026,13.131
15/05/2026,13.047
14/05/2026,13.046
13/05/2026,12.965
12/05/2026,12.891
11/05/2026,12.843
08/05/2026,12.800
07/05/2026,12.827
06/05/2026,12.827
05/05/2026,13.060
04/05/2026,13.062
30/04/2026,12.903
29/04/2026,13.131
28/04/2026,12.854
27/04/2026,12.470
24/04/2026,12.433
23/04/2026,12.419
22/04/2026,12.382
21/04/2026,12.402
20/04/2026,12.404
17/04/2026,12.399
16/04/2026,12.424
15/04/2026,12.567
14/04/2026,12.698
13/04/2026,12.483
10/04/2026,12.603
09/04/2026,12.531
08/04/2026,13.248
07/04/2026,13.258
06/04/2026,12.758
03/04/2026,12.665
02/04/2026,12.577
01/04/2026,12.748
31/03/2026,12.736
30/03/2026,12.663
27/03/2026,12.573
26/03/2026,12.401
25/03/2026,12.431
24/03/2026,12.424
23/03/2026,12.424
20/03/2026,12.424
19/03/2026,12.400
18/03/2026,12.407
17/03/2026,12.253
16/03/2026,12.268
13/03/2026,12.219
12/03/2026,11.974
11/03/2026,12.048
10/03/2026,12.288
09/03/2026,11.742
06/03/2026,11.716
05/03/2026,11.680
04/03/2026,11.623
03/03/2026,11.660
02/03/2026,11.555
27/02/2026,11.559
26/02/2026,11.572
25/02/2026,11.550
24/02/2026,11.469
23/02/2026,11.434
20/02/2026,11.333
19/02/2026,11.333
18/02/2026,11.333
17/02/2026,11.332
16/02/2026,11.306
13/02/2026,11.207
12/02/2026,11.151
11/02/2026,11.118
10/02/2026,11.103
09/02/2026,11.061
06/02/2026,11.057
04/02/2026,11.052
03/02/2026,11.054
02/02/2026,11.046
30/01/2026,11.031
29/01/2026,11.015
28/01/2026,11.010
27/01/2026,10.869
26/01/2026,10.844
23/01/2026,10.869
22/01/2026,10.892
21/01/2026,10.911
20/01/2026,10.936
19/01/2026,10.941
16/01/2026,10.996
15/01/2026,11.201
14/01/2026,11.111
13/01/2026,11.101
12/01/2026,11.110
09/01/2026,11.080
08/01/2026,11.088
07/01/2026,11.357
06/01/2026,11.358
05/01/2026,11.373
02/01/2026,11.424
01/01/2026,11.424
31/12/2025,11.405
30/12/2025,11.438
29/12/2025,11.432
26/12/2025,11.449
24/12/2025,11.448
23/12/2025,11.476
22/12/2025,11.529
19/12/2025,11.542
18/12/2025,11.594
17/12/2025,11.666
16/12/2025,11.821
15/12/2025,11.873
12/12/2025,11.879
11/12/2025,11.884
10/12/2025,11.884
09/12/2025,11.886
08/12/2025,11.889
05/12/2025,11.889
04/12/2025,11.889
03/12/2025,11.890
02/12/2025,11.890
01/12/2025,11.896
28/11/2025,11.907
27/11/2025,11.943
26/11/2025,11.952
25/11/2025,11.952
24/11/2025,11.950
21/11/2025,11.949
20/11/2025,11.949
19/11/2025,11.949
18/11/2025,11.951
17/11/2025,11.953
14/11/2025,11.950
13/11/2025,11.956
12/11/2025,11.950
11/11/2025,11.950
10/11/2025,11.950
07/11/2025,11.944
06/11/2025,11.921
05/11/2025,11.900
04/11/2025,11.903
03/11/2025,11.901
31/10/2025,11.890
30/10/2025,11.858
29/10/2025,11.858
28/10/2025,11.854
27/10/2025,11.852
24/10/2025,11.851
23/10/2025,11.853
22/10/2025,11.870
21/10/2025,11.889
20/10/2025,11.951
17/10/2025,11.989
16/10/2025,11.983
15/10/2025,12.000
14/10/2025,12.003
13/10/2025,11.999
10/10/2025,12.005
09/10/2025,12.007
08/10/2025,12.003
07/10/2025,12.016
06/10/2025,12.013
03/10/2025,11.999
02/10/2025,11.997
01/10/2025,11.994
30/09/2025,12.005
29/09/2025,12.001
26/09/2025,12.002
25/09/2025,11.994
24/09/2025,11.994
23/09/2025,11.993
22/09/2025,11.993
19/09/2025,11.994
18/09/2025,11.995
17/09/2025,11.995
16/09/2025,11.995
15/09/2025,11.998
12/09/2025,11.995
11/09/2025,11.976
10/09/2025,11.994
09/09/2025,11.990
08/09/2025,12.003
05/09/2025,11.998
04/09/2025,11.998
03/09/2025,12.005
02/09/2025,12.012
01/09/2025,12.012
29/08/2025,12.007
28/08/2025,12.001
27/08/2025,11.982
26/08/2025,11.976
25/08/2025,11.983
22/08/2025,11.984
21/08/2025,11.986
20/08/2025,11.984
19/08/2025,11.983
18/08/2025,11.981
15/08/2025,11.984
13/08/2025,11.984
12/08/2025,11.981
11/08/2025,11.993
08/08/2025,11.980
07/08/2025,11.984
06/08/2025,11.985
05/08/2025,12.012
04/08/2025,12.062
01/08/2025,12.065
31/07/2025,11.922
30/07/2025,11.875
29/07/2025,11.888
28/07/2025,11.903
25/07/2025,11.958
24/07/2025,11.952
23/07/2025,11.976
22/07/2025,11.983
21/07/2025,12.006
18/07/2025,12.029
17/07/2025,12.150
16/07/2025,12.118
15/07/2025,12.104
14/07/2025,12.083
11/07/2025,12.092
10/07/2025,12.031
09/07/2025,12.052
08/07/2025,12.018
07/07/2025,12.047
04/07/2025,12.029
03/07/2025,12.163
02/07/2025,12.233
01/07/2025,12.238
30/06/2025,12.247
27/06/2025,12.247
26/06/2025,12.315
25/06/2025,12.330
24/06/2025,12.366
23/06/2025,12.355
20/06/2025,12.339
19/06/2025,12.248
18/06/2025,12.188
17/06/2025,12.182
16/06/2025,12.131
13/06/2025,12.117
12/06/2025,12.113
11/06/2025,12.120
10/06/2025,12.128
09/06/2025,12.198
05/06/2025,12.149
04/06/2025,12.149
03/06/2025,12.144
02/06/2025,12.160
30/05/2025,12.184
29/05/2025,12.281
27/05/2025,12.304
26/05/2025,12.290
23/05/2025,12.292
22/05/2025,12.292
21/05/2025,12.307
20/05/2025,12.340
19/05/2025,12.313
16/05/2025,12.385
15/05/2025,12.424
14/05/2025,12.416
13/05/2025,12.400
12/05/2025,12.421
09/05/2025,12.417
08/05/2025,12.215
07/05/2025,12.173
06/05/2025,12.393
05/05/2025,12.449
02/05/2025,12.450
30/04/2025,12.450
29/04/2025,12.448
28/04/2025,12.446
25/04/2025,12.445
24/04/2025,12.443
23/04/2025,12.431
22/04/2025,12.431
21/04/2025,12.431
18/04/2025,12.431
17/04/2025,12.432
16/04/2025,12.432
15/04/2025,12.426
14/04/2025,12.424
11/04/2025,12.417
10/04/2025,12.219
09/04/2025,12.241
08/04/2025,12.241
07/04/2025,12.241
04/04/2025,12.255
03/04/2025,12.248
31/03/2025,12.628
28/03/2025,12.628
27/03/2025,12.248
26/03/2025,12.249
25/03/2025,12.254
24/03/2025,12.259
21/03/2025,12.259
20/03/2025,12.260
19/03/2025,12.259
18/03/2025,12.259
17/03/2025,12.266
14/03/2025,12.267
13/03/2025,12.302
12/03/2025,12.342
11/03/2025,12.258
10/03/2025,12.281
07/03/2025,12.248
06/03/2025,12.229
05/03/2025,12.222
04/03/2025,12.218
28/02/2025,12.215
27/02/2025,12.213
26/02/2025,12.218
25/02/2025,12.227
24/02/2025,12.223
21/02/2025,12.174
20/02/2025,12.203
19/02/2025,12.200
18/02/2025,12.189
17/02/2025,12.174
14/02/2025,12.158
13/02/2025,12.141
12/02/2025,12.134
11/02/2025,12.127
10/02/2025,12.155
07/02/2025,12.212
06/02/2025,12.083
04/02/2025,12.080
03/02/2025,12.085
31/01/2025,12.086
30/01/2025,12.083
29/01/2025,12.090
28/01/2025,12.078
27/01/2025,12.082
24/01/2025,12.073
23/01/2025,12.123
22/01/2025,12.110
21/01/2025,12.112
20/01/2025,12.150
17/01/2025,12.113
16/01/2025,12.042
15/01/2025,12.027
14/01/2025,11.998
13/01/2025,11.997
10/01/2025,11.979
09/01/2025,12.007
08/01/2025,12.028
07/01/2025,12.059
06/01/2025,12.091
03/01/2025,12.076
02/01/2025,12.150
31/12/2024,12.162
30/12/2024,12.162
27/12/2024,12.158
26/12/2024,12.169
24/12/2024,12.176
23/12/2024,12.168
20/12/2024,12.158
19/12/2024,12.044
18/12/2024,12.062
17/12/2024,12.012
16/12/2024,12.027
13/12/2024,12.026
12/12/2024,12.017
11/12/2024,11.962
10/12/2024,11.953
09/12/2024,11.949
06/12/2024,11.968
05/12/2024,11.957
04/12/2024,11.863
03/12/2024,11.859
02/12/2024,11.821
29/11/2024,11.902
28/11/2024,12.035
27/11/2024,12.068
26/11/2024,12.239
25/11/2024,12.219
22/11/2024,12.244
21/11/2024,12.142
20/11/2024,12.149
19/11/2024,12.136
18/11/2024,12.138
15/11/2024,12.101
14/11/2024,12.084
13/11/2024,12.080
12/11/2024,12.022
11/11/2024,12.027
08/11/2024,12.038
07/11/2024,12.034
06/11/2024,12.028
05/11/2024,12.017
04/11/2024,12.016
01/11/2024,12.008
31/10/2024,12.050
30/10/2024,12.059
29/10/2024,12.048
28/10/2024,12.104
25/10/2024,12.093
24/10/2024,12.211
23/10/2024,12.168
22/10/2024,12.244
21/10/2024,12.186
18/10/2024,12.105
17/10/2024,12.047
16/10/2024,12.030
15/10/2024,12.017
14/10/2024,12.011
11/10/2024,12.009
10/10/2024,12.023
09/10/2024,12.001
08/10/2024,11.957
07/10/2024,11.980
04/10/2024,12.001
03/10/2024,11.887
02/10/2024,11.928
01/10/2024,12.114
30/09/2024,12.114
27/09/2024,12.454
26/09/2024,12.632
25/09/2024,12.727
24/09/2024,12.777
23/09/2024,12.846
20/09/2024,12.865
19/09/2024,13.092
18/09/2024,13.127
16/09/2024,13.202
13/09/2024,13.203
12/09/2024,13.206
11/09/2024,13.256
10/09/2024,13.298
09/09/2024,13.311
06/09/2024,13.356
05/09/2024,13.350
04/09/2024,13.349
03/09/2024,13.375
02/09/2024,13.421
30/08/2024,13.434
29/08/2024,13.452
28/08/2024,13.401
27/08/2024,13.439
26/08/2024,13.418
23/08/2024,13.638
22/08/2024,13.815
21/08/2024,13.813
20/08/2024,13.842
19/08/2024,13.985
16/08/2024,13.988
15/08/2024,13.994
13/08/2024,14.014
12/08/2024,14.026
09/08/2024,13.999
08/08/2024,14.024
07/08/2024,14.054
06/08/2024,14.073
05/08/2024,14.074
02/08/2024,14.049
01/08/2024,14.061
31/07/2024,14.061
30/07/2024,14.022
29/07/2024,14.024
26/07/2024,14.033
25/07/2024,14.039
24/07/2024,14.077
23/07/2024,14.078
22/07/2024,14.074
19/07/2024,14.072
18/07/2024,14.076
15/07/2024,14.073
12/07/2024,14.084
11/07/2024,14.056
10/07/2024,14.072
09/07/2024,14.074
08/07/2024,14.074
05/07/2024,14.070
04/07/2024,14.074
03/07/2024,14.065
02/07/2024,14.045
01/07/2024,14.066
28/06/2024,14.065
27/06/2024,14.084
26/06/2024,14.058
25/06/2024,14.053
24/06/2024,14.050
21/06/2024,14.030
20/06/2024,14.028
17/06/2024,14.473
14/06/2024,14.034
13/06/2024,14.040
12/06/2024,14.037
11/06/2024,14.112
10/06/2024,14.116
07/06/2024,14.110
06/06/2024,14.099
05/06/2024,14.099
04/06/2024,14.107
03/06/2024,14.126
31/05/2024,14.123
30/05/2024,14.131
29/05/2024,14.130
28/05/2024,14.576
27/05/2024,14.130
24/05/2024,14.124
23/05/2024,14.109
22/05/2024,14.109
21/05/2024,14.113
20/05/2024,14.110
17/05/2024,14.109
16/05/2024,14.169
15/05/2024,14.179
14/05/2024,14.173
13/05/2024,14.172
10/05/2024,14.182
09/05/2024,14.171
08/05/2024,14.171
07/05/2024,14.155
06/05/2024,14.155
03/05/2024,14.167
02/05/2024,14.160
01/05/2024,14.606
30/04/2024,14.158
29/04/2024,14.157
26/04/2024,14.152
25/04/2024,14.154
24/04/2024,14.177
23/04/2024,14.194
22/04/2024,14.190
19/04/2024,14.189
18/04/2024,14.191
17/04/2024,14.184
16/04/2024,14.193
15/04/2024,14.203
12/04/2024,14.632
11/04/2024,14.632
10/04/2024,14.634
09/04/2024,14.186
08/04/2024,14.172
05/04/2024,14.609
04/04/2024,14.176
03/04/2024,14.169
02/04/2024,14.173
01/04/2024,14.204
29/03/2024,14.177
28/03/2024,14.204
27/03/2024,14.207
26/03/2024,14.209
25/03/2024,14.193
22/03/2024,14.204
21/03/2024,14.219
20/03/2024,14.222
19/03/2024,14.213
18/03/2024,14.202
15/03/2024,14.211
14/03/2024,14.206
13/03/2024,14.182
12/03/2024,14.181
11/03/2024,14.204
08/03/2024,14.211
07/03/2024,14.210
06/03/2024,14.216
05/03/2024,14.224
04/03/2024,14.284
01/03/2024,14.274
29/02/2024,14.280
28/02/2024,14.285
27/02/2024,14.307
26/02/2024,14.304
23/02/2024,14.315
22/02/2024,14.321
21/02/2024,14.316
20/02/2024,14.272
19/02/2024,14.493
16/02/2024,14.493
