DATES,STX
30/09/2021,44899.6015625
03/09/2021,46957.46875
02/09/2021,46903.05859375
01/09/2021,47413.4609375
31/08/2021,47419.73828125
30/08/2021,47365.69921875
27/08/2021,47136.53125
26/08/2021,47363.26953125
25/08/2021,47635.8984375
24/08/2021,47828.7109375
23/08/2021,48112.2109375
20/08/2021,47599.8203125
17/08/2021,47258.44921875
16/08/2021,46912.7890625
13/08/2021,47169.83984375
12/08/2021,47270.76171875
11/08/2021,47377.37890625
10/08/2021,47135.48046875
09/08/2021,47123.62109375
06/08/2021,47489.94921875
05/08/2021,47640.87890625
04/08/2021,47789.87890625
03/08/2021,47758.3203125
30/07/2021,47055.2890625
29/07/2021,47312.328125
28/07/2021,47318.03125
27/07/2021,47686.98828125
26/07/2021,47672.6796875
23/07/2021,47793.0703125
19/07/2021,47873.26171875
16/07/2021,47834.328125
15/07/2021,47628.26171875
14/07/2021,47491.46875
13/07/2021,47480.48828125
12/07/2021,47447.078125
09/07/2021,47563.44921875
08/07/2021,48053.171875
07/07/2021,47247.921875
06/07/2021,47346.16015625
02/07/2021,47686.1796875
01/07/2021,47800.5703125
30/06/2021,47356.01953125
29/06/2021,47137.76953125
28/06/2021,47002.3515625
25/06/2021,47603.359375
24/06/2021,47962.5390625
23/06/2021,47900.69921875
22/06/2021,47987.140625
21/06/2021,48012.51953125
18/06/2021,48238.671875
17/06/2021,48131.25
16/06/2021,48480.8984375
15/06/2021,48632.55859375
14/06/2021,48726.078125
11/06/2021,48304.71875
10/06/2021,48251.48828125
09/06/2021,47777.62109375
08/06/2021,48147.98046875
07/06/2021,48302.66015625
04/06/2021,48211.69921875
03/06/2021,48093.53125
02/06/2021,48126.8984375
01/06/2021,48191.26171875
28/05/2021,47126.2890625
27/05/2021,46790.75
26/05/2021,46812.30859375
25/05/2021,46300.66015625
24/05/2021,46097.109375
21/05/2021,45914.98046875
20/05/2021,45574.0703125
19/05/2021,45682.109375
18/05/2021,45981.8203125
17/05/2021,45796.30859375
06/05/2021,45174.671875
05/05/2021,44943.609375
04/05/2021,44563.58984375
03/05/2021,44076.19921875
30/04/2021,44262.3515625
29/04/2021,44863.109375
28/04/2021,45059.12109375
27/04/2021,45292.87109375
26/04/2021,45682.76953125
23/04/2021,44706.76171875
22/04/2021,44929.609375
21/04/2021,45306.5390625
20/04/2021,45399.78125
19/04/2021,44913.5703125
16/04/2021,45305.62890625
15/04/2021,45230.1796875
14/04/2021,45311.21875
13/04/2021,45048.5703125
12/04/2021,44978.05078125
09/04/2021,45186.48046875
08/04/2021,44741.359375
07/04/2021,43953.578125
06/04/2021,44404.69921875
05/04/2021,43548.2109375
01/04/2021,44428.1015625
31/03/2021,44587.8515625
30/03/2021,44491.03125
29/03/2021,44431.80078125
26/03/2021,45521.62890625
25/03/2021,45726.16015625
24/03/2021,45544.19140625
22/03/2021,45407.328125
19/03/2021,44901.30859375
18/03/2021,44724.08984375
17/03/2021,45450.30859375
16/03/2021,44857.05859375
15/03/2021,44766.58984375
11/03/2021,42779.76171875
10/03/2021,43691.6796875
09/03/2021,44222.91015625
08/03/2021,45051.05078125
05/03/2021,45837.3515625
04/03/2021,45278.53125
03/03/2021,46160.78125
02/03/2021,45964.26953125
01/03/2021,45593.4296875
26/02/2021,45865.01953125
25/02/2021,45965.62109375
24/02/2021,45362.578125
23/02/2021,45728.75
22/02/2021,45890.0390625
19/02/2021,46227.6484375
18/02/2021,46142.73828125
17/02/2021,46768.140625
16/02/2021,46867.94921875
12/02/2021,45808.359375
11/02/2021,46055.51953125
10/02/2021,46644.2890625
09/02/2021,46674.76953125
08/02/2021,46721.87109375
04/02/2021,46905.7890625
03/02/2021,46933.62890625
02/02/2021,46580.33984375
01/02/2021,46248.44921875
29/01/2021,46385.5390625
28/01/2021,46166.05078125
27/01/2021,46458.12890625
26/01/2021,46287.37890625
25/01/2021,46087.640625
22/01/2021,45868.0390625
21/01/2021,45984.4609375
20/01/2021,45676.94140625
19/01/2021,45903.23046875
15/01/2021,45931.0
14/01/2021,45989.3515625
13/01/2021,46091.9609375
12/01/2021,45922.0390625
11/01/2021,45605.421875
08/01/2021,45654.33984375
07/01/2021,45344.5390625
06/01/2021,45153.421875
05/01/2021,44650.4296875
04/01/2021,44686.4609375
31/12/2020,43755.37890625
30/12/2020,43694.76171875
29/12/2020,43255.55078125
28/12/2020,43674.28125
24/12/2020,43416.76953125
23/12/2020,43087.69921875
21/12/2020,43333.76171875
18/12/2020,43740.55078125
17/12/2020,43766.69140625
16/12/2020,43360.19140625
15/12/2020,43250.83984375
14/12/2020,43266.21875
11/12/2020,42470.390625
10/12/2020,42305.83984375
09/12/2020,42204.03125
08/12/2020,42101.78125
07/12/2020,42115.30859375
04/12/2020,42207.0
03/12/2020,42047.71875
02/12/2020,42027.37890625
01/12/2020,41665.26953125
30/11/2020,41068.8203125
27/11/2020,40807.08984375
25/11/2020,40377.53125
24/11/2020,39863.359375
23/11/2020,39632.51953125
20/11/2020,40187.1796875
19/11/2020,40540.69921875
18/11/2020,40514.671875
17/11/2020,40652.671875
16/11/2020,40504.75
13/11/2020,40569.3515625
12/11/2020,40564.55078125
11/11/2020,41197.3203125
10/11/2020,41153.05078125
09/11/2020,40784.0390625
06/11/2020,40731.609375
05/11/2020,41071.30078125
04/11/2020,40281.9609375
03/11/2020,40480.87890625
02/11/2020,39112.1796875
29/10/2020,39888.0
28/10/2020,41186.859375
27/10/2020,41381.828125
26/10/2020,41850.46875
23/10/2020,41266.0
22/10/2020,41199.01953125
21/10/2020,41535.921875
20/10/2020,40956.578125
19/10/2020,40340.171875
16/10/2020,40164.01953125
15/10/2020,40068.48828125
14/10/2020,40144.2890625
13/10/2020,40006.671875
12/10/2020,40209.8203125
09/10/2020,40798.4296875
08/10/2020,40353.62109375
07/10/2020,39849.9609375
06/10/2020,39127.48046875
05/10/2020,39072.46875
02/10/2020,40070.828125
01/10/2020,40676.921875
30/09/2020,40571.48046875
29/09/2020,41204.359375
28/09/2020,40740.94921875
25/09/2020,41701.23046875
24/09/2020,41806.37109375
23/09/2020,41876.26171875
22/09/2020,41828.91015625
21/09/2020,42174.12890625
18/09/2020,42504.76171875
17/09/2020,42334.76171875
16/09/2020,42282.28125
15/09/2020,42346.421875
14/09/2020,42531.30859375
11/09/2020,42530.671875
10/09/2020,42647.3515625
09/09/2020,42022.25
08/09/2020,41985.19140625
04/09/2020,42023.0
03/09/2020,42188.109375
02/09/2020,41834.8515625
01/09/2020,41377.26171875
31/08/2020,41110.9296875
28/08/2020,41056.21875
27/08/2020,41081.94140625
26/08/2020,40862.58984375
25/08/2020,40292.8203125
24/08/2020,39802.6015625
21/08/2020,39621.58984375
20/08/2020,39868.55078125
19/08/2020,40154.109375
18/08/2020,40184.01171875
17/08/2020,40122.5
13/08/2020,40290.73828125
12/08/2020,40473.1796875
11/08/2020,40559.1484375
10/08/2020,39914.76171875
07/08/2020,40029.69140625
06/08/2020,40166.12109375
05/08/2020,39882.78125
04/08/2020,39577.62109375
03/08/2020,39871.609375
30/07/2020,39258.44140625
29/07/2020,38836.26953125
28/07/2020,38627.26953125
27/07/2020,38221.16015625
24/07/2020,37607.62109375
23/07/2020,37578.2109375
22/07/2020,37804.609375
21/07/2020,37700.30859375
20/07/2020,37650.5703125
17/07/2020,37330.8515625
16/07/2020,37001.44140625
15/07/2020,36679.03125
14/07/2020,36745.21875
13/07/2020,36618.5703125
10/07/2020,36190.3984375
09/07/2020,36142.171875
08/07/2020,35694.890625
07/07/2020,35373.3515625
06/07/2020,35202.76953125
02/07/2020,34978.1796875
01/07/2020,34889.41015625
30/06/2020,34421.921875
29/06/2020,34181.80078125
26/06/2020,33939.48828125
25/06/2020,33709.62890625
24/06/2020,34034.6484375
