DATES,rEER
200107,93.4135564
200108,92.71555822
200109,92.10336373
200110,95.30020742
200111,97.88144821
200112,98.40208829
200201,98.98659376
200202,100.2252969
200203,101.0155907
200204,100.475112
200205,98.23704282
200206,97.31761614
200207,97.21493615
200208,98.57249738
200209,98.78106959
200210,99.34232001
200211,99.2993556
200212,98.41734958
200301,96.88591108
200302,96.94054636
200303,96.97928226
200304,97.31988201
200305,94.63769263
200306,94.08735875
200307,95.41490579
200308,96.34470479
200309,95.79121061
200310,95.45766246
200311,96.40698851
200312,95.57468254
200401,93.63449955
200402,92.83892033
200403,94.58203207
200404,95.40618827
200405,96.55595456
200406,96.58134164
200407,96.87110937
200408,97.16408597
200409,96.33683751
200410,95.80778292
200411,94.58244975
200412,92.29085938
200501,94.02436218
200502,94.72836352
200503,95.13755837
200504,97.43116337
200505,96.89388883
200506,98.18573315
200507,100.3627487
200508,98.85920609
200509,98.50690323
200510,100.3933349
200511,102.3618762
200512,101.3649779
200601,100.9074731
200602,101.2854032
200603,100.9158446
200604,100.4640389
200605,98.60313364
200606,99.84468628
200607,101.167589
200608,101.4741387
200609,101.6875874
200610,101.9199938
200611,100.8071209
200612,100.1135374
200701,99.90451256
200702,100.3471496
200703,99.98704233
200704,98.78948414
200705,99.22891643
200706,99.44027415
200707,99.46328514
200708,100.6361467
200709,101.1599685
200710,100.4872568
200711,98.15463737
200712,98.6739946
200801,97.55563961
200802,96.45090063
200803,96.65965493
200804,97.69376802
200805,94.11197373
200806,96.27315934
200807,94.76889466
200808,93.67050488
200809,92.91141989
200810,94.23261837
200811,97.26183967
200812,97.08605085
200901,97.6282012
200902,100.1542012
200903,99.62034763
200904,98.84477348
200905,96.1961749
200906,95.12141853
200907,95.03107583
200908,94.87776493
200909,93.89920054
200910,92.8848352
200911,93.23600407
200912,92.45598272
201001,94.55968956
201002,95.57184155
201003,97.10466522
201004,99.16632626
201005,101.1736782
201006,101.3409685
201007,101.069649
201008,101.9318097
201009,102.5687095
201010,100.2878153
201011,101.9390751
201012,102.2956217
201101,102.6381787
201102,101.2019305
201103,101.0920716
201104,101.5301191
201105,100.7921357
201106,100.9066654
201107,101.7805126
201108,101.8715539
201109,103.7163767
201110,106.2962156
201111,106.8786176
201112,104.1807368
201201,104.7421282
201202,102.9415881
201203,104.0895981
201204,105.7596976
201205,107.3915056
201206,105.4679574
201207,105.2654748
201208,105.0649577
201209,103.7803629
201210,102.7714941
201211,102.4374709
201212,100.7394857
201301,100.7386835
201302,100.5225554
201303,101.6882477
201304,101.7263963
201305,102.1988816
201306,102.5266839
201307,102.9978271
201308,101.6360469
201309,98.46190684
201310,98.50233185
201311,99.08063885
201312,97.85778972
201401,99.97791228
201402,100.1843819
201403,105.6204767
201404,109.1215041
201405,107.4370893
201406,108.4482055
201407,109.8511225
201408,109.1801785
201409,108.1614106
201410,108.8836047
201411,110.5218269
201412,111.6233641
201501,113.7389056
201502,113.4633675
201503,114.6259636
201504,114.6203984
201505,114.2470986
201506,115.3514735
201507,116.5042231
201508,117.6099446
201509,116.0381547
201510,115.7238815
201511,116.9478977
201512,117.4620769
201601,118.6835059
201602,116.9139171
201603,115.7301071
201604,116.0054965
201605,116.201136
201606,117.4041014
201607,119.3912933
201608,118.3053939
201609,118.5529631
201610,120.4495422
201611,122.4623581
201612,123.4015981
201701,122.7701282
201702,122.0675433
201703,122.8225059
201704,123.7106639
201705,122.9094964
201706,121.2569128
201707,119.9588595
201708,118.5233161
201709,117.7471146
201710,119.6734823
201711,120.3019196
201712,115.3999358
201801,110.9943681
201802,108.8854808
201803,107.6158887
201804,106.7891228
201805,109.2750319
201806,107.2731335
201807,105.1247892
201808,107.2514063
201809,106.6350716
201810,103.8276421
201811,102.200815
201812,97.96818297
201901,97.93897414
201902,97.8386309
201903,98.71293636
201904,98.45262968
201905,97.15611375
201906,92.44327352
201907,91.0969915
201908,94.38844745
201909,96.17102738
201910,97.39858157
201911,98.51747892
201912,98.27418262
202001,99.41917349
202002,99.43524792
202003,98.07857139
202004,95.70052462
202005,98.35827443
202006,94.50667465
202007,94.65877038
202008,92.98683663
202009,95.34913705
202010,98.379555
202011,100.5849
202012,97.50218475
202101,96.28359713
202102,98.35251992
202103,101.7766664
202104,104.2028585
202105,103.4902184
202106,101.0253204
202107,100.6237877
202108,98.47719579
202109,97.75993658
202110,97.41334564
202111,99.60742258
202112,97.76080153
202201,97.78777201
202202,98.51705762
202203,97.14297397
202204,96.75946696
202205,94.55331721
202206,94.86133581
202207,94.0102526
202208,95.16755622
202209,91.71256026
202210,101.5707
202211,100.3139401
202212,97.4737445
202301,93.96209776
202302,86.48939743
202303,85.60532212
202304,85.56225661
202305,87.33010711
202306,87.72830855
202307,91.58650898
202308,90.04066261
202309,91.72981391
202310,98.51661249
202311,98.27553783
202312,98.82667231
202401,101.7542166
202402,102.0965731
202403,104.09487
202404,104.4444586
202405,100.6883611
202406,100.0647332
202407,101.5044332
202408,100.1324703
202409,98.64152303
202410,100.7769933
202411,103.0224835
202412,103.6654254
202501,104.0619292
202502,102.2469925
202503,101.5521138
202504,99.30499453
202505,97.79464621
202506,98.0312955
202507,99.98119906
202508,100.195515
202509,101.8842031
202510,103.9643161
202511,104.8797508
202512,103.5522579
202601,103.9874232
202602,103.109811
202603,104.2878617
202604,105.8359341
202605,106.1534008
