DATES,CPI
31/01/1986,0.0001
28/02/1986,0.0001
31/03/1986,0.0001
30/04/1986,0.0001
31/05/1986,0.0001
30/06/1986,0.0001
31/07/1986,0.0001
31/08/1986,0.0001
30/09/1986,0.0001
31/10/1986,0.0001
30/11/1986,0.0001
31/12/1986,0.0001
31/01/1987,0.0001
28/02/1987,0.0001
31/03/1987,0.0001
30/04/1987,0.0001
31/05/1987,0.0001
30/06/1987,0.0001
31/07/1987,0.0001
31/08/1987,0.0001
30/09/1987,0.0001
31/10/1987,0.0001
30/11/1987,0.0001
31/12/1987,0.0001
31/01/1988,0.0001
29/02/1988,0.0001
31/03/1988,0.0002
30/04/1988,0.0003
31/05/1988,0.0003
30/06/1988,0.0003
31/07/1988,0.0005
31/08/1988,0.0006
30/09/1988,0.0011
31/10/1988,0.0016
30/11/1988,0.002
31/12/1988,0.0028
31/01/1989,0.0042
28/02/1989,0.0059
31/03/1989,0.0084
30/04/1989,0.0124
31/05/1989,0.0161
30/06/1989,0.0198
31/07/1989,0.0246
31/08/1989,0.0308
30/09/1989,0.0391
31/10/1989,0.048
30/11/1989,0.0605
31/12/1989,0.081
31/01/1990,0.1051
28/02/1990,0.1372
31/03/1990,0.182
30/04/1990,0.2499
31/05/1990,0.3318
30/06/1990,0.4732
31/07/1990,0.7724
31/08/1990,3.8386
30/09/1990,4.3671
31/10/1990,4.7871
30/11/1990,5.071
31/12/1990,6.2742
31/01/1991,7.393
28/02/1991,8.0895
31/03/1991,8.7124
30/04/1991,9.2213
31/05/1991,9.9257
30/06/1991,10.8448
31/07/1991,11.827
31/08/1991,12.6833
30/09/1991,13.3885
31/10/1991,13.9176
30/11/1991,14.4687
31/12/1991,15.0098
31/01/1992,15.5412
29/02/1992,16.2778
31/03/1992,17.4895
30/04/1992,18.0444
31/05/1992,18.6648
30/06/1992,19.3343
31/07/1992,20.0065
31/08/1992,20.572
30/09/1992,21.111
31/10/1992,21.879
30/11/1992,22.6535
31/12/1992,23.5254
31/01/1993,24.6655
28/02/1993,25.3891
31/03/1993,26.4647
30/04/1993,27.6363
31/05/1993,28.4744
30/06/1993,28.9919
31/07/1993,29.786
31/08/1993,30.5407
30/09/1993,31.0357
31/10/1993,31.5037
30/11/1993,32.0091
31/12/1993,32.8133
31/01/1994,33.4161
28/02/1994,34.0244
31/03/1994,34.8153
30/04/1994,35.3532
31/05/1994,35.6062
30/06/1994,36.0124
31/07/1994,36.3328
31/08/1994,36.8898
30/09/1994,37.0798
31/10/1994,37.1862
30/11/1994,37.6401
31/12/1994,37.8611
31/01/1995,38.0021
28/02/1995,38.4339
31/03/1995,38.9612
30/04/1995,39.3448
31/05/1995,39.6732
30/06/1995,39.9941
31/07/1995,40.2221
31/08/1995,40.6395
