DATES,GDP
01/03/1980,36357.0
01/06/1980,43102.0
01/09/1980,42344.0
01/12/1980,45792.0
01/03/1981,39026.0
01/06/1981,45858.0
01/09/1981,45003.0
01/12/1981,47015.0
01/03/1982,40475.0
01/06/1982,46211.0
01/09/1982,43889.0
01/12/1982,45932.0
01/03/1983,36438.0
01/06/1983,41011.0
01/09/1983,39107.0
01/12/1983,41580.0
01/03/1984,35508.0
01/06/1984,41849.0
01/09/1984,41511.0
01/12/1984,44974.0
01/03/1985,39429.0
01/06/1985,43938.0
01/09/1985,40849.0
01/12/1985,43004.0
01/03/1986,38202.0
01/06/1986,46950.0
01/09/1986,47017.0
01/12/1986,50811.0
01/03/1987,44533.0
01/06/1987,51060.0
01/09/1987,51600.0
01/12/1987,53585.0
01/03/1988,43969.0
01/06/1988,49303.0
01/09/1988,46027.0
01/12/1988,42523.0
01/03/1989,35208.0
01/06/1989,39868.0
01/09/1989,40356.0
01/12/1989,44004.0
01/03/1990,40441.0
01/06/1990,40317.0
01/09/1990,33935.0
01/12/1990,36800.0
01/03/1991,36290.0
01/06/1991,40194.0
01/09/1991,39444.0
01/12/1991,38926.0
01/03/1992,38554.0
01/06/1992,39420.0
01/09/1992,36833.0
01/12/1992,39210.0
01/03/1993,38459.0
01/06/1993,41647.0
01/09/1993,40684.0
01/12/1993,41304.0
01/03/1994,43374.0
01/06/1994,46710.0
01/09/1994,45094.0
01/12/1994,46866.0
01/03/1995,47280.0
01/06/1995,50716.0
01/09/1995,48796.0
01/12/1995,48744.0
01/03/1996,47885.0
01/06/1996,51914.0
01/09/1996,50073.0
01/12/1996,51138.0
01/03/1997,50365.0
01/06/1997,56186.0
01/09/1997,53280.0
01/12/1997,54197.0
01/03/1998,51487.0
01/06/1998,54479.0
01/09/1998,53515.0
01/12/1998,53709.0
01/03/1999,51215.0
01/06/1999,55518.0
01/09/1999,53196.0
01/12/1999,56448.0
01/03/2000,54675.0
01/06/2000,58256.0
01/09/2000,54622.0
01/12/2000,54655.0
01/03/2001,51760.0
01/06/2001,58431.0
01/09/2001,56120.0
01/12/2001,57268.0
01/03/2002,55138.0
01/06/2002,62307.0
01/09/2002,58404.0
01/12/2002,59924.0
01/03/2003,58249.0
01/06/2003,65202.0
01/09/2003,60552.0
01/12/2003,61589.0
01/03/2004,60914.0
01/06/2004,67640.0
01/09/2004,63146.0
01/12/2004,66071.0
01/03/2005,64341.0
01/06/2005,71310.0
01/09/2005,67230.0
01/12/2005,71090.0
01/03/2006,69671.0
01/06/2006,75824.0
01/09/2006,72806.0
01/12/2006,76297.0
01/03/2007,73354.0
01/06/2007,80626.0
01/09/2007,80700.0
01/12/2007,85013.0
01/03/2008,80792.0
01/06/2008,89108.0
01/09/2008,88428.0
01/12/2008,90518.0
01/03/2009,82889.0
01/06/2009,88454.0
01/09/2009,88339.0
01/12/2009,92988.0
01/03/2010,87433.0
01/06/2010,96786.0
01/09/2010,96792.0
01/12/2010,101052.0
01/03/2011,94788.0
01/06/2011,101898.0
01/09/2011,102417.0
01/12/2011,107125.0
01/03/2012,100582.0
01/06/2012,107907.0
01/09/2012,109607.0
01/12/2012,113083.0
01/03/2013,105589.0
01/06/2013,114668.0
01/09/2013,115336.0
01/12/2013,120819.0
01/03/2014,110823.0
01/06/2014,116915.0
01/09/2014,117439.0
01/12/2014,122114.0
01/03/2015,112960.0
01/06/2015,120624.0
01/09/2015,121146.0
01/12/2015,127756.0
01/03/2016,118030.0
01/06/2016,125146.0
01/09/2016,126731.0
01/12/2016,131657.0
01/03/2017,120741.0
01/06/2017,128455.0
01/09/2017,130294.0
01/12/2017,134725.0
01/03/2018,124548.0
01/06/2018,135646.0
01/09/2018,133482.0
01/12/2018,140951.0
01/03/2019,127524.0
01/06/2019,137192.0
01/09/2019,138009.0
01/12/2019,143880.0
01/03/2020,123022.0
01/06/2020,96030.0
01/09/2020,126119.0
01/12/2020,142021.0
01/03/2021,128358.0
01/06/2021,136586.0
01/09/2021,140801.0
01/12/2021,146816.0
01/03/2022,133182.0
01/06/2022,141159.0
01/09/2022,143580.0
01/12/2022,149470.0
01/03/2023,132693.0
01/06/2023,140428.0
01/09/2023,142260.0
01/12/2023,148879.0
01/03/2024,135457.0
01/06/2024,146025.0
01/09/2024,148604.0
01/12/2024,155512.0
01/03/2025,140914.0
01/06/2025,150176.0
01/09/2025,154203.0
01/12/2025,160445.0
