DATES,GDP
01/03/1981,1112090.523606058
01/06/1981,1149293.630970971
01/09/1981,1066823.185351663
01/12/1981,1211222.769361305
01/03/1982,1145677.860880485
01/06/1982,1192681.3183582309
01/09/1982,1090627.340125627
01/12/1982,1278330.149955651
01/03/1983,1187379.645300894
01/06/1983,1259286.7838155362
01/09/1983,1112069.781084391
01/12/1983,1237875.986869173
01/03/1984,1135091.917165596
01/06/1984,1183670.266546583
01/09/1984,992844.665023595
01/12/1984,1147353.674944223
01/03/1985,1016182.6213465999
01/06/1985,1072520.405163619
01/09/1985,941279.942458887
01/12/1985,1123165.2224708898
01/03/1986,1016812.0231370451
01/06/1986,1102845.632051388
01/09/1986,1014292.192465792
01/12/1986,1165002.2540357742
01/03/1987,1049992.813552608
01/06/1987,1144410.4041273678
01/09/1987,1080960.033037288
01/12/1987,1211100.9595627328
01/03/1988,1110898.998801251
01/06/1988,1171082.478210755
01/09/1988,1148588.1306603411
01/12/1988,1356350.0198476529
01/03/1989,1182521.979962115
01/06/1989,1233224.958873718
01/09/1989,1211700.241933633
01/12/1989,1455491.640970531
01/03/1990,1243019.240327758
01/06/1990,1276754.836652922
01/09/1990,1257010.371196591
01/12/1990,1462844.732252725
01/03/1991,1244652.416672079
01/06/1991,1262124.777760142
01/09/1991,1233097.822453218
01/12/1991,1476888.941534557
01/03/1992,1271890.911472239
01/06/1992,1259193.14394711
01/09/1992,1237813.31013135
01/12/1992,1469653.315439296
01/03/1993,1283261.2053595171
01/06/1993,1291695.469709059
01/09/1993,1270449.96101105
01/12/1993,1507443.4576503742
01/03/1994,1328938.78845806
01/06/1994,1352499.4013053197
01/09/1994,1336680.995241256
01/12/1994,1568846.688855363
01/03/1995,1392448.473719558
01/06/1995,1409521.453755538
01/09/1995,1417167.309973635
01/12/1995,1626238.3853812641
01/03/1996,1464530.7532613422
01/06/1996,1503061.588548813
01/09/1996,1503253.170718655
01/12/1996,1717089.456211185
01/03/1997,1539321.159050882
01/06/1997,1593749.806971306
01/09/1997,1573879.491553214
01/12/1997,1801916.292684592
01/03/1998,1567553.342528394
01/06/1998,1580092.865831378
01/09/1998,1579892.317227882
01/12/1998,1747866.7526623402
01/03/1999,1581132.242970091
01/06/1999,1634431.655771702
01/09/1999,1639984.8521431452
01/12/1999,1836552.803945055
01/03/2000,1653296.0138656606
01/06/2000,1729789.4099092814
01/09/2000,1709412.9029158491
01/12/2000,1892884.9134571175
01/03/2001,1693208.8385997622
01/06/2001,1786322.1225653123
01/09/2001,1762583.2795637352
01/12/2001,1956269.494683884
01/03/2002,1758846.7783433802
01/06/2002,1851704.7741274205
01/09/2002,1809766.984389117
01/12/2002,2045575.4941713167
01/03/2003,1840078.7353828074
01/06/2003,1932975.618213618
01/09/2003,1909700.6640587742
01/12/2003,2162922.4081022087
01/03/2004,1972127.6246867557
01/06/2004,2077811.692504382
01/09/2004,2029118.9863231336
01/12/2004,2282019.600718368
01/03/2005,2071139.873359592
01/06/2005,2195368.688249831
01/09/2005,2117984.6989559345
01/12/2005,2389831.34699022
01/03/2006,2164381.215436548
01/06/2006,2325314.094397033
01/09/2006,2217592.682008126
01/12/2006,2533516.285182148
01/03/2007,2297796.864605859
01/06/2007,2484417.0159187997
01/09/2007,2362773.2551820553
01/12/2007,2698252.1137354504
01/03/2008,2393607.2893793127
01/06/2008,2602999.3429958923
01/09/2008,2491195.6396248294
01/12/2008,2783075.2570234463
01/03/2009,2420350.057290553
01/06/2009,2652251.4870901057
01/09/2009,2514310.8029856896
01/12/2009,2832720.6696649776
01/03/2010,2616890.924017344
01/06/2010,2863766.596118615
01/09/2010,2692051.539623564
01/12/2010,3011151.9367815936
01/03/2011,2743208.69814431
01/06/2011,2965725.982682085
01/09/2011,2773776.253216263
01/12/2011,3132649.4588465746
01/03/2012,2908899.0801881733
01/06/2012,3150174.444242076
01/09/2012,2979022.2729255706
01/12/2012,3378370.392840146
01/03/2013,3129775.5500848615
01/06/2013,3386828.9702560985
01/09/2013,3178883.7290377566
01/12/2013,3559155.377561209
01/03/2014,3308136.019258368
01/06/2014,3621755.886026757
01/09/2014,3367553.456239299
01/12/2014,3798601.383703933
01/03/2015,3481796.4698251644
01/06/2015,3853504.0070966706
01/09/2015,3589387.680529634
01/12/2015,4066219.2929776786
01/03/2016,3722688.281024097
01/06/2016,4140185.9988386026
01/09/2016,3852482.661260165
01/12/2016,4347318.953847
01/03/2017,3959977.369662135
01/06/2017,4437331.26234539
01/09/2017,4142636.1060917517
01/12/2017,4636033.347972328
01/03/2018,4215576.4813465215
01/06/2018,4720383.966590194
01/09/2018,4397241.325148641
01/12/2018,4931988.48507639
01/03/2019,4463185.920622715
01/06/2019,4985924.379434682
01/09/2019,4675544.205216713
01/12/2019,5258096.106149137
01/03/2020,4433805.4873840045
01/06/2020,4142943.3675075597
01/09/2020,4135498.8099203957
01/12/2020,4825595.614561362
01/03/2021,4266797.0241342075
01/06/2021,4641824.632067036
01/09/2021,4426630.15129829
01/12/2021,5204832.4124322105
01/03/2022,4611219.419885242
01/06/2022,4990934.042116325
01/09/2022,4767549.240755154
01/12/2022,5575901.988351788
01/03/2023,4907012.665658038
01/06/2023,5203455.442522957
01/09/2023,5051395.977421478
01/12/2023,5884528.491483936
01/03/2024,5196789.24188571
01/06/2024,5540171.799971857
01/09/2024,5316739.04236427
01/12/2024,6195440.215335403
01/03/2025,5475925.575854873
01/06/2025,5841783.613287773
01/09/2025,5528670.539109051
01/12/2025,6382257.076970683
01/03/2026,5626961.137486883
