DATES,rEER
199401,86.22
199402,86.03
199403,85.16
199404,84.94
199405,86.44
199406,86.34
199407,87.26
199408,87.89
199409,88.64
199410,89.86
199411,93.99
199412,95.34
199501,94.4
199502,92.95
199503,87.39
199504,84.31
199505,85.47
199506,86.42
199507,88.18
199508,90.65
199509,92.59
199510,92.1
199511,92.05
199512,92.12
199601,95.69
199602,96.03
199603,95.96
199604,96.35
199605,96.47
199606,97.53
199607,97.77
199608,97.79
199609,97.94
199610,98.58
199611,98.19
199612,99.51
199701,101.57
199702,103.63
199703,104.52
199704,104.5
199705,103.11
199706,103.38
199707,100.03
199708,96.38
199709,87.88
199710,83.49
199711,85.52
199712,83.52
199801,75.89
199802,79.19
199803,82.37
199804,83.63
199805,83.31
199806,84.01
199807,81.39
199808,80.13
199809,76.9
199810,75.3
199811,81.71
199812,82.85
199901,85.57
199902,85.85
199903,86.58
199904,87.58
199905,88.74
199906,89.15
199907,88.24
199908,84.64
199909,82.05
199910,81.52
199911,81.55
199912,80.88
200001,83.87
200002,84.87
200003,83.76
200004,83.37
200005,83.57
200006,81.3
200007,78.99
200008,78.76
200009,77.49
200010,74.48
200011,73.54
200012,74.04
200101,73.62
200102,77.8
200103,78.51
200104,76.48
200105,76.05
200106,75.47
200107,73.93
200108,74.63
200109,75.01
200110,75.14
200111,75.48
200112,76.6
200201,78.39
200202,78.68
200203,78.69
200204,78.25
200205,78.64
200206,76.68
200207,75.27
200208,74.2
200209,73.98
200210,73.5
200211,72.13
200212,71.78
200301,70.38
200302,69.95
200303,69.39
200304,71.86
200305,70.85
200306,70.33
200307,70.21
200308,68.82
200309,67.82
200310,66.59
200311,66.12
200312,65.47
200401,64.95
200402,64.08
200403,64.56
200404,64.99
200405,66.15
200406,66.3
200407,66.98
200408,67.65
200409,67.17
200410,66.34
200411,65.31
200412,65.17
200501,66.36
200502,67.36
200503,67.44
200504,68.23
200505,68.73
200506,69.01
200507,69.2
200508,68.69
200509,68.57
200510,70.27
200511,73.04
200512,74.29
200601,74.7
200602,76.57
200603,77.36
200604,76.19
200605,73.49
200606,73.45
200607,74.87
200608,76.17
200609,77.85
200610,78.89
200611,78.42
200612,78.35
200701,80.24
200702,80.63
200703,79.57
200704,80.29
200705,81.98
200706,83.48
200707,84.09
200708,82.67
200709,82.14
200710,84.27
200711,85.14
200712,89.13
200801,90.67
200802,90.3
200803,87.46
200804,86.97
200805,85.86
200806,84.46
200807,83.67
200808,85.66
200809,83.6
200810,83.27
200811,83.17
200812,83.61
200901,86.0
200902,87.17
200903,86.6
200904,86.1
200905,85.45
200906,84.38
200907,83.78
200908,82.78
200909,82.2
200910,83.52
200911,82.97
200912,85.05
201001,85.77
201002,86.02
201003,86.91
201004,89.27
201005,88.53
201006,87.98
201007,86.74
201008,88.04
201009,88.77
201010,87.83
201011,88.34
201012,88.37
201101,87.05
201102,88.47
201103,88.19
201104,88.02
201105,87.45
201106,87.26
201107,87.96
201108,87.99
201109,88.12
201110,88.37
201111,89.1
201112,88.82
201201,88.95
201202,89.88
201203,90.18
201204,91.0
201205,90.99
201206,92.77
201207,94.8
201208,94.21
201209,93.65
201210,94.01
201211,95.24
201212,95.16
201301,96.87
201302,97.73
201303,98.51
201304,97.91
201305,98.13
201306,94.85
201307,94.78
201308,93.19
201309,93.73
201310,93.95
201311,94.17
201312,94.18
201401,93.19
201402,93.11
201403,92.95
201404,92.95
201405,94.58
201406,95.19
201407,96.15
201408,95.91
201409,96.32
201410,95.74
201411,97.27
201412,99.16
201501,100.69
201502,101.86
201503,102.05
201504,101.62
201505,100.63
201506,100.37
201507,100.82
201508,100.03
201509,99.04
201510,99.24
201511,99.4
201512,99.47
201601,99.66
201602,97.75
201603,98.58
201604,97.67
201605,97.65
201606,98.22
201607,97.19
201608,97.02
201609,95.22
201610,94.6
201611,95.34
201612,96.53
201701,96.19
201702,94.88
201703,94.32
201704,94.6
201705,94.18
201706,93.33
201707,91.76
201708,90.07
201709,89.8
201710,89.89
201711,90.95
201712,91.44
201801,89.91
201802,86.87
201803,87.05
201804,87.67
201805,88.81
201806,88.56
201807,90.25
201808,91.57
201809,91.09
201810,91.91
201811,94.04
201812,93.03
201901,92.77
201902,92.71
201903,92.34
201904,93.45
201905,93.85
201906,94.29
201907,95.46
201908,94.42
201909,94.65
201910,95.47
201911,96.62
201912,96.77
202001,96.4
202002,97.2
202003,98.31
202004,100.49
202005,100.45
202006,100.35
202007,101.31
202008,101.28
202009,101.26
202010,101.0
202011,101.15
202012,100.81
202101,101.09
202102,100.48
202103,101.17
202104,101.31
202105,101.56
202106,101.27
202107,98.77
202108,99.1
202109,98.47
202110,97.76
202111,98.94
202112,99.35
202201,98.13
202202,97.32
202203,97.14
202204,99.12
202205,100.72
202206,99.26
202207,97.28
202208,97.78
202209,97.67
202210,98.47
202211,99.47
202212,99.98
202301,100.16
202302,101.04
202303,101.75
202304,99.63
202305,100.0
202306,101.18
202307,102.42
202308,101.87
202309,103.15
202310,103.71
202311,104.54
202312,103.53
202401,103.86
202402,104.44
202403,105.03
202404,104.09
202405,102.46
202406,101.33
202407,101.99
202408,101.82
202409,101.61
202410,100.5
202411,100.79
202412,102.57
202501,103.68
202502,102.99
202503,103.18
202504,102.77
202505,103.07
202506,100.84
202507,99.93
202508,100.42
202509,99.77
202510,98.56
202511,98.54
202512,98.6
202601,98.54
202602,99.02
202603,99.17
202604,99.9
202605,97.23
