DATES,CPI
31/01/1989,0.4219915
28/02/1989,0.4219915
31/03/1989,0.4219915
30/04/1989,0.4923234
31/05/1989,0.5626553000000001
30/06/1989,0.5626553000000001
31/07/1989,0.6329872
31/08/1989,0.8439829
30/09/1989,1.125311
31/10/1989,1.687966
30/11/1989,2.039625
31/12/1989,2.391285
31/01/1990,4.290246
28/02/1990,5.274893
31/03/1990,5.485889
30/04/1990,5.907881
31/05/1990,6.189208
30/06/1990,6.4002040000000004
31/07/1990,6.6112
31/08/1990,6.751863
30/09/1990,7.033191
31/10/1990,7.455183
30/11/1990,7.806842
31/12/1990,8.299166
31/01/1991,9.354144
28/02/1991,9.987131
31/03/1991,10.40912
30/04/1991,10.69045
31/05/1991,10.97178
30/06/1991,11.53443
31/07/1991,11.53443
31/08/1991,11.60477
30/09/1991,12.09709
31/10/1991,12.51908
30/11/1991,12.94107
31/12/1991,13.36306
31/01/1992,14.347710000000001
29/02/1992,14.62904
31/03/1992,14.91037
30/04/1992,15.473020000000002
31/05/1992,16.10601
30/06/1992,16.38733
31/07/1992,16.598329999999997
31/08/1992,17.02032
30/09/1992,17.934639999999998
31/10/1992,18.49729
30/11/1992,18.91928
31/12/1992,19.341279999999998
31/01/1993,20.114929999999998
28/02/1993,20.81825
31/03/1993,21.24024
30/04/1993,21.73256
31/05/1993,22.15455
30/06/1993,22.435879999999997
31/07/1993,22.71721
31/08/1993,23.209529999999997
30/09/1993,23.77219
31/10/1993,24.19418
30/11/1993,25.178829999999998
31/12/1993,26.585459999999998
31/01/1994,27.077790000000004
28/02/1994,27.359109999999998
31/03/1994,27.921770000000002
30/04/1994,28.695420000000002
31/05/1994,29.18774
30/06/1994,29.891059999999996
31/07/1994,30.31305
31/08/1994,30.80538
30/09/1994,32.21202
31/10/1994,33.126329999999996
30/11/1994,33.688990000000004
31/12/1994,34.32197
31/01/1995,35.728609999999996
28/02/1995,36.50226
31/03/1995,37.13525
30/04/1995,37.97923
31/05/1995,38.68255
30/06/1995,39.034209999999995
31/07/1995,38.68255
31/08/1995,38.82322
30/09/1995,40.01886
31/10/1995,40.72218
30/11/1995,41.28483
31/12/1995,41.91782
31/01/1996,43.324459999999995
29/02/1996,43.957440000000005
31/03/1996,44.59043
30/04/1996,45.57508
31/05/1996,46.20807
30/06/1996,46.700390000000006
31/07/1996,46.63006
31/08/1996,46.84105
30/09/1996,47.75537
31/10/1996,48.458690000000004
30/11/1996,49.09167
31/12/1996,49.72466
31/01/1997,51.1313
28/02/1997,51.69395
31/03/1997,52.11595
30/04/1997,52.60827
31/05/1997,52.8896
30/06/1997,53.66325
31/07/1997,53.52259
31/08/1997,53.59291999999999
30/09/1997,54.366569999999996
31/10/1997,54.929219999999994
30/11/1997,55.56221
31/12/1997,56.124869999999994
31/01/1998,57.88316
28/02/1998,58.86781
31/03/1998,59.219469999999994
30/04/1998,59.641459999999995
31/05/1998,59.85246
30/06/1998,60.06345
31/07/1998,59.85246
31/08/1998,59.5008
30/09/1998,59.99312
31/10/1998,60.34478000000001
30/11/1998,60.62611
31/12/1998,60.8371
31/01/1999,61.751419999999996
28/02/1999,62.103080000000006
31/03/1999,62.736059999999995
30/04/1999,63.228390000000005
31/05/1999,63.650380000000006
30/06/1999,63.79104
31/07/1999,63.58005
31/08/1999,63.931709999999995
30/09/1999,64.84602
31/10/1999,65.54934
30/11/1999,66.112
31/12/1999,66.67465
31/01/2000,67.87029
29/02/2000,68.43295
31/03/2000,69.06594
30/04/2000,69.34727
31/05/2000,69.83959
30/06/2000,70.33191
31/07/2000,70.82423
31/08/2000,70.61324
30/09/2000,71.31656
31/10/2000,71.87921
30/11/2000,72.16055
31/12/2000,72.30121
31/01/2001,72.86386
28/02/2001,72.9342
31/03/2001,73.28585
30/04/2001,73.84851
31/05/2001,74.69249
30/06/2001,74.62216
31/07/2001,74.41116
31/08/2001,74.20016
30/09/2001,74.41116
31/10/2001,74.69249
30/11/2001,74.76283000000001
31/12/2001,74.90349
31/01/2002,75.53648000000001
28/02/2002,75.6068
31/03/2002,75.74746999999999
30/04/2002,76.09913
31/05/2002,75.95846999999999
30/06/2002,75.67714000000001
31/07/2002,75.32548
31/08/2002,75.04415
30/09/2002,75.25514
31/10/2002,75.46614
30/11/2002,75.39581
31/12/2002,75.46614
31/01/2003,75.74746999999999
28/02/2003,75.8178
31/03/2003,76.02879
30/04/2003,76.16946
31/05/2003,76.16946
30/06/2003,76.09913
31/07/2003,75.8178
31/08/2003,75.53648000000001
30/09/2003,75.88813
31/10/2003,76.31013
30/11/2003,76.52112
31/12/2003,76.66178000000001
31/01/2004,76.94312
29/02/2004,77.01344
31/03/2004,77.22444
30/04/2004,77.85743000000001
31/05/2004,78.63108000000001
30/06/2004,79.3344
