DATES,Ryr
09/07/2026,5.355
08/07/2026,5.447
07/07/2026,5.357
06/07/2026,5.273
03/07/2026,5.246
02/07/2026,5.221
01/07/2026,5.272
30/06/2026,5.297
29/06/2026,5.325
26/06/2026,5.286
25/06/2026,5.336
24/06/2026,5.399
23/06/2026,5.416
22/06/2026,5.422
19/06/2026,5.451
18/06/2026,5.472
17/06/2026,5.422
16/06/2026,5.447
15/06/2026,5.472
12/06/2026,5.605
11/06/2026,5.695
10/06/2026,5.737
09/06/2026,5.740
08/06/2026,5.866
05/06/2026,5.802
04/06/2026,5.719
03/06/2026,5.719
02/06/2026,5.694
01/06/2026,5.737
29/05/2026,5.639
28/05/2026,5.789
27/05/2026,5.794
26/05/2026,5.782
25/05/2026,5.780
22/05/2026,5.878
21/05/2026,5.927
20/05/2026,5.940
19/05/2026,6.046
18/05/2026,6.036
15/05/2026,5.963
14/05/2026,5.784
13/05/2026,5.843
12/05/2026,5.760
11/05/2026,5.703
08/05/2026,5.601
07/05/2026,5.590
06/05/2026,5.598
05/05/2026,5.796
04/05/2026,5.779
01/05/2026,5.769
30/04/2026,5.779
29/04/2026,5.776
28/04/2026,5.717
27/04/2026,5.601
24/04/2026,5.616
23/04/2026,5.595
22/04/2026,5.522
21/04/2026,5.480
20/04/2026,5.401
17/04/2026,5.379
16/04/2026,5.534
15/04/2026,5.519
14/04/2026,5.528
13/04/2026,5.557
10/04/2026,5.535
09/04/2026,5.570
08/04/2026,5.518
07/04/2026,5.895
03/04/2026,5.744
02/04/2026,5.698
01/04/2026,5.723
31/03/2026,5.896
30/03/2026,5.946
27/03/2026,5.881
26/03/2026,5.724
25/03/2026,5.722
24/03/2026,5.823
23/03/2026,5.660
20/03/2026,5.849
19/03/2026,5.738
18/03/2026,5.664
17/03/2026,5.566
16/03/2026,5.702
13/03/2026,5.768
12/03/2026,5.638
11/03/2026,5.472
10/03/2026,5.358
09/03/2026,5.604
06/03/2026,5.579
05/03/2026,5.363
04/03/2026,5.214
03/03/2026,5.239
02/03/2026,5.044
27/02/2026,4.931
26/02/2026,4.919
25/02/2026,5.011
24/02/2026,4.959
23/02/2026,4.977
20/02/2026,4.989
19/02/2026,4.960
18/02/2026,4.935
17/02/2026,4.932
16/02/2026,4.943
13/02/2026,4.929
12/02/2026,4.995
11/02/2026,5.045
10/02/2026,5.033
09/02/2026,5.113
06/02/2026,5.069
05/02/2026,5.089
04/02/2026,5.080
03/02/2026,5.068
02/02/2026,5.101
30/01/2026,5.091
29/01/2026,5.087
28/01/2026,5.095
27/01/2026,5.109
26/01/2026,5.132
23/01/2026,5.123
22/01/2026,5.120
21/01/2026,5.148
20/01/2026,5.149
19/01/2026,5.133
16/01/2026,5.097
15/01/2026,5.091
14/01/2026,5.101
13/01/2026,5.091
12/01/2026,5.127
09/01/2026,5.115
08/01/2026,5.124
07/01/2026,5.120
06/01/2026,5.181
05/01/2026,5.157
02/01/2026,5.168
01/01/2026,5.194
31/12/2025,5.153
30/12/2025,5.176
29/12/2025,5.152
26/12/2025,5.200
25/12/2025,5.200
24/12/2025,5.200
23/12/2025,5.177
22/12/2025,5.195
19/12/2025,5.171
18/12/2025,5.239
17/12/2025,5.279
16/12/2025,5.295
15/12/2025,5.290
12/12/2025,5.300
11/12/2025,5.269
10/12/2025,5.269
09/12/2025,5.238
08/12/2025,5.224
05/12/2025,5.185
04/12/2025,5.169
03/12/2025,5.153
02/12/2025,5.182
01/12/2025,5.173
28/11/2025,5.150
27/11/2025,5.214
26/11/2025,5.248
25/11/2025,5.202
24/11/2025,5.268
21/11/2025,5.348
20/11/2025,5.351
19/11/2025,5.353
18/11/2025,5.304
17/11/2025,5.317
14/11/2025,5.320
13/11/2025,5.305
12/11/2025,5.368
11/11/2025,5.355
10/11/2025,5.353
07/11/2025,5.294
06/11/2025,5.266
05/11/2025,5.329
04/11/2025,5.325
03/11/2025,5.358
31/10/2025,5.314
30/10/2025,5.455
29/10/2025,5.374
28/10/2025,5.372
27/10/2025,5.379
24/10/2025,5.370
23/10/2025,5.384
22/10/2025,5.292
21/10/2025,5.371
20/10/2025,5.331
17/10/2025,5.448
16/10/2025,5.427
15/10/2025,5.462
14/10/2025,5.428
13/10/2025,5.440
10/10/2025,5.494
09/10/2025,5.491
08/10/2025,5.523
07/10/2025,5.527
06/10/2025,5.466
03/10/2025,5.539
02/10/2025,5.535
01/10/2025,5.494
30/09/2025,5.496
29/09/2025,5.504
26/09/2025,5.550
25/09/2025,5.557
24/09/2025,5.518
23/09/2025,5.495
22/09/2025,5.483
19/09/2025,5.491
18/09/2025,5.535
17/09/2025,5.516
16/09/2025,5.438
15/09/2025,5.320
12/09/2025,5.515
11/09/2025,5.468
10/09/2025,5.429
09/09/2025,5.423
08/09/2025,5.446
05/09/2025,5.394
04/09/2025,5.455
03/09/2025,5.455
02/09/2025,5.451
01/09/2025,5.570
29/08/2025,5.499
28/08/2025,5.485
27/08/2025,5.390
26/08/2025,5.456
25/08/2025,5.439
22/08/2025,5.348
21/08/2025,5.444
20/08/2025,5.353
19/08/2025,5.430
18/08/2025,5.437
15/08/2025,5.421
14/08/2025,5.395
13/08/2025,5.415
12/08/2025,5.384
11/08/2025,5.412
08/08/2025,5.355
07/08/2025,5.405
06/08/2025,5.482
05/08/2025,5.378
04/08/2025,5.383
01/08/2025,5.375
31/07/2025,5.440
30/07/2025,5.481
29/07/2025,5.442
28/07/2025,5.355
25/07/2025,5.499
24/07/2025,5.491
23/07/2025,5.386
22/07/2025,5.444
21/07/2025,5.403
18/07/2025,5.428
17/07/2025,5.412
16/07/2025,5.423
15/07/2025,5.400
14/07/2025,5.366
11/07/2025,5.337
10/07/2025,5.330
09/07/2025,5.333
08/07/2025,5.361
07/07/2025,5.359
04/07/2025,5.271
03/07/2025,5.324
02/07/2025,5.343
01/07/2025,5.421
30/06/2025,5.474
27/06/2025,5.451
26/06/2025,5.435
25/06/2025,5.452
24/06/2025,5.489
23/06/2025,5.596
20/06/2025,5.618
19/06/2025,5.602
18/06/2025,5.593
17/06/2025,5.604
16/06/2025,5.585
13/06/2025,5.571
12/06/2025,5.522
11/06/2025,5.562
10/06/2025,5.534
09/06/2025,5.648
06/06/2025,5.623
05/06/2025,5.528
04/06/2025,5.498
03/06/2025,5.461
02/06/2025,5.387
30/05/2025,5.360
29/05/2025,5.446
28/05/2025,5.581
27/05/2025,5.544
26/05/2025,5.566
23/05/2025,5.535
22/05/2025,5.501
21/05/2025,5.497
20/05/2025,5.510
19/05/2025,5.503
16/05/2025,5.435
15/05/2025,5.429
14/05/2025,5.461
13/05/2025,5.375
12/05/2025,5.430
09/05/2025,5.385
08/05/2025,5.283
07/05/2025,5.272
06/05/2025,5.241
05/05/2025,5.359
02/05/2025,5.214
30/04/2025,5.240
29/04/2025,5.222
28/04/2025,5.263
25/04/2025,5.271
24/04/2025,5.288
23/04/2025,5.258
22/04/2025,5.183
17/04/2025,5.184
16/04/2025,5.316
15/04/2025,5.250
14/04/2025,5.240
11/04/2025,5.268
10/04/2025,5.287
09/04/2025,5.377
08/04/2025,5.374
07/04/2025,5.314
04/04/2025,5.284
03/04/2025,5.405
02/04/2025,5.659
01/04/2025,5.687
31/03/2025,5.726
28/03/2025,5.792
27/03/2025,5.826
26/03/2025,5.843
25/03/2025,5.801
24/03/2025,5.831
21/03/2025,5.821
20/03/2025,5.806
19/03/2025,5.846
18/03/2025,5.818
17/03/2025,5.859
14/03/2025,5.895
13/03/2025,5.918
12/03/2025,5.980
11/03/2025,5.974
10/03/2025,5.977
07/03/2025,5.982
06/03/2025,5.966
05/03/2025,5.849
04/03/2025,5.789
03/03/2025,5.790
28/02/2025,5.777
27/02/2025,5.787
26/02/2025,5.804
25/02/2025,5.805
24/02/2025,5.864
21/02/2025,5.865
20/02/2025,5.858
19/02/2025,5.807
18/02/2025,5.896
17/02/2025,5.862
14/02/2025,5.733
13/02/2025,5.858
12/02/2025,6.034
11/02/2025,5.876
10/02/2025,5.800
07/02/2025,5.846
06/02/2025,5.744
05/02/2025,5.806
04/02/2025,5.869
03/02/2025,5.846
31/01/2025,5.820
30/01/2025,5.863
29/01/2025,5.940
28/01/2025,5.971
27/01/2025,5.966
24/01/2025,5.974
23/01/2025,5.969
22/01/2025,5.870
21/01/2025,5.943
20/01/2025,5.960
17/01/2025,5.918
16/01/2025,5.899
15/01/2025,6.010
14/01/2025,6.125
13/01/2025,6.030
10/01/2025,5.986
09/01/2025,5.990
08/01/2025,5.961
07/01/2025,6.010
03/01/2025,5.889
02/01/2025,5.864
30/12/2024,5.888
27/12/2024,5.852
23/12/2024,5.783
20/12/2024,5.792
19/12/2024,5.913
18/12/2024,5.778
17/12/2024,5.883
16/12/2024,5.884
13/12/2024,5.841
12/12/2024,5.724
11/12/2024,5.624
10/12/2024,5.652
09/12/2024,5.619
06/12/2024,5.627
05/12/2024,5.655
04/12/2024,5.607
03/12/2024,5.583
02/12/2024,5.612
29/11/2024,5.519
28/11/2024,5.556
27/11/2024,5.623
26/11/2024,5.609
25/11/2024,5.590
22/11/2024,5.599
21/11/2024,5.572
20/11/2024,5.574
19/11/2024,5.618
18/11/2024,5.683
15/11/2024,5.671
14/11/2024,5.711
13/11/2024,5.783
12/11/2024,5.828
08/11/2024,5.634
07/11/2024,5.678
06/11/2024,5.760
05/11/2024,5.669
04/11/2024,5.711
31/10/2024,5.906
30/10/2024,5.970
29/10/2024,5.839
28/10/2024,5.797
25/10/2024,5.829
24/10/2024,5.716
23/10/2024,5.807
22/10/2024,5.724
21/10/2024,5.642
18/10/2024,5.617
17/10/2024,5.596
16/10/2024,5.496
15/10/2024,5.539
14/10/2024,5.536
11/10/2024,5.497
10/10/2024,5.536
09/10/2024,5.403
08/10/2024,5.424
07/10/2024,5.514
04/10/2024,5.368
03/10/2024,5.283
02/10/2024,5.318
01/10/2024,5.228
30/09/2024,5.307
27/09/2024,5.217
26/09/2024,5.285
25/09/2024,5.376
24/09/2024,5.366
23/09/2024,5.418
20/09/2024,5.325
19/09/2024,5.365
18/09/2024,5.344
17/09/2024,5.249
16/09/2024,5.319
13/09/2024,5.224
12/09/2024,5.241
11/09/2024,5.194
10/09/2024,5.332
09/09/2024,5.333
06/09/2024,5.218
05/09/2024,5.298
04/09/2024,5.356
03/09/2024,5.464
02/09/2024,5.507
30/08/2024,5.492
29/08/2024,5.477
28/08/2024,5.447
27/08/2024,5.424
26/08/2024,5.281
23/08/2024,5.279
22/08/2024,5.402
21/08/2024,5.284
20/08/2024,5.341
19/08/2024,5.373
16/08/2024,5.274
14/08/2024,5.210
13/08/2024,5.118
12/08/2024,5.186
09/08/2024,5.198
08/08/2024,5.233
07/08/2024,5.227
06/08/2024,5.119
05/08/2024,5.117
02/08/2024,5.127
01/08/2024,5.289
31/07/2024,5.379
30/07/2024,5.513
29/07/2024,5.667
26/07/2024,5.591
25/07/2024,5.663
24/07/2024,5.610
23/07/2024,5.597
22/07/2024,5.599
19/07/2024,5.607
18/07/2024,5.653
17/07/2024,5.491
16/07/2024,5.583
15/07/2024,5.682
13/07/2024,5.655
12/07/2024,5.721
11/07/2024,5.747
10/07/2024,5.791
09/07/2024,5.765
08/07/2024,5.736
