DATES,STX
08/07/2026,3672.54
07/07/2026,3674.36
06/07/2026,3690.01
03/07/2026,3674.68
02/07/2026,3668.34
01/07/2026,3611.7
30/06/2026,3587.42
29/06/2026,3562.94
26/06/2026,3572.3
25/06/2026,3598.4
24/06/2026,3553.66
23/06/2026,3644.44
22/06/2026,3659.5
19/06/2026,3678.84
18/06/2026,3671.03
17/06/2026,3730.66
16/06/2026,3738.22
15/06/2026,3672.16
12/06/2026,3713.88
11/06/2026,3652.02
10/06/2026,3602.1
09/06/2026,3640.31
08/06/2026,3628.56
05/06/2026,3607.79
03/06/2026,3679.54
02/06/2026,3668.51
01/06/2026,3631.04
29/05/2026,3686.96
28/05/2026,3670.49
27/05/2026,3671.65
26/05/2026,3682.07
25/05/2026,3719.68
22/05/2026,3641.19
21/05/2026,3590.0
20/05/2026,3610.7
19/05/2026,3552.49
18/05/2026,3610.09
15/05/2026,3545.38
14/05/2026,3631.56
13/05/2026,3592.36
12/05/2026,3518.79
11/05/2026,3586.34
08/05/2026,3535.94
07/05/2026,3592.99
06/05/2026,3629.57
05/05/2026,3529.57
04/05/2026,3491.84
30/04/2026,3487.99
29/04/2026,3503.71
28/04/2026,3502.06
27/04/2026,3528.9
24/04/2026,3556.91
23/04/2026,3578.84
22/04/2026,3615.77
21/04/2026,3640.0
20/04/2026,3666.86
17/04/2026,3700.6
16/04/2026,3649.5
15/04/2026,3665.94
14/04/2026,3636.72
13/04/2026,3596.03
10/04/2026,3596.84
09/04/2026,3552.48
08/04/2026,3533.95
07/04/2026,3416.8
02/04/2026,3433.65
01/04/2026,3402.92
31/03/2026,3340.77
30/03/2026,3283.06
27/03/2026,3268.55
26/03/2026,3306.6
25/03/2026,3312.41
24/03/2026,3241.42
23/03/2026,3268.15
20/03/2026,3248.12
19/03/2026,3276.57
18/03/2026,3338.2
17/03/2026,3359.96
16/03/2026,3292.46
13/03/2026,3274.54
12/03/2026,3291.27
11/03/2026,3312.71
10/03/2026,3327.28
09/03/2026,3256.8
06/03/2026,3262.33
05/03/2026,3326.54
04/03/2026,3335.75
03/03/2026,3249.38
02/03/2026,3402.36
27/02/2026,3440.02
26/02/2026,3448.24
25/02/2026,3480.47
24/02/2026,3421.01
23/02/2026,3440.36
20/02/2026,3383.82
19/02/2026,3385.33
18/02/2026,3377.74
17/02/2026,3321.64
16/02/2026,3364.33
13/02/2026,3359.49
12/02/2026,3417.49
11/02/2026,3412.74
10/02/2026,3393.69
09/02/2026,3432.15
06/02/2026,3392.41
05/02/2026,3370.89
04/02/2026,3457.14
03/02/2026,3441.06
02/02/2026,3364.04
30/01/2026,3360.09
29/01/2026,3381.38
28/01/2026,3393.31
27/01/2026,3365.46
26/01/2026,3356.01
23/01/2026,3299.55
22/01/2026,3341.95
21/01/2026,3262.89
20/01/2026,3268.45
19/01/2026,3267.1
16/01/2026,3283.42
15/01/2026,3306.4
14/01/2026,3268.94
13/01/2026,3280.95
12/01/2026,3292.06
09/01/2026,3275.88
08/01/2026,3233.92
07/01/2026,3312.1
05/01/2026,3258.52
02/01/2026,3262.48
30/12/2025,3184.02
29/12/2025,3164.93
23/12/2025,3155.57
22/12/2025,3173.51
19/12/2025,3146.48
18/12/2025,3115.36
17/12/2025,3105.78
16/12/2025,3103.28
15/12/2025,3137.07
12/12/2025,3079.15
11/12/2025,3062.0
10/12/2025,3021.37
09/12/2025,3010.46
08/12/2025,2954.0
05/12/2025,2950.3
04/12/2025,2959.44
03/12/2025,2945.82
02/12/2025,2967.35
01/12/2025,3007.41
28/11/2025,3001.96
27/11/2025,2992.78
26/11/2025,3003.61
25/11/2025,2966.9
24/11/2025,2924.11
21/11/2025,2921.08
20/11/2025,2958.02
19/11/2025,2956.75
18/11/2025,2903.1
17/11/2025,2956.16
14/11/2025,2990.37
13/11/2025,3016.16
12/11/2025,3023.24
10/11/2025,3019.29
07/11/2025,2970.61
06/11/2025,3006.58
05/11/2025,2977.25
04/11/2025,2978.38
03/11/2025,3005.61
31/10/2025,2987.33
30/10/2025,3029.29
29/10/2025,3038.56
28/10/2025,3041.52
27/10/2025,2980.91
24/10/2025,2981.19
23/10/2025,2984.67
22/10/2025,2958.78
21/10/2025,2912.05
20/10/2025,2916.61
17/10/2025,2872.02
16/10/2025,2887.16
15/10/2025,2901.08
14/10/2025,2844.05
13/10/2025,2875.17
10/10/2025,2873.04
09/10/2025,2874.3
08/10/2025,2877.99
07/10/2025,2868.67
06/10/2025,2838.1
03/10/2025,2862.96
02/10/2025,2861.62
01/10/2025,2850.42
30/09/2025,2827.17
29/09/2025,2832.01
26/09/2025,2832.26
25/09/2025,2797.79
24/09/2025,2828.82
23/09/2025,2819.1
22/09/2025,2802.03
19/09/2025,2802.69
18/09/2025,2809.46
17/09/2025,2813.42
16/09/2025,2819.54
15/09/2025,2866.16
12/09/2025,2836.58
11/09/2025,2855.75
10/09/2025,2811.48
09/09/2025,2836.41
08/09/2025,2862.51
05/09/2025,2805.02
04/09/2025,2828.22
03/09/2025,2786.15
02/09/2025,2774.05
01/09/2025,2770.36
29/08/2025,2793.76
28/08/2025,2828.32
27/08/2025,2856.56
26/08/2025,2907.53
25/08/2025,2905.64
22/08/2025,2880.55
21/08/2025,3020.22
20/08/2025,2982.29
19/08/2025,2993.07
18/08/2025,2962.09
14/08/2025,2949.71
13/08/2025,2997.03
12/08/2025,3014.18
11/08/2025,2994.43
08/08/2025,3022.19
07/08/2025,2985.33
06/08/2025,2932.58
05/08/2025,2865.63
04/08/2025,2880.23
01/08/2025,2884.84
31/07/2025,2950.42
30/07/2025,2982.18
29/07/2025,2950.95
28/07/2025,2906.6
25/07/2025,2962.94
24/07/2025,2968.34
23/07/2025,2946.62
22/07/2025,2929.23
21/07/2025,2949.94
18/07/2025,2964.25
17/07/2025,2905.75
16/07/2025,2868.56
15/07/2025,2870.53
14/07/2025,2879.77
11/07/2025,2860.93
10/07/2025,2850.58
09/07/2025,2897.67
08/07/2025,2889.54
07/07/2025,2861.78
04/07/2025,2864.98
03/07/2025,2887.17
02/07/2025,2839.82
01/07/2025,2826.5
30/06/2025,2845.37
27/06/2025,2815.66
26/06/2025,2813.09
25/06/2025,2749.16
24/06/2025,2762.7
23/06/2025,2691.54
20/06/2025,2735.44
18/06/2025,2723.15
17/06/2025,2729.31
16/06/2025,2715.12
13/06/2025,2707.86
12/06/2025,2755.65
11/06/2025,2779.83
10/06/2025,2794.03
09/06/2025,2732.67
06/06/2025,2699.85
05/06/2025,2734.31
04/06/2025,2769.33
03/06/2025,2731.3
02/06/2025,2755.26
30/05/2025,2771.86
29/05/2025,2785.96
28/05/2025,2836.66
27/05/2025,2813.71
26/05/2025,2792.0
23/05/2025,2716.88
22/05/2025,2738.74
21/05/2025,2760.83
20/05/2025,2796.13
19/05/2025,2786.7
16/05/2025,2810.35
15/05/2025,2815.14
14/05/2025,2831.42
13/05/2025,2849.22
12/05/2025,2831.63
09/05/2025,2842.14
08/05/2025,2767.86
07/05/2025,2748.53
06/05/2025,2718.17
05/05/2025,2784.03
02/05/2025,2811.07
30/04/2025,2737.86
29/04/2025,2810.88
28/04/2025,2805.35
25/04/2025,2793.7
24/04/2025,2797.29
23/04/2025,2783.01
22/04/2025,2700.41
17/04/2025,2643.52
16/04/2025,2615.84
15/04/2025,2618.49
14/04/2025,2608.21
11/04/2025,2529.25
10/04/2025,2553.57
09/04/2025,2433.75
08/04/2025,2507.84
07/04/2025,2431.32
04/04/2025,2467.99
03/04/2025,2635.76
02/04/2025,2747.99
01/04/2025,2735.15
31/03/2025,2689.05
28/03/2025,2747.7
27/03/2025,2780.04
26/03/2025,2769.17
25/03/2025,2800.29
24/03/2025,2767.76
21/03/2025,2725.07
20/03/2025,2753.23
19/03/2025,2779.33
18/03/2025,2799.02
17/03/2025,2777.61
14/03/2025,2754.38
13/03/2025,2683.05
12/03/2025,2626.79
11/03/2025,2584.04
10/03/2025,2589.87
07/03/2025,2642.59
06/03/2025,2638.92
05/03/2025,2591.79
04/03/2025,2499.54
03/03/2025,2601.65
28/02/2025,2579.52
27/02/2025,2590.06
26/02/2025,2620.35
25/02/2025,2572.05
24/02/2025,2555.74
21/02/2025,2618.17
20/02/2025,2613.76
19/02/2025,2634.88
18/02/2025,2671.05
17/02/2025,2596.79
14/02/2025,2575.77
13/02/2025,2594.92
12/02/2025,2568.72
11/02/2025,2535.24
10/02/2025,2507.54
07/02/2025,2488.16
06/02/2025,2460.45
05/02/2025,2394.72
04/02/2025,2414.96
03/02/2025,2390.37
31/01/2025,2433.77
30/01/2025,2441.23
29/01/2025,2398.68
28/01/2025,2399.02
27/01/2025,2376.4
24/01/2025,2378.78
23/01/2025,2363.24
22/01/2025,2362.75
21/01/2025,2332.87
20/01/2025,2324.8
17/01/2025,2307.26
16/01/2025,2278.58
15/01/2025,2285.51
14/01/2025,2238.04
13/01/2025,2221.3
10/01/2025,2257.16
09/01/2025,2247.94
08/01/2025,2229.48
07/01/2025,2257.67
03/01/2025,2237.57
02/01/2025,2227.13
30/12/2024,2192.01
27/12/2024,2204.19
23/12/2024,2202.17
20/12/2024,2200.39
19/12/2024,2225.51
18/12/2024,2226.58
17/12/2024,2211.89
16/12/2024,2270.66
13/12/2024,2273.12
12/12/2024,2276.69
11/12/2024,2296.1
10/12/2024,2317.3
09/12/2024,2315.74
06/12/2024,2310.0
05/12/2024,2310.78
04/12/2024,2268.14
03/12/2024,2240.58
02/12/2024,2247.36
29/11/2024,2191.12
28/11/2024,2187.08
27/11/2024,2186.69
26/11/2024,2199.85
25/11/2024,2202.76
22/11/2024,2194.06
21/11/2024,2178.03
20/11/2024,2144.68
19/11/2024,2123.35
18/11/2024,2184.7
15/11/2024,2188.75
14/11/2024,2247.93
13/11/2024,2232.69
12/11/2024,2255.73
08/11/2024,2298.3
07/11/2024,2310.43
06/11/2024,2241.24
05/11/2024,2236.48
04/11/2024,2252.86
31/10/2024,2205.47
30/10/2024,2230.54
29/10/2024,2284.76
28/10/2024,2245.79
25/10/2024,2245.25
24/10/2024,2245.55
23/10/2024,2256.21
22/10/2024,2250.38
21/10/2024,2278.75
18/10/2024,2303.33
17/10/2024,2283.98
16/10/2024,2341.0
15/10/2024,2322.68
14/10/2024,2327.5
11/10/2024,2333.75
10/10/2024,2308.16
09/10/2024,2321.28
08/10/2024,2284.75
07/10/2024,2291.51
04/10/2024,2291.53
03/10/2024,2280.66
02/10/2024,2317.7
01/10/2024,2315.86
30/09/2024,2324.13
27/09/2024,2382.95
26/09/2024,2366.47
25/09/2024,2346.26
24/09/2024,2337.49
23/09/2024,2286.81
20/09/2024,2279.98
19/09/2024,2326.8
18/09/2024,2326.69
17/09/2024,2334.86
16/09/2024,2294.76
13/09/2024,2336.62
12/09/2024,2294.32
11/09/2024,2262.33
10/09/2024,2307.54
09/09/2024,2330.89
06/09/2024,2318.2
