DATES,CPI
31/01/1992,0.01043353
29/02/1992,0.01439827
31/03/1992,0.01870336
30/04/1992,0.02276199
31/05/1992,0.02547066
30/06/1992,0.03033556
31/07/1992,0.03355113
31/08/1992,0.03643652
30/09/1992,0.04062672
31/10/1992,0.04993024
30/11/1992,0.06296204
31/12/1992,0.07882847
31/01/1993,0.09916621
28/02/1993,0.1236603
31/03/1993,0.148516
30/04/1993,0.1762885
31/05/1993,0.2081967
30/06/1993,0.24962779999999998
31/07/1993,0.3055445
31/08/1993,0.384986
30/09/1993,0.4735328
31/10/1993,0.5658717
30/11/1993,0.6586747
31/12/1993,0.741009
31/01/1994,0.8736495999999999
28/02/1994,0.9681784999999999
31/03/1994,1.0399209999999999
30/04/1994,1.12821
31/05/1994,1.206169
30/06/1994,1.2785389999999999
31/07/1994,1.3466850000000001
31/08/1994,1.408902
30/09/1994,1.521051
31/10/1994,1.749208
30/11/1994,2.004768
31/12/1994,2.334352
31/01/1995,2.7491659999999998
28/02/1995,3.052124
31/03/1995,3.3249839999999997
30/04/1995,3.60661
31/05/1995,3.892614
30/06/1995,4.151862
31/07/1995,4.375233000000001
31/08/1995,4.574743
30/09/1995,4.778777
31/10/1995,5.004335
30/11/1995,5.232533
31/12/1995,5.399973999999999
31/01/1996,5.621912
29/02/1996,5.778764
31/03/1996,5.940569
30/04/1996,6.068886
31/05/1996,6.165988
30/06/1996,6.23813
31/07/1996,6.283044
31/08/1996,6.26985
30/09/1996,6.290541
31/10/1996,6.366027
30/11/1996,6.485708
31/12/1996,6.577806
31/01/1997,6.731725999999999
28/02/1997,6.835394
31/03/1997,6.933141
30/04/1997,6.999699000000001
31/05/1997,7.065496
30/06/1997,7.143217
31/07/1997,7.209649000000001
31/08/1997,7.199555
30/09/1997,7.177956
31/10/1997,7.1901589999999995
30/11/1997,7.234019
31/12/1997,7.303464999999999
31/01/1998,7.413748
28/02/1998,7.47973
31/03/1998,7.5276
30/04/1998,7.556205
31/05/1998,7.593986
30/06/1998,7.600061
31/07/1998,7.6129809999999996
31/08/1998,7.892378
30/09/1998,10.925419999999999
31/10/1998,11.42143
30/11/1998,12.06903
31/12/1998,13.470239999999999
31/01/1999,14.59905
28/02/1999,15.201989999999999
31/03/1999,15.626120000000002
30/04/1999,16.0996
31/05/1999,16.45701
30/06/1999,16.77134
31/07/1999,17.24429
31/08/1999,17.44432
