DATES,GDP
01/03/2011,18440083.5
01/06/2011,19714798.4
01/09/2011,20978424.1
01/12/2011,22617264.0
01/03/2012,19492308.1
01/06/2012,20672447.0
01/09/2012,21711575.0
01/12/2012,23163953.4
01/03/2013,19712530.6
01/06/2013,21028103.8
01/09/2013,22039092.5
01/12/2013,23753372.5
01/03/2014,28173674.6
01/06/2014,30467301.5
01/09/2014,31833920.6
01/12/2014,33938290.2
01/03/2015,27743682.5
01/06/2015,29526184.3
01/09/2015,31292771.0
01/12/2015,33396226.2
01/03/2016,27686568.1
01/06/2016,29621129.2
01/09/2016,31311265.6
01/12/2016,33576100.3
01/03/2017,28049401.0
01/06/2017,30314841.3
01/09/2017,32137396.9
01/12/2017,33925567.6
01/03/2018,28768439.5
01/06/2018,31142231.9
01/09/2018,32983895.0
01/12/2018,35024491.8
01/03/2019,29168260.4
01/06/2019,31565376.3
01/09/2019,33897148.1
01/12/2019,36100031.3
01/03/2020,29609467.1
01/06/2020,29255232.3
01/09/2020,32767887.0
01/12/2020,35629085.5
01/03/2021,29907688.0
01/06/2021,32596309.1
01/09/2021,34473963.4
01/12/2021,37749506.9
01/03/2022,30913053.7
01/06/2022,31386209.6
01/09/2022,33458054.5
01/12/2022,37036311.2
01/03/2023,30656214.9
01/06/2023,33063563.5
01/09/2023,35514598.3
01/12/2023,38959456.4
01/03/2024,32462099.0
01/06/2024,34682481.5
01/09/2024,36861828.2
01/12/2024,40988882.2
01/03/2025,32887153.0
01/06/2025,35042668.4
01/09/2025,37138301.0
01/12/2025,41378827.4
