DATES,rEER
199401,63.95
199402,61.46
199403,59.32
199404,62.58
199405,62.05
199406,62.44
199407,61.75
199408,61.47
199409,60.01
199410,52.23
199411,57.8
199412,63.26
199501,64.89
199502,63.75
199503,60.29
199504,59.75
199505,63.92
199506,72.27
199507,79.93
199508,87.79
199509,91.04
199510,93.02
199511,97.01
199512,99.75
199601,102.94
199602,103.9
199603,105.04
199604,106.14
199605,106.85
199606,106.43
199607,104.62
199608,100.83
199609,99.68
199610,100.17
199611,100.14
199612,101.61
199701,104.58
199702,107.67
199703,108.91
199704,109.36
199705,109.15
199706,110.5
199707,113.33
199708,114.81
199709,112.14
199710,110.76
199711,110.52
199712,114.68
199801,117.36
199802,116.1
199803,115.96
199804,114.92
199805,114.38
199806,114.99
199807,114.74
199808,107.55
199809,67.43
199810,63.2
199811,64.93
199812,59.23
199901,56.31
199902,59.73
199903,59.7
199904,58.72
199905,61.98
199906,64.64
199907,66.76
199908,65.29
199909,64.01
199910,63.31
199911,63.81
199912,63.71
200001,61.79
200002,62.42
200003,63.75
200004,64.59
200005,68.4
200006,68.39
200007,71.05
200008,73.39
200009,75.28
200010,77.45
200011,78.75
200012,77.63
200101,77.19
200102,79.19
200103,81.5
200104,83.37
200105,84.58
200106,86.83
200107,87.13
200108,84.58
200109,84.02
200110,84.97
200111,86.04
200112,86.16
200201,88.03
200202,88.85
200203,88.39
200204,87.86
200205,87.21
200206,85.16
200207,83.59
200208,84.32
200209,84.1
200210,84.82
200211,84.4
200212,84.5
200301,84.17
200302,85.11
200303,86.31
200304,87.47
200305,85.17
200306,86.76
200307,89.14
200308,89.76
200309,88.21
200310,87.86
200311,89.64
200312,88.85
200401,90.34
200402,91.81
200403,93.75
200404,94.78
200405,95.02
200406,94.54
200407,94.6
200408,94.88
200409,94.85
200410,94.6
200411,94.34
200412,95.15
200501,98.72
200502,99.69
200503,100.89
200504,102.6
200505,103.9
200506,105.14
200507,105.98
200508,104.65
200509,104.86
200510,106.21
200511,107.88
200512,107.77
200601,110.08
200602,113.07
200603,114.79
200604,114.3
200605,113.39
200606,115.52
200607,116.41
200608,116.05
200609,116.52
200610,116.96
200611,116.76
200612,116.45
200701,119.03
200702,120.21
200703,120.29
200704,119.82
200705,120.1
200706,121.21
200707,121.92
200708,121.85
200709,122.01
200710,123.29
200711,123.35
200712,124.48
200801,126.28
200802,126.16
200803,127.03
200804,128.38
200805,129.42
200806,130.39
200807,130.85
200808,131.06
200809,130.11
200810,133.22
200811,135.16
200812,128.98
200901,117.74
200902,109.77
200903,114.33
200904,116.65
200905,119.61
200906,121.56
200907,120.08
200908,117.74
200909,119.41
200910,122.95
200911,124.4
200912,121.52
201001,125.68
201002,127.72
201003,130.82
201004,132.96
201005,133.37
201006,132.9
201007,132.1
201008,132.16
201009,129.49
201010,126.26
201011,125.5
201012,129.57
201101,134.2
201102,136.72
201103,138.71
201104,137.54
201105,138.95
201106,138.66
201107,139.51
201108,134.23
201109,128.92
201110,127.71
201111,130.94
201112,130.32
201201,132.72
201202,136.87
201203,139.53
201204,139.13
201205,135.99
201206,131.28
201207,135.59
201208,136.35
201209,135.74
201210,136.69
201211,137.01
201212,138.61
201301,141.98
201302,142.55
201303,142.3
201304,140.26
201305,141.63
201306,136.95
201307,137.45
201308,135.01
201309,136.13
201310,136.93
201311,136.27
201312,135.41
201401,133.48
201402,127.9
201403,125.46
201404,127.77
201405,131.94
201406,135.21
201407,134.87
201408,130.86
201409,127.38
201410,120.53
201411,110.19
201412,93.23
201501,88.39
201502,90.98
201503,100.73
201504,114.3
201505,118.01
201506,109.72
201507,106.44
201508,93.57
201509,92.92
201510,98.29
201511,98.75
201512,91.96
201601,85.86
201602,84.66
201603,92.58
201604,96.28
201605,98.14
201606,99.82
201607,102.76
201608,100.73
201609,101.45
201610,106.22
201611,105.92
201612,112.39
201701,116.63
201702,118.44
201703,119.07
201704,121.73
201705,118.97
201706,116.59
201707,111.91
201708,109.52
201709,111.56
201710,112.74
201711,110.71
201712,110.84
201801,112.22
201802,110.33
201803,110.11
201804,103.69
201805,104.31
201806,105.35
201807,106.9
201808,102.39
201809,100.03
201810,103.71
201811,103.88
201812,102.91
201901,104.3
201902,106.05
201903,107.32
201904,108.64
201905,109.41
201906,110.12
201907,111.97
201908,108.58
201909,110.32
201910,110.55
201911,111.18
201912,112.68
202001,114.09
202002,111.63
202003,97.23
202004,99.18
202005,102.78
202006,105.93
202007,101.51
202008,96.52
202009,93.38
202010,91.47
202011,92.15
202012,94.14
202101,93.56
202102,93.84
202103,95.72
202104,93.97
202105,96.12
202106,98.79
202107,98.38
202108,98.86
202109,100.05
202110,103.42
202111,102.92
202112,102.78
202201,99.22
202202,96.85
202203,79.2
202204,108.06
202205,136.38
202206,150.18
202207,149.46
202208,143.56
202209,147.95
202210,146.58
202211,144.15
202212,130.12
202301,122.3
202302,116.28
202303,111.79
202304,104.03
202305,107.7
202306,103.97
202307,95.41
202308,91.47
202309,92.03
202310,92.9
202311,99.49
202312,98.36
202401,101.97
202402,99.25
202403,99.3
202404,99.31
202405,102.06
202406,106.37
202407,107.13
202408,103.36
202409,100.38
202410,97.01
202411,96.12
202412,96.7
202501,100.24
202502,108.26
202503,115.33
202504,117.32
202505,121.41
202506,122.34
202507,121.78
202508,119.54
202509,114.83
202510,118.75
202511,120.83
202512,122.77
202601,126.24
202602,125.57
202603,121.98
202604,126.17
202605,133.14
