"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.05.2017","6.936,37","6.987,65","6.987,65","6.921,85","143,94M","-0,73%"
"22.05.2017","6.987,65","6.990,53","6.998,13","6.972,61","160,68M","-0,04%"
"21.05.2017","6.990,53","6.938,10","7.009,93","6.937,55","158,83M","0,76%"
"18.05.2017","6.938,10","6.947,36","6.962,98","6.929,38","140,86M","-0,13%"
"17.05.2017","6.947,36","6.940,48","6.951,67","6.927,39","294,17M","0,10%"
"16.05.2017","6.940,48","6.891,99","6.948,30","6.881,53","242,45M","0,70%"
"15.05.2017","6.891,99","6.853,12","6.893,83","6.849,90","215,75M","0,57%"
"14.05.2017","6.853,12","6.882,51","6.883,90","6.848,09","168,76M","-0,43%"
"11.05.2017","6.882,51","6.930,32","6.932,11","6.869,05","174,38M","-0,69%"
"10.05.2017","6.930,32","6.918,82","6.935,72","6.907,76","167,61M","0,17%"
"09.05.2017","6.918,82","6.864,54","6.927,15","6.851,60","155,69M","0,79%"
"08.05.2017","6.864,54","6.857,15","6.873,08","6.827,26","128,50M","0,11%"
"07.05.2017","6.857,15","6.924,08","6.924,72","6.851,21","132,43M","-0,97%"
"04.05.2017","6.924,08","6.967,71","6.967,71","6.902,12","190,56M","-0,63%"
"03.05.2017","6.967,71","7.012,81","7.015,72","6.964,25","177,91M","-0,64%"
"02.05.2017","7.012,81","7.003,73","7.024,92","6.991,07","229,16M","0,13%"
"01.05.2017","7.003,73","7.013,47","7.035,93","6.999,31","210,13M","-0,14%"
"30.04.2017","7.013,47","6.945,74","7.013,47","6.945,74","216,12M","0,98%"
"27.04.2017","6.945,74","6.917,03","6.949,63","6.902,17","219,89M","0,42%"
"26.04.2017","6.917,03","6.915,89","6.937,03","6.905,95","175,92M","0,02%"
"25.04.2017","6.915,89","6.977,54","6.977,54","6.893,84","195,95M","-0,88%"
"24.04.2017","6.977,54","6.968,75","6.977,54","6.935,02","118,39M","0,13%"
"23.04.2017","6.968,75","6.899,00","7.017,08","6.899,78","192,61M","1,01%"
"20.04.2017","6.899,00","6.948,06","6.948,07","6.886,39","168,47M","-0,71%"
"19.04.2017","6.948,06","6.942,38","6.953,49","6.916,02","129,82M","0,08%"
"18.04.2017","6.942,38","7.011,73","7.022,44","6.937,38","178,84M","-0,99%"
