DATES,GDP
01/03/2010,667114.0
01/06/2010,680383.0
01/09/2010,679255.0
01/12/2010,741909.0
01/03/2011,745909.0
01/06/2011,768835.0
01/09/2011,780920.0
01/12/2011,798561.0
01/03/2012,819035.0
01/06/2012,822395.0
01/09/2012,820184.0
01/12/2012,810885.0
01/03/2013,819716.0
01/06/2013,837473.0
01/09/2013,855967.0
01/12/2013,855741.0
01/03/2014,874856.0
01/06/2014,872687.0
01/09/2014,877696.0
01/12/2014,879244.0
01/03/2015,905172.0
01/06/2015,920840.0
01/09/2015,920533.0
01/12/2015,921077.0
01/03/2016,932383.0
01/06/2016,931118.0
01/09/2016,930071.0
01/12/2016,936547.0
01/03/2017,932195.0
01/06/2017,937151.0
01/09/2017,947595.0
01/12/2017,957271.0
01/03/2018,959422.0
01/06/2018,971629.0
01/09/2018,975625.0
01/12/2018,989329.0
01/03/2019,990924.0
01/06/2019,989752.0
01/09/2019,984230.0
01/12/2019,995444.0
01/03/2020,973145.0
01/06/2020,923804.0
01/09/2020,947207.0
01/12/2020,965512.0
01/03/2021,980961.0
01/06/2021,990419.0
01/09/2021,1030507.0
01/12/2021,1056156.0
01/03/2022,1100384.0
01/06/2022,1129342.0
01/09/2022,1155685.0
01/12/2022,1159621.0
01/03/2023,1160053.0
01/06/2023,1155682.0
01/09/2023,1125440.0
01/12/2023,1128518.0
01/03/2024,1158246.0
01/06/2024,1170660.0
01/09/2024,1175111.0
01/12/2024,1186724.0
01/03/2025,1199300.0
01/06/2025,1220692.0
01/09/2025,1235192.0
01/12/2025,1251078.0
01/03/2026,1236279.0
