DATES,rEER
199401,102.75
199402,101.9
199403,100.79
199404,100.83
199405,99.78
199406,98.89
199407,96.77
199408,96.4
199409,95.53
199410,94.58
199411,94.97
199412,95.8
199501,98.87
199502,98.11
199503,94.93
199504,92.74
199505,92.98
199506,92.46
199507,92.79
199508,94.74
199509,95.66
199510,95.03
199511,95.08
199512,95.64
199601,96.46
199602,96.53
199603,96.5
199604,96.71
199605,96.8
199606,96.87
199607,96.6
199608,96.14
199609,96.29
199610,96.42
199611,95.35
199612,95.87
199701,96.84
199702,98.94
199703,99.36
199704,99.26
199705,98.31
199706,97.98
199707,98.99
199708,100.8
199709,100.5
199710,99.82
199711,100.28
199712,103.92
199801,107.47
199802,105.5
199803,104.88
199804,104.26
199805,104.3
199806,105.95
199807,105.89
199808,105.58
199809,102.98
199810,99.35
199811,99.3
199812,98.33
199901,98.08
199902,99.44
199903,100.79
199904,99.61
199905,101.26
199906,101.53
199907,101.56
199908,99.77
199909,98.99
199910,97.97
199911,98.6
199912,99.07
200001,98.99
200002,99.7
200003,99.36
200004,99.6
200005,101.77
200006,99.94
200007,100.28
200008,101.44
200009,102.21
200010,103.08
200011,103.23
200012,102.02
200101,101.1
200102,101.5
200103,103
200104,104.04
200105,103.67
200106,104.64
200107,104.72
200108,102.16
200109,101.35
200110,102.24
200111,102.86
200112,103.34
200201,104.33
200202,104.86
200203,103.87
200204,102.59
200205,100.44
200206,98.3
200207,96.67
200208,97.54
200209,97.45
200210,97.79
200211,96.47
200212,95.77
200301,93.55
200302,92.79
200303,92.49
200304,92.17
200305,89.39
200306,89.19
200307,90.67
200308,91.03
200309,89.93
200310,87.47
200311,87.4
200312,85.39
200401,83.66
200402,83.36
200403,84.14
200404,84.49
200405,85.17
200406,84.32
200407,84.37
200408,84.69
200409,84.16
200410,83.05
200411,80.99
200412,79.53
200501,79.97
200502,79.63
200503,78.53
200504,79.28
200505,79.7
200506,81.38
200507,82.28
200508,81.08
200509,80.81
200510,82.09
200511,83.43
200512,83.03
200601,81.65
200602,81.86
200603,81.9
200604,80.64
200605,78.53
200606,79.52
200607,79.67
200608,79.06
200609,79.52
200610,80.3
200611,79.56
200612,78.37
200701,79.76
200702,78.7
200703,78.09
200704,76.86
200705,76.46
200706,76.68
200707,76.39
200708,76.96
200709,76.54
200710,76.03
200711,75.36
200712,75.71
200801,75.84
200802,75.89
200803,74.67
200804,74.7
200805,74.84
200806,74.87
200807,75.2
200808,77.67
200809,79.85
200810,84.94
200811,87.93
200812,86.58
200901,87.49
200902,89.45
200903,89.9
200904,88.21
200905,85.76
200906,84.62
200907,84.81
200908,84.14
200909,83.46
200910,82.74
200911,82.37
200912,83.32
201001,83.83
201002,85.34
201003,85.38
201004,85.39
201005,88.37
201006,89.72
201007,88.56
201008,87.83
201009,86.99
201010,84.33
201011,85.04
201012,85.93
201101,86.07
201102,85.27
201103,84.27
201104,83.04
201105,82.87
201106,82.99
201107,83
201108,82.79
201109,84.68
201110,85.25
201111,85.71
201112,86.5
201201,86.36
201202,85.15
201203,85.53
201204,85.54
201205,86.89
201206,88.42
201207,88.82
201208,88.2
201209,87.05
201210,87.03
201211,87.66
201212,87.14
201301,88.44
201302,88.19
201303,89.08
201304,89.01
201305,89.33
201306,89.25
201307,90.19
201308,89.62
201309,89.19
201310,88.17
201311,88.93
201312,88.86
201401,89.67
201402,89.38
201403,88.97
201404,88.91
201405,88.65
201406,88.89
201407,89.07
201408,89.61
201409,90.66
201410,91.57
201411,93.16
201412,94.38
201501,96.34
201502,96.76
201503,98.17
201504,97.63
201505,96.89
201506,97.22
201507,98.21
201508,98.94
201509,99.27
201510,98.78
201511,100.55
201512,100.72
201601,104.46
201602,103.22
201603,102.04
201604,100.59
201605,100.95
201606,100.87
201607,101.64
201608,100.46
201609,100.35
201610,101.26
201611,102.7
201612,103.98
201701,103.42
201702,102.52
201703,102.15
201704,101.52
201705,100.65
201706,99.71
201707,99.04
201708,97.4
201709,96.55
201710,97.08
201711,96.52
201712,95.5
201801,97.29
201802,96.01
201803,96.04
201804,96.01
201805,97.41
201806,98.32
201807,99.52
201808,100.45
201809,100.16
201810,100.24
201811,100.28
201812,99.71
201901,98.18
201902,97.36
201903,97.23
201904,97.21
201905,97.98
201906,97.68
201907,97.73
201908,98.85
201909,99.2
201910,98.44
201911,97.75
201912,97.8
202001,97.16
202002,98.06
202003,99.35
202004,100.51
202005,100.26
202006,98.31
202007,103.4
202008,102.14
202009,101.34
202010,101.1
202011,100.04
202012,98.33
202101,97.66
202102,97.19
202103,98.11
202104,98.2
202105,97.27
202106,97.46
202107,98.44
202108,98.4
202109,98.2
202110,98.5
202111,98.68
202112,98.96
202201,98.48
202202,97.74
202203,98.26
202204,98.9
202205,100.89
202206,100.77
202207,102.35
202208,102.98
202209,105.21
202210,106.74
202211,105.03
202212,102.78
202301,101.12
202302,101.37
202303,101.71
202304,101.04
202305,101.63
202306,102.54
202307,102.05
202308,102.62
202309,103.38
202310,104.21
202311,103.6
202312,102.42
202401,102.95
202402,102.79
202403,102.5
202404,103.65
202405,103.36
202406,103.84
202407,103.17
202408,101.47
202409,100.59
202410,101.74
202411,103.88
202412,104.53
202501,105.54
202502,104.69
202503,103.63
202504,102.69
202505,101.94
202506,101.11
202507,100.61
202508,100.95
202509,100.32
202510,100.84
202511,101.43
202512,100.64
202601,100.56
202602,99.23
202603,100.37
202604,99.7
202605,99.68
