DATES,GDP
01/03/1993,570937.3
01/06/1993,574835.4
01/09/1993,582207.0
01/12/1993,587176.1
01/03/1994,586899.4
01/06/1994,592625.5
01/09/1994,599289.7
01/12/1994,610426.2
01/03/1995,611952.0
01/06/1995,613711.2
01/09/1995,617783.0
01/12/1995,619861.0
01/03/1996,631343.9
01/06/1996,638865.5
01/09/1996,646477.5
01/12/1996,652542.5
01/03/1997,655571.8
01/06/1997,659684.9
01/09/1997,660340.8
01/12/1997,660432.0
01/03/1998,662167.0
01/06/1998,663103.5
01/09/1998,661651.0
01/12/1998,662288.1
01/03/1999,668653.1
01/06/1999,673974.9
01/09/1999,681334.0
01/12/1999,688828.6
01/03/2000,696879.9
01/06/2000,703291.1
01/09/2000,710256.4
01/12/2000,716300.4
01/03/2001,720702.2
01/06/2001,724303.5
01/09/2001,726228.4
01/12/2001,731815.4
01/03/2002,739763.0
01/06/2002,749149.5
01/09/2002,757628.6
01/12/2002,763932.0
01/03/2003,768781.2
01/06/2003,772535.7
01/09/2003,776728.1
01/12/2003,781209.3
01/03/2004,793035.1
01/06/2004,804117.4
01/09/2004,817265.7
01/12/2004,825993.5
01/03/2005,834390.5
01/06/2005,849364.1
01/09/2005,860946.2
01/12/2005,866709.0
01/03/2006,881938.5
01/06/2006,894464.2
01/09/2006,906818.1
01/12/2006,919357.8
01/03/2007,934285.1
01/06/2007,941942.1
01/09/2007,952981.1
01/12/2007,966485.6
01/03/2008,970544.9
01/06/2008,982394.1
01/09/2008,984741.4
01/12/2008,979135.8
01/03/2009,963904.9
01/06/2009,960596.7
01/09/2009,962824.4
01/12/2009,969246.1
01/03/2010,980554.6
01/06/2010,988785.5
01/09/2010,997588.1
01/12/2010,1006873.5
01/03/2011,1016789.2
01/06/2011,1022479.8
01/09/2011,1026710.6
01/12/2011,1033734.2
01/03/2012,1039593.8
01/06/2012,1048271.7
01/09/2012,1052533.5
01/12/2012,1057553.5
01/03/2013,1065760.3
01/06/2013,1073512.5
01/09/2013,1078605.8
01/12/2013,1084412.5
01/03/2014,1082916.7
01/06/2014,1087190.7
01/09/2014,1092415.5
01/12/2014,1100595.2
01/03/2015,1108545.4
01/06/2015,1099186.4
01/09/2015,1104137.4
01/12/2015,1108923.4
01/03/2016,1111572.2
01/06/2016,1112641.7
01/09/2016,1112506.2
01/12/2016,1113450.8
01/03/2017,1118707.7
01/06/2017,1124808.1
01/09/2017,1126876.6
01/12/2017,1131309.2
01/03/2018,1137294.2
01/06/2018,1134466.2
01/09/2018,1148418.1
01/12/2018,1151604.9
01/03/2019,1141546.4
01/06/2019,1146708.6
01/09/2019,1147913.9
01/12/2019,1147498.2
01/03/2020,1147036.8
01/06/2020,953846.2
01/09/2020,1085060.9
01/12/2020,1114960.5
01/03/2021,1121207.8
01/06/2021,1136768.6
01/09/2021,1117010.0
01/12/2021,1134883.9
01/03/2022,1152147.1
01/06/2022,1141637.0
01/09/2022,1162811.0
01/12/2022,1146094.5
01/03/2023,1154024.4
01/06/2023,1163383.4
01/09/2023,1158936.1
01/12/2023,1163448.0
01/03/2024,1164447.9
01/06/2024,1167433.1
01/09/2024,1164042.3
01/12/2024,1168684.4
01/03/2025,1169274.0
01/06/2025,1178624.5
01/09/2025,1182149.3
01/12/2025,1186552.8
01/03/2026,1193022.7
