DATES,STX
01/01/1997,497.9476857655571
01/02/1997,522.0197444050053
01/03/1997,527.7978958464328
01/04/1997,522.261333258105
01/05/1997,529.6633977421719
01/06/1997,538.2694102851442
01/07/1997,547.958394814718
01/08/1997,557.5278564380213
01/09/1997,541.8805278788436
01/10/1997,523.4042483435958
01/11/1997,492.9520642332674
01/12/1997,465.2685247086112
01/01/1998,467.01341382355474
01/02/1998,514.6779863113362
01/03/1998,546.9956723174038
01/04/1998,598.1500230350721
01/05/1998,615.7238864634036
01/06/1998,548.2599267667069
01/07/1998,540.6162734295403
01/08/1998,462.1990747539668
01/09/1998,377.5830330702148
01/10/1998,407.7939916189521
01/11/1998,447.2739697135289
01/12/1998,402.7391535707897
01/01/1999,435.53856411702276
01/02/1999,452.0883087831169
01/03/1999,489.3416732225848
01/04/1999,515.6407088086505
01/05/1999,520.2748552900619
01/06/1999,531.8300682983916
01/07/1999,546.514674360255
01/08/1999,546.0928929189789
01/09/1999,515.820901396827
01/10/1999,541.0380548708166
01/11/1999,560.1155818525003
01/12/1999,607.9000405380605
01/01/2000,604.1595911673635
01/02/2000,581.1134677476946
01/03/2000,545.733597617151
01/04/2000,508.9405235188519
01/05/2000,508.04718969964597
01/06/2000,527.4484094153323
01/07/2000,541.9902419143866
01/08/2000,564.6418307559107
01/09/2000,578.3905978920832
01/10/2000,559.0798377619935
01/11/2000,565.5199063317631
01/12/2000,562.5543577485269
01/01/2001,598.7654388503364
01/02/2001,636.0831058867948
01/03/2001,600.6156825027218
01/04/2001,594.8549690536986
01/05/2001,639.587779068527
01/06/2001,640.6300624061852
01/07/2001,608.0791432517119
01/08/2001,607.504779376899
01/09/2001,564.3842570764407
01/10/2001,589.8589842299003
01/11/2001,631.6494963180314
01/12/2001,714.6979351429491
01/01/2002,740.7114236033963
01/02/2002,758.6783684438386
01/03/2002,777.8205613140212
01/04/2002,791.4087536034718
01/05/2002,799.7680912122266
01/06/2002,767.0039199423104
01/07/2002,706.6804548436179
01/08/2002,661.5309494686312
01/09/2002,674.1702243380876
01/10/2002,665.8508487952589
01/11/2002,675.3113229660362
01/12/2002,655.2787026087151
01/01/2003,652.1772830013296
01/02/2003,604.0237201432142
01/03/2003,562.4337449677313
01/04/2003,543.292641972074
01/05/2003,563.6129892040641
01/06/2003,608.5797589503153
01/07/2003,605.5644394304254
01/08/2003,634.0733772622127
01/09/2003,654.0253469046646
01/10/2003,665.7611157926791
01/11/2003,683.2873880334075
01/12/2003,702.9447282625302
01/01/2004,757.2909581731809
01/02/2004,760.7614819531216
01/03/2004,759.356996981568
01/04/2004,754.3246830069278
01/05/2004,713.2411361941831
01/06/2004,715.7892628342441
01/07/2004,707.3271137286064
01/08/2004,750.0701761518158
01/09/2004,798.0068539794042
01/10/2004,828.048881976726
01/11/2004,855.8359595812818
01/12/2004,870.8991153949195
01/01/2005,888.2397456748449
01/02/2005,923.3787535353058
01/03/2005,943.9148959232975
01/04/2005,912.0673091291262
01/05/2005,927.4897602445917
01/06/2005,991.3433289306058
01/07/2005,1033.4128488972037
01/08/2005,1088.578664450851
01/09/2005,1134.3831844155197
01/10/2005,1132.1082529897908
01/11/2005,1198.9201044288727
01/12/2005,1236.7006048470587
01/01/2006,1314.6142814919617
01/02/2006,1360.9946184974767
01/03/2006,1378.421348864898
01/04/2006,1464.4178982806475
01/05/2006,1471.2939166605215
01/06/2006,1402.7865837516415
01/07/2006,1462.6777319553134
01/08/2006,1489.7320505873854
01/09/2006,1534.19202867939
01/10/2006,1611.3831185140446
01/11/2006,1663.6883767303889
01/12/2006,1700.8425625880582
01/01/2007,1752.4608365619795
01/02/2007,1834.5254819820946
