DATES,rEER
199401,175.05
199402,171.48
199403,169.97
199404,164.51
199405,160.91
199406,160.35
199407,157.73
199408,162.33
199409,164.23
199410,163.44
199411,165.26
199412,166.22
199501,167.1
199502,164.98
199503,159.3
199504,157.13
199505,156.18
199506,155.08
199507,157.08
199508,161.52
199509,162.24
199510,161.0
199511,161.98
199512,163.69
199601,167.91
199602,162.69
199603,156.36
199604,146.92
199605,142.93
199606,144.94
199607,144.1
199608,139.58
199609,142.06
199610,141.32
199611,137.97
199612,139.81
199701,144.89
199702,155.27
199703,158.0
199704,158.99
199705,157.17
199706,156.25
199707,157.96
199708,156.94
199709,156.27
199710,155.39
199711,150.94
199712,155.45
199801,157.94
199802,156.5
199803,155.81
199804,153.43
199805,152.54
199806,146.63
199807,129.72
199808,129.91
199809,132.6
199810,135.87
199811,140.42
199812,133.71
199901,133.12
199902,133.11
199903,133.08
199904,135.12
199905,134.05
199906,138.03
199907,138.11
199908,134.68
199909,136.03
199910,133.92
199911,134.92
199912,135.76
200001,137.53
200002,134.81
200003,133.41
200004,132.56
200005,128.78
200006,128.82
200007,131.55
200008,132.49
200009,131.05
200010,127.19
200011,124.43
200012,123.11
200101,120.94
200102,121.65
200103,122.81
200104,121.43
200105,123.91
200106,124.67
200107,122.54
200108,117.77
200109,112.38
200110,105.3
200111,101.8
200112,85.69
200201,88.01
200202,90.5
200203,90.3
200204,94.44
200205,101.91
200206,100.09
200207,100.03
200208,96.58
200209,97.31
200210,101.97
200211,107.77
200212,115.31
200301,116.73
200302,121.31
200303,125.73
200304,131.86
200305,126.76
200306,122.38
200307,129.84
200308,134.29
200309,133.42
200310,135.23
200311,138.77
200312,140.01
200401,129.29
200402,132.95
200403,138.24
200404,140.15
200405,136.96
200406,143.45
200407,150.33
200408,143.11
200409,140.48
200410,141.97
200411,146.85
200412,151.42
200501,147.17
200502,145.89
200503,145.6
200504,144.62
200505,141.21
200506,135.14
200507,138.52
200508,141.88
200509,144.23
200510,141.11
200511,141.47
200512,147.29
200601,152.1
200602,152.26
200603,149.17
200604,151.45
200605,142.23
200606,131.22
200607,130.53
200608,132.95
200609,124.97
200610,122.2
200611,126.69
200612,128.8
200701,128.73
200702,127.88
200703,124.24
200704,128.05
200705,129.95
200706,128.51
200707,131.27
200708,127.49
200709,128.25
200710,133.36
200711,131.88
200712,131.0
200801,128.7
200802,117.15
200803,110.49
200804,112.44
200805,115.97
200806,112.47
200807,117.33
200808,121.17
200809,118.34
200810,102.54
200811,102.3
200812,101.71
200901,103.98
200902,105.93
200903,108.06
200904,118.1
200905,123.93
200906,127.65
200907,130.08
200908,128.5
200909,135.13
200910,134.0
200911,132.35
200912,134.09
201001,135.88
201002,134.87
201003,140.37
201004,141.22
201005,140.25
201006,141.86
201007,141.49
201008,144.29
201009,145.74
201010,145.2
201011,144.86
201012,149.93
201101,146.84
201102,139.98
201103,144.72
201104,146.69
201105,144.02
201106,145.67
201107,146.64
201108,140.24
201109,134.72
201110,129.0
201111,126.96
201112,128.17
201201,131.76
201202,136.11
201203,138.62
201204,134.95
201205,131.5
201206,130.62
201207,133.4
201208,132.11
201209,130.28
201210,124.87
201211,123.75
201212,125.34
201301,123.22
201302,123.04
201303,121.9
201304,123.25
201305,119.92
201306,112.14
201307,115.39
201308,113.02
201309,113.73
201310,113.26
201311,111.25
201312,109.14
201401,105.45
201402,105.06
201403,108.2
201404,110.26
201405,111.7
201406,109.86
201407,110.71
201408,111.97
201409,110.29
201410,110.5
201411,112.04
201412,109.67
201501,111.66
201502,112.68
201503,111.58
201504,112.72
201505,111.62
201506,109.32
201507,110.33
201508,107.1
201509,101.51
201510,102.25
201511,99.8
201512,94.13
201601,88.63
201602,91.44
201603,92.92
201604,97.48
201605,93.34
201606,95.54
201607,101.9
201608,105.55
201609,103.48
201610,105.96
201611,108.26
201612,110.69
201701,113.44
201702,116.61
201703,119.46
201704,113.79
201705,114.41
201706,116.8
201707,113.89
201708,111.3
201709,111.14
201710,107.96
201711,105.27
201712,112.57
201801,118.59
201802,121.6
201803,121.72
201804,120.31
201805,118.79
201806,113.67
201807,115.17
201808,110.35
201809,105.3
201810,108.46
201811,112.46
201812,110.77
201901,112.85
201902,113.57
201903,109.93
201904,112.29
201905,111.31
201906,109.88
201907,114.52
201908,107.67
201909,110.41
201910,108.91
201911,109.57
201912,112.02
202001,111.92
202002,109.34
202003,100.18
202004,91.14
202005,92.44
202006,96.59
202007,98.53
202008,94.52
202009,97.07
202010,98.71
202011,103.47
202012,106.08
202101,104.07
202102,106.73
202103,107.24
202104,111.92
202105,113.24
202106,114.63
202107,112.24
202108,110.6
202109,111.94
202110,110.12
202111,106.06
202112,104.76
202201,106.58
202202,107.93
202203,111.54
202204,112.15
202205,108.79
202206,110.31
202207,106.62
202208,107.82
202209,104.62
202210,102.61
202211,104.51
202212,103.4
202301,102.0
202302,98.33
202303,97.52
202304,97.05
202305,93.71
202306,96.13
202307,98.88
202308,96.84
202309,97.42
202310,98.51
202311,99.87
202312,98.05
202401,97.54
202402,97.34
202403,98.76
202404,99.61
202405,101.71
202406,102.04
202407,102.68
202408,102.25
202409,103.73
202410,104.83
202411,104.9
202412,104.05
202501,102.22
202502,103.39
202503,103.26
202504,98.54
202505,101.99
202506,102.55
202507,103.13
202508,103.47
202509,104.61
202510,106.08
202511,106.79
202512,108.44
202601,111.76
202602,112.56
202603,109.29
202604,110.37
202605,110.86
