"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"29.09.2009","1.690,05","1.695,94","1.696,71","1.680,69","343,69M","0,87%"
"28.09.2009","1.675,55","1.678,57","1.685,34","1.668,97","351,38M","-0,94%"
"25.09.2009","1.691,48","1.686,41","1.691,71","1.662,52","391,94M","-0,14%"
"24.09.2009","1.693,88","1.706,19","1.715,55","1.680,96","421,17M","-1,03%"
"23.09.2009","1.711,47","1.723,03","1.723,17","1.705,98","503,23M","-0,43%"
"22.09.2009","1.718,88","1.701,96","1.720,73","1.701,57","448,39M","1,38%"
"21.09.2009","1.695,50","1.700,56","1.709,34","1.691,92","517,26M","-0,25%"
"18.09.2009","1.699,71","1.695,17","1.713,22","1.691,64","500,10M","0,25%"
"17.09.2009","1.695,47","1.700,19","1.704,88","1.682,04","527,87M","0,72%"
"16.09.2009","1.683,33","1.660,43","1.693,84","1.660,43","568,41M","1,81%"
"15.09.2009","1.653,40","1.646,29","1.654,92","1.640,87","550,45M","1,13%"
"14.09.2009","1.634,91","1.653,17","1.653,59","1.628,96","432,40M","-1,02%"
"11.09.2009","1.651,70","1.644,31","1.653,77","1.639,83","514,66M","0,43%"
"10.09.2009","1.644,68","1.615,71","1.644,68","1.613,76","581,05M","2,30%"
"09.09.2009","1.607,77","1.622,25","1.622,81","1.602,69","518,37M","-0,74%"
"08.09.2009","1.619,69","1.616,48","1.622,73","1.610,91","523,93M","0,69%"
"07.09.2009","1.608,57","1.618,79","1.619,98","1.601,04","411,22M","-0,02%"
"04.09.2009","1.608,90","1.623,07","1.623,07","1.597,20","594,78M","-0,29%"
"03.09.2009","1.613,53","1.614,53","1.620,06","1.605,96","493,29M","0,02%"
"02.09.2009","1.613,16","1.598,66","1.622,82","1.592,48","561,69M","-0,61%"
"01.09.2009","1.623,06","1.592,29","1.624,34","1.583,11","444,45M","1,96%"
"31.08.2009","1.591,85","1.607,61","1.611,65","1.580,28","443,61M","-1,00%"
"28.08.2009","1.607,94","1.612,93","1.616,29","1.599,68","455,46M","0,54%"
"27.08.2009","1.599,33","1.608,83","1.614,07","1.590,98","426,33M","-0,92%"
"26.08.2009","1.614,12","1.607,70","1.615,05","1.602,40","451,62M","0,80%"
"25.08.2009","1.601,38","1.603,03","1.610,33","1.596,00","461,07M","-0,67%"
"24.08.2009","1.612,22","1.604,31","1.614,05","1.602,34","541,26M","1,98%"
"21.08.2009","1.580,98","1.582,61","1.590,15","1.564,45","514,68M","0,29%"
"20.08.2009","1.576,39","1.559,99","1.577,08","1.544,50","454,92M","1,97%"
"19.08.2009","1.545,96","1.555,03","1.564,90","1.545,93","521,62M","-0,28%"
"18.08.2009","1.550,24","1.534,22","1.560,73","1.530,65","598,31M","0,21%"
"17.08.2009","1.547,06","1.588,73","1.588,73","1.541,74","594,93M","-2,79%"
"14.08.2009","1.591,41","1.582,21","1.594,46","1.579,17","606,50M","1,71%"
"13.08.2009","1.564,64","1.578,95","1.581,34","1.564,64","562,76M","-0,05%"
"12.08.2009","1.565,35","1.571,74","1.571,74","1.552,51","510,51M","-0,88%"
"11.08.2009","1.579,21","1.572,33","1.580,44","1.570,51","573,99M","0,20%"
"10.08.2009","1.576,11","1.585,35","1.588,15","1.573,22","490,58M","0,01%"
"07.08.2009","1.576,00","1.563,13","1.576,80","1.559,18","477,56M","0,70%"
"06.08.2009","1.565,04","1.555,64","1.572,17","1.546,50","492,25M","0,36%"
"05.08.2009","1.559,47","1.571,71","1.575,03","1.557,79","494,91M","-0,44%"
"04.08.2009","1.566,37","1.576,95","1.586,12","1.558,47","589,85M","0,09%"
"03.08.2009","1.564,98","1.561,94","1.570,01","1.554,77","490,19M","0,49%"
"31.07.2009","1.557,29","1.543,05","1.559,07","1.536,86","466,53M","1,47%"
"30.07.2009","1.534,74","1.524,56","1.535,36","1.511,13","431,27M","0,68%"
"29.07.2009","1.524,32","1.524,08","1.529,80","1.516,03","486,41M","-0,11%"
"28.07.2009","1.526,03","1.521,49","1.528,55","1.518,50","431,43M","0,13%"
"27.07.2009","1.524,05","1.510,75","1.529,26","1.505,85","504,08M","1,43%"
"24.07.2009","1.502,59","1.508,32","1.510,82","1.496,89","533,01M","0,41%"
"23.07.2009","1.496,49","1.495,39","1.504,70","1.484,83","642,85M","0,16%"
"22.07.2009","1.494,04","1.492,37","1.496,49","1.485,04","506,89M","0,34%"
"21.07.2009","1.488,99","1.489,45","1.496,87","1.480,64","514,66M","0,71%"
"20.07.2009","1.478,51","1.447,85","1.480,49","1.447,11","505,04M","2,67%"
"17.07.2009","1.440,10","1.443,49","1.445,60","1.432,80","403,68M","0,55%"
"16.07.2009","1.432,22","1.438,02","1.442,10","1.426,51","423,96M","0,80%"
"15.07.2009","1.420,86","1.402,76","1.422,41","1.402,28","398,40M","2,55%"
"14.07.2009","1.385,56","1.400,53","1.402,00","1.377,60","426,81M","0,54%"
"13.07.2009","1.378,12","1.426,31","1.426,31","1.378,12","446,68M","-3,53%"
"10.07.2009","1.428,62","1.435,52","1.436,50","1.415,99","456,47M","-0,16%"
"09.07.2009","1.430,89","1.428,74","1.443,81","1.426,41","437,28M","-0,01%"
"08.07.2009","1.431,02","1.424,92","1.431,02","1.412,68","435,42M","-0,22%"
"07.07.2009","1.434,20","1.434,47","1.439,57","1.426,95","456,76M","0,37%"
"06.07.2009","1.428,94","1.419,17","1.434,31","1.416,20","384,60M","0,63%"
"03.07.2009","1.420,04","1.389,93","1.420,04","1.389,39","398,64M","0,61%"
"02.07.2009","1.411,48","1.419,15","1.419,15","1.403,18","464,12M","-0,01%"
