DATES,GDP
01/03/1960,7530100.0
01/06/1960,7878400.0
01/09/1960,7788800.0
01/12/1960,7834300.0
01/03/1961,8081800.0
01/06/1961,8431400.0
01/09/1961,8279500.0
01/12/1961,8386200.0
01/03/1962,8551100.0
01/06/1962,8387500.0
01/09/1962,8640800.0
01/12/1962,8900800.0
01/03/1963,9407900.0
01/06/1963,9176400.0
01/09/1963,9492500.0
01/12/1963,9509900.0
01/03/1964,10057100.0
01/06/1964,9762300.0
01/09/1964,10436900.0
01/12/1964,10873600.0
01/03/1965,10988000.0
01/06/1965,11002300.0
01/09/1965,10936000.0
01/12/1965,11211800.0
01/03/1966,11868100.0
01/06/1966,12604900.0
01/09/1966,12400500.0
01/12/1966,12564700.0
01/03/1967,12971700.0
01/06/1967,13256500.0
01/09/1967,13823000.0
01/12/1967,13911300.0
01/03/1968,14750800.0
01/06/1968,15011800.0
01/09/1968,15831900.0
01/12/1968,15503500.0
01/03/1969,16266500.0
01/06/1969,16883400.0
01/09/1969,18296300.0
01/12/1969,18566200.0
01/03/1970,18254500.0
01/06/1970,19063700.0
01/09/1970,19213800.0
01/12/1970,20598700.0
01/03/1971,20739900.0
01/06/1971,21485500.0
01/09/1971,21525400.0
01/12/1971,21595400.0
01/03/1972,22003900.0
01/06/1972,22679300.0
01/09/1972,23012100.0
01/12/1972,23912600.0
01/03/1973,24863100.0
01/06/1973,25899400.0
01/09/1973,27124300.0
01/12/1973,27439200.0
01/03/1974,28845800.0
01/06/1974,28663400.0
01/09/1974,29042400.0
01/12/1974,28937100.0
01/03/1975,29533300.0
01/06/1975,30780000.0
01/09/1975,31660500.0
01/12/1975,32674900.0
01/03/1976,33709800.0
01/06/1976,35174800.0
01/09/1976,35942900.0
01/12/1976,36353600.0
01/03/1977,36753800.0
01/06/1977,38566500.0
01/09/1977,40925700.0
01/12/1977,42409500.0
01/03/1978,42149400.0
01/06/1978,43433800.0
01/09/1978,44285500.0
01/12/1978,46349200.0
01/03/1979,48541200.0
01/06/1979,48849100.0
01/09/1979,47467000.0
01/12/1979,46756500.0
01/03/1980,47272000.0
01/06/1980,46962700.0
01/09/1980,47827000.0
01/12/1980,46631400.0
01/03/1981,48571000.0
01/06/1981,49711800.0
01/09/1981,51715600.0
01/12/1981,52665200.0
01/03/1982,53051200.0
01/06/1982,54194600.0
01/09/1982,55298900.0
01/12/1982,57281000.0
01/03/1983,59706700.0
01/06/1983,61414500.0
01/09/1983,63773500.0
01/12/1983,64534400.0
01/03/1984,67142500.0
01/06/1984,68657000.0
01/09/1984,69809800.0
01/12/1984,70350700.0
01/03/1985,72078900.0
01/06/1985,73807700.0
01/09/1985,74802200.0
01/12/1985,77179100.0
01/03/1986,78418900.0
01/06/1986,81654700.0
01/09/1986,85381500.0
01/12/1986,86676500.0
01/03/1987,89176800.0
01/06/1987,93998400.0
01/09/1987,95056000.0
01/12/1987,96719500.0
01/03/1988,104030400.0
01/06/1988,102150400.0
01/09/1988,105616600.0
01/12/1988,108646800.0
01/03/1989,108617400.0
01/06/1989,110439300.0
01/09/1989,113588100.0
01/12/1989,117924200.0
01/03/1990,119159600.0
01/06/1990,121845800.0
01/09/1990,126163700.0
01/12/1990,128569200.0
01/03/1991,133273100.0
01/06/1991,135544500.0
01/09/1991,138631000.0
01/12/1991,142201000.0
01/03/1992,144661600.0
01/06/1992,145750700.0
01/09/1992,145926100.0
01/12/1992,148222700.0
01/03/1993,151302000.0
01/06/1993,155120800.0
01/09/1993,157958300.0
01/12/1993,161068400.0
01/03/1994,165850700.0
01/06/1994,168612400.0
01/09/1994,171330800.0
01/12/1994,178271700.0
01/03/1995,182209400.0
01/06/1995,185683600.0
01/09/1995,189589100.0
01/12/1995,193183400.0
01/03/1996,197063400.0
01/06/1996,200858600.0
01/09/1996,204565900.0
01/12/1996,208158900.0
01/03/1997,209163500.0
01/06/1997,216503800.0
01/09/1997,218621300.0
01/12/1997,217284700.0
01/03/1998,202695900.0
01/06/1998,201114300.0
01/09/1998,205049800.0
01/12/1998,210160900.0
01/03/1999,216688000.0
01/06/1999,226088500.0
01/09/1999,232582600.0
01/12/1999,238809500.0
01/03/2000,243573100.0
01/06/2000,247325900.0
01/09/2000,254117200.0
01/12/2000,253273000.0
01/03/2001,255820800.0
01/06/2001,259678300.0
01/09/2001,262985600.0
01/12/2001,266982900.0
01/03/2002,274419900.0
01/06/2002,279643700.0
01/09/2002,284837500.0
01/12/2002,287527500.0
01/03/2003,285982500.0
01/06/2003,286171600.0
01/09/2003,290747700.0
01/12/2003,298161400.0
01/03/2004,302404300.0
01/06/2004,304926100.0
01/09/2004,305706200.0
01/12/2004,308211900.0
01/03/2005,311097100.0
01/06/2005,316930100.0
01/09/2005,321379300.0
01/12/2005,325066900.0
01/03/2006,330234400.0
01/06/2006,332617800.0
01/09/2006,337830800.0
01/12/2006,340636500.0
01/03/2007,346675000.0
01/06/2007,352543600.0
01/09/2007,356718200.0
01/12/2007,363742300.0
01/03/2008,366484800.0
01/06/2008,367818800.0
01/09/2008,370260100.0
01/12/2008,357768200.0
01/03/2009,358711700.0
01/06/2009,363561000.0
01/09/2009,374652000.0
01/12/2009,377396300.0
01/03/2010,386238500.0
01/06/2010,392479000.0
01/09/2010,396469600.0
01/12/2010,402066000.0
01/03/2011,405904800.0
01/06/2011,407666700.0
01/09/2011,409552300.0
01/12/2011,412298900.0
01/03/2012,416240700.0
01/06/2012,417998000.0
01/09/2012,419861600.0
01/12/2012,422987500.0
01/03/2013,426342400.0
01/06/2013,431160100.0
01/09/2013,435484700.0
01/12/2013,439300300.0
01/03/2014,442669900.0
01/06/2014,446872400.0
01/09/2014,448023500.0
01/12/2014,450409200.0
01/03/2015,454302800.0
01/06/2015,456256600.0
01/09/2015,463025500.0
01/12/2015,466604000.0
01/03/2016,468400300.0
01/06/2016,474271500.0
01/09/2016,476105600.0
01/12/2016,479773700.0
01/03/2017,485209500.0
01/06/2017,488730600.0
01/09/2017,495435100.0
01/12/2017,494356900.0
01/03/2018,501490000.0
01/06/2018,505448900.0
01/09/2018,508214800.0
01/12/2018,510948600.0
01/03/2019,511117500.0
01/06/2019,518034200.0
01/09/2019,519435700.0
01/12/2019,524395000.0
01/03/2020,517226900.0
01/06/2020,503562300.0
01/09/2020,514942200.0
01/12/2020,522735100.0
01/03/2021,531069700.0
01/06/2021,538270800.0
01/09/2021,538184300.0
01/12/2021,547618100.0
01/03/2022,550176900.0
01/06/2022,555670400.0
01/09/2022,557103500.0
01/12/2022,554877300.0
01/03/2023,556108300.0
01/06/2023,559921400.0
01/09/2023,565273300.0
01/12/2023,569404400.0
01/03/2024,575171300.0
01/06/2024,574301700.0
01/09/2024,574618700.0
01/12/2024,575977000.0
01/03/2025,574984300.0
01/06/2025,578719200.0
01/09/2025,586599900.0
01/12/2025,585964000.0
01/03/2026,596692800.0
