DATES,STX
08/07/2026,7246.79
07/07/2026,7656.31
06/07/2026,8051.33
03/07/2026,8088.34
02/07/2026,7648.09
01/07/2026,8303.41
30/06/2026,8476.48
29/06/2026,8394.65
26/06/2026,8411.21
25/06/2026,8930.3
24/06/2026,8471.02
23/06/2026,8203.84
22/06/2026,9114.55
19/06/2026,9052.42
18/06/2026,9063.84
17/06/2026,8864.24
16/06/2026,8726.6
15/06/2026,8545.98
12/06/2026,8123.62
11/06/2026,7763.95
10/06/2026,7730.82
09/06/2026,8096.93
08/06/2026,7484.41
05/06/2026,8160.59
04/06/2026,8639.41
02/06/2026,8801.49
01/06/2026,8788.38
29/05/2026,8476.15
28/05/2026,8185.29
27/05/2026,8228.7
26/05/2026,8047.51
22/05/2026,7847.71
21/05/2026,7815.59
20/05/2026,7208.95
19/05/2026,7271.66
18/05/2026,7516.04
15/05/2026,7493.18
14/05/2026,7981.41
13/05/2026,7844.01
12/05/2026,7643.15
11/05/2026,7822.24
08/05/2026,7498.0
07/05/2026,7490.05
06/05/2026,7384.56
04/05/2026,6936.99
30/04/2026,6598.87
29/04/2026,6690.9
28/04/2026,6641.02
27/04/2026,6615.03
24/04/2026,6475.63
23/04/2026,6475.81
22/04/2026,6417.93
21/04/2026,6388.47
20/04/2026,6219.09
17/04/2026,6191.92
16/04/2026,6226.05
15/04/2026,6091.39
14/04/2026,5967.75
13/04/2026,5808.62
10/04/2026,5858.87
09/04/2026,5778.01
08/04/2026,5872.34
07/04/2026,5494.78
06/04/2026,5450.33
03/04/2026,5377.3
02/04/2026,5234.05
01/04/2026,5478.7
31/03/2026,5052.46
30/03/2026,5277.3
27/03/2026,5438.87
26/03/2026,5460.46
25/03/2026,5642.21
24/03/2026,5553.92
23/03/2026,5405.75
20/03/2026,5781.2
19/03/2026,5763.22
18/03/2026,5925.03
17/03/2026,5640.48
16/03/2026,5549.85
13/03/2026,5487.24
12/03/2026,5583.25
11/03/2026,5609.95
10/03/2026,5532.59
09/03/2026,5251.87
06/03/2026,5584.87
05/03/2026,5583.9
04/03/2026,5093.54
03/03/2026,5791.91
27/02/2026,6244.13
26/02/2026,6307.27
25/02/2026,6083.86
24/02/2026,5969.64
23/02/2026,5846.09
20/02/2026,5808.53
19/02/2026,5677.25
13/02/2026,5507.01
12/02/2026,5522.27
11/02/2026,5354.49
10/02/2026,5301.69
09/02/2026,5298.04
06/02/2026,5089.14
05/02/2026,5163.57
04/02/2026,5371.1
03/02/2026,5288.08
02/02/2026,4949.67
30/01/2026,5224.36
29/01/2026,5221.25
28/01/2026,5170.81
27/01/2026,5084.85
26/01/2026,4949.59
23/01/2026,4990.07
22/01/2026,4952.53
21/01/2026,4909.93
20/01/2026,4885.75
19/01/2026,4904.66
16/01/2026,4840.74
15/01/2026,4797.55
14/01/2026,4723.1
13/01/2026,4692.64
12/01/2026,4624.79
09/01/2026,4586.32
08/01/2026,4552.37
07/01/2026,4551.06
06/01/2026,4525.48
05/01/2026,4457.52
02/01/2026,4309.63
30/12/2025,4214.17
29/12/2025,4220.56
26/12/2025,4129.68
24/12/2025,4108.62
23/12/2025,4117.32
22/12/2025,4105.93
19/12/2025,4020.55
18/12/2025,3994.51
17/12/2025,4056.41
16/12/2025,3999.13
15/12/2025,4090.59
12/12/2025,4167.16
11/12/2025,4110.62
10/12/2025,4135.0
09/12/2025,4143.55
08/12/2025,4154.85
05/12/2025,4100.05
04/12/2025,4028.51
03/12/2025,4036.3
