DATES,rEER
199401,117.22
199402,116.64
199403,116.76
199404,115.91
199405,115.41
199406,115.26
199407,114.33
199408,114.85
199409,113.52
199410,112.53
199411,112.92
199412,114.72
199501,115.05
199502,114.46
199503,113.69
199504,112.28
199505,113.53
199506,112.73
199507,114.48
199508,117.06
199509,119
199510,118.53
199511,118.4
199512,119.29
199601,118.65
199602,119.79
199603,120.13
199604,120.91
199605,121.43
199606,119.33
199607,117.66
199608,116.68
199609,116.33
199610,116.07
199611,115.23
199612,114.81
199701,115.22
199702,115.69
199703,114.55
199704,113.36
199705,112.01
199706,111.86
199707,113.22
199708,115.08
199709,113.97
199710,112.21
199711,102.16
199712,73.61
199801,68.25
199802,71.11
199803,77.56
199804,83.4
199805,82.85
199806,84.4
199807,91.5
199808,91.15
199809,84.97
199810,83.86
199811,86.86
199812,91.95
199901,94.52
199902,95.17
199903,93.25
199904,94.76
199905,95.69
199906,97.71
199907,95.66
199908,94.32
199909,93.05
199910,92.62
199911,95.08
199912,98.08
200001,99.03
200002,100.53
200003,101.95
200004,102.18
200005,102.51
200006,101.98
200007,103.31
200008,104.36
200009,105.72
200010,105.44
200011,102.47
200012,97.7
200101,93.92
200102,96.24
200103,95.57
200104,94.01
200105,95.85
200106,97.04
200107,97.27
200108,97.42
200109,95.69
200110,95.91
200111,97.5
200112,98.05
200201,97.3
200202,97.61
200203,97.3
200204,97.73
200205,101.14
200206,103.08
200207,104.38
200208,104.26
200209,103.93
200210,101.79
200211,103.15
200212,103.34
200301,104.56
200302,103.48
200303,100.46
200304,100.37
200305,100.86
200306,101.29
200307,103.06
200308,104.01
200309,104.7
200310,102.33
200311,100.28
200312,98.76
200401,98.66
200402,100.31
200403,102.05
200404,103.02
200405,101.92
200406,102.76
200407,103.03
200408,104.3
200409,104.53
200410,103.89
200411,106.37
200412,109.1
200501,111.75
200502,113.53
200503,115.37
200504,115.9
200505,116.9
200506,117.12
200507,115.38
200508,115.95
200509,115.18
200510,114.22
200511,115.76
200512,117.68
200601,120.91
200602,123.16
200603,122.96
200604,124.48
200605,123.53
200606,123.04
200607,123.95
200608,122.5
200609,124.17
200610,124
200611,124.4
200612,124.46
200701,124.05
200702,123.99
200703,122.6
200704,123.52
200705,123.62
200706,123.61
200707,123.71
200708,120.88
200709,120.71
200710,121.02
200711,117.85
200712,116.68
200801,113.64
200802,111.99
200803,105.89
200804,104.87
200805,100.85
200806,101.65
200807,102.84
200808,101.83
200809,95.08
200810,83.35
200811,80.04
200812,80.44
200901,81.66
200902,78.88
200903,79.31
200904,85.72
200905,89.54
200906,88.09
200907,87.98
200908,89.14
200909,89.85
200910,91.72
200911,92.09
200912,92.57
201001,95.71
201002,94.73
201003,96.33
201004,98.61
201005,95.72
201006,92.42
201007,91.57
201008,92.81
201009,93.96
201010,94.43
201011,93.29
201012,92.83
201101,94.99
201102,94.65
201103,93.75
201104,95.67
201105,95.3
201106,95.52
201107,97.53
201108,95.94
201109,93
201110,90.64
201111,92.55
201112,92.23
201201,92.36
201202,93.29
201203,93.46
201204,92.42
201205,91.66
201206,92.11
201207,93.72
201208,94.16
201209,94.11
201210,95
201211,96.84
201212,97.69
201301,99.48
201302,97.99
201303,97.39
201304,95.66
201305,96.96
201306,94.6
201307,96.22
201308,96.92
201309,99.56
201310,99.74
201311,100.89
201312,101.86
201401,101.5
201402,101.01
201403,101.28
201404,103.83
201405,105.55
201406,106.18
201407,105.89
201408,106.02
201409,105.76
201410,103.61
201411,101.55
201412,102.75
201501,106.42
201502,105.31
201503,105.3
201504,107.21
201505,105.99
201506,104.6
201507,102.43
201508,100.89
201509,100.35
201510,103.43
201511,103.78
201512,102.62
201601,101.47
201602,98.95
201603,100.35
201604,102.36
201605,100.49
201606,101.09
201607,103.63
201608,105.88
201609,106.6
201610,105.84
201611,104.21
201612,104.13
201701,104.8
201702,107.58
201703,108.35
201704,107.35
201705,107.76
201706,106.03
201707,105.47
201708,104.6
201709,103.45
201710,104.28
201711,106.36
201712,107.73
201801,107.58
201802,105.24
201803,106.1
201804,106.73
201805,107.8
201806,106.88
201807,105.48
201808,107.45
201809,108.25
201810,107.37
201811,107.58
201812,107.23
201901,106.12
201902,105.62
201903,104.52
201904,103.86
201905,101.19
201906,101.62
201907,100.66
201908,99.17
201909,100.94
201910,101.39
201911,101.59
201912,100.93
202001,101.06
202002,99.46
202003,98.38
202004,99.11
202005,98.54
202006,99.15
202007,98.57
202008,98.76
202009,99.45
202010,101.33
202011,102.92
202012,103.27
202101,102.64
202102,101.58
202103,101.51
202104,102.79
202105,101.19
202106,101.3
202107,100.21
202108,99.17
202109,98.14
202110,97.58
202111,97.92
202112,98.23
202201,97.42
202202,96.92
202203,96.3
202204,96.79
202205,97.04
202206,96.76
202207,96.2
202208,95.13
202209,92.32
202210,91.77
202211,94.72
202212,96.72
202301,98.83
202302,96.86
202303,95.3
202304,93.48
202305,94.46
202306,97.9
202307,98.51
202308,97.26
202309,97.87
202310,97.51
202311,99.32
202312,97.99
202401,97.09
202402,97.22
202403,97.39
202404,95.74
202405,95.84
202406,94.83
202407,94.45
202408,94.63
202409,95.09
202410,94.05
202411,93.43
202412,91.37
202501,91.7
202502,91.36
202503,89.58
202504,89.67
202505,91.67
202506,92.44
202507,91.36
202508,90.7
202509,90.53
202510,89.15
202511,87.23
202512,86.49
202601,87.02
202602,86.49
202603,85.07
202604,85.07
202605,84.75
