DATES,GDP
01/03/1993,1067301
01/06/1993,1039924
01/09/1993,1086494
01/12/1993,1147308
01/03/1994,1179517
01/06/1994,1146232
01/09/1994,1135828
01/12/1994,1226603
01/03/1995,1265610
01/06/1995,1256367
01/09/1995,1231962
01/12/1995,1314936
01/03/1996,1313862
01/06/1996,1336374
01/09/1996,1323012
01/12/1996,1382117
01/03/1997,1318993
01/06/1997,1309139
01/09/1997,1282881
01/12/1997,1296888
01/03/1998,1244216
01/06/1998,1145060
01/09/1998,1155997
01/12/1998,1265055
01/03/1999,1259716
01/06/1999,1206997
01/09/1999,1246015
01/12/1999,1317543
01/03/2000,1346757
01/06/2000,1279194
01/09/2000,1276273
01/12/2000,1352158
01/03/2001,1378078
01/06/2001,1326723
01/09/2001,1322686
01/12/2001,1407869
01/03/2002,1441030
01/06/2002,1411214
01/09/2002,1414291
01/12/2002,1503042
01/03/2003,1550742
01/06/2003,1500109
01/09/2003,1511005
01/12/2003,1622511
01/03/2004,1651929
01/06/2004,1594896
01/09/2004,1596306
01/12/2004,1730192
01/03/2005,1715539
01/06/2005,1663994
01/09/2005,1672102
01/12/2005,1796955
01/03/2006,1810063
01/06/2006,1738304
01/09/2006,1746759
01/12/2006,1893689
01/03/2007,1928792
01/06/2007,1829463
01/09/2007,1842192
01/12/2007,1979091
01/03/2008,1992940
01/06/2008,1893939
01/09/2008,1883585
01/12/2008,1939874
01/03/2009,1907673
01/06/2009,1836030
01/09/2009,1874133
01/12/2009,2039253
01/03/2010,2139668
01/06/2010,2000920
01/09/2010,1982245
01/12/2010,2109563
01/03/2011,2209743
01/06/2011,2037494
01/09/2011,2029932
01/12/2011,2024390
01/03/2012,2272805
01/06/2012,2160308
01/09/2012,2132192
01/12/2012,2337519
01/03/2013,2395328
01/06/2013,2219187
01/09/2013,2185277
01/12/2013,2342295
01/03/2014,2386444.033978027
01/06/2014,2237767.9695609356
01/09/2014,2208911.9570584497
01/12/2014,2398964.039402588
01/03/2015,2459674.649948831
01/06/2015,2303095.3539398797
01/09/2015,2285060.319845132
01/12/2015,2473595.676266157
01/03/2016,2541549
01/06/2016,2390876
01/09/2016,2357971
01/12/2016,2558106
01/03/2017,2638918
01/06/2017,2494793
01/09/2017,2463648
01/12/2017,2662582
01/03/2018,2772274
01/06/2018,2610783
01/09/2018,2543414
01/12/2018,2766734
01/03/2019,2845657
01/03/2019,2784621
01/03/2019,2715101
01/03/2019,2776424
01/03/2019,2858110
01/06/2019,2668902
01/06/2019,2343831
01/06/2019,2523971
01/06/2019,2585658
01/06/2019,2641700
01/09/2019,2605929
01/09/2019,2441011
01/09/2019,2437726
01/09/2019,2548887
01/09/2019,2594600
01/12/2019,2798831
01/12/2019,2684535
01/12/2019,2737017
01/12/2019,2777546
01/12/2019,2834472
01/03/2024,2917809
01/06/2024,2712644
01/09/2024,2680692
01/12/2024,2939986
01/03/2025,3009428
01/06/2025,2789077
01/09/2025,2712849
01/12/2025,3014449
01/03/2026,3094951
