DATES,STX
08/07/2026,560.97
07/07/2026,570.81
06/07/2026,576.83
03/07/2026,576.23
02/07/2026,569.17
01/07/2026,567.97
30/06/2026,568.75
29/06/2026,565.28
26/06/2026,549.89
25/06/2026,557.15
24/06/2026,553.66
23/06/2026,552.45
22/06/2026,565.82
19/06/2026,565.65
18/06/2026,571.68
17/06/2026,572.13
16/06/2026,574.07
15/06/2026,576.05
12/06/2026,577.10
11/06/2026,569.64
10/06/2026,566.49
09/06/2026,574.15
08/06/2026,564.37
05/06/2026,570.98
04/06/2026,575.37
02/06/2026,573.21
29/05/2026,567.18
28/05/2026,566.41
27/05/2026,567.75
26/05/2026,561.54
25/05/2026,560.41
22/05/2026,557.38
21/05/2026,556.51
20/05/2026,556.46
19/05/2026,552.53
18/05/2026,554.06
15/05/2026,552.50
14/05/2026,562.05
13/05/2026,552.46
12/05/2026,537.98
11/05/2026,539.14
08/05/2026,543.35
07/05/2026,546.72
06/05/2026,549.09
05/05/2026,539.19
30/04/2026,540.74
29/04/2026,540.30
28/04/2026,536.62
27/04/2026,536.80
24/04/2026,527.58
23/04/2026,529.74
22/04/2026,537.25
21/04/2026,539.01
20/04/2026,540.05
17/04/2026,541.04
16/04/2026,544.09
10/04/2026,551.10
09/04/2026,544.15
08/04/2026,540.02
07/04/2026,531.89
03/04/2026,528.18
02/04/2026,531.89
01/04/2026,533.68
31/03/2026,525.48
30/03/2026,527.28
27/03/2026,527.05
26/03/2026,525.74
25/03/2026,532.31
24/03/2026,512.86
23/03/2026,507.03
20/03/2026,521.26
19/03/2026,515.59
18/03/2026,523.09
17/03/2026,521.03
16/03/2026,510.45
13/03/2026,510.88
12/03/2026,518.45
11/03/2026,510.09
10/03/2026,508.83
09/03/2026,499.84
06/03/2026,512.15
05/03/2026,515.76
04/03/2026,503.94
02/03/2026,535.67
27/02/2026,556.93
26/02/2026,560.23
25/02/2026,551.54
24/02/2026,539.57
23/02/2026,535.81
20/02/2026,534.46
19/02/2026,539.95
18/02/2026,528.37
17/02/2026,527.19
16/02/2026,520.02
13/02/2026,516.97
12/02/2026,522.24
11/02/2026,512.02
10/02/2026,510.76
09/02/2026,506.60
06/02/2026,488.83
05/02/2026,484.34
04/02/2026,484.99
03/02/2026,478.49
02/02/2026,472.12
30/01/2026,471.84
29/01/2026,475.49
28/01/2026,478.62
27/01/2026,476.21
26/01/2026,465.71
23/01/2026,468.04
22/01/2026,465.11
21/01/2026,467.23
20/01/2026,458.71
19/01/2026,453.01
16/01/2026,450.12
15/01/2026,444.67
14/01/2026,439.46
13/01/2026,433.99
12/01/2026,435.81
09/01/2026,439.71
08/01/2026,439.60
07/01/2026,450.22
06/01/2026,449.20
05/01/2026,452.23
30/12/2025,443.29
29/12/2025,441.79
26/12/2025,444.05
25/12/2025,445.81
24/12/2025,449.86
23/12/2025,447.98
22/12/2025,447.81
19/12/2025,440.77
18/12/2025,440.23
17/12/2025,441.88
16/12/2025,443.07
15/12/2025,449.21
12/12/2025,442.02
11/12/2025,442.52
09/12/2025,448.59
08/12/2025,444.36
04/12/2025,447.16
03/12/2025,447.28
02/12/2025,448.98
01/12/2025,448.87
28/11/2025,441.33
27/11/2025,440.21
26/11/2025,443.58
25/11/2025,445.85
24/11/2025,438.54
21/11/2025,438.81
20/11/2025,449.33
19/11/2025,445.64
