DATES,rEER
199401,99.5
199402,98.43
199403,98.39
199404,98.11
199405,98.33
199406,98.55
199407,97.36
199408,97.17
199409,97.39
199410,96.68
199411,96.3
199412,96.49
199501,96.18
199502,96.14
199503,94.18
199504,92.19
199505,92.94
199506,93.08
199507,93.95
199508,96.97
199509,98.85
199510,99.36
199511,99.56
199512,99.86
199601,100.78
199602,101.31
199603,101.31
199604,101.61
199605,101.81
199606,102.2
199607,102.32
199608,102.83
199609,102.85
199610,103.57
199611,103.89
199612,104.05
199701,105.04
199702,106.72
199703,107.64
199704,107.47
199705,107.32
199706,111.83
199707,92.21
199708,90.07
199709,83.53
199710,79.64
199711,78.16
199712,71.79
199801,62.49
199802,70.84
199803,79.27
199804,83.16
199805,85.31
199806,81.11
199807,83.55
199808,83.92
199809,83.46
199810,84.28
199811,87.45
199812,87.26
199901,86.1
199902,86.45
199903,86.5
199904,85.81
199905,86.97
199906,87.12
199907,86.77
199908,83.56
199909,78.37
199910,78.71
199911,80.4
199912,81.66
200001,83.89
200002,84.51
200003,83.87
200004,83.46
200005,83.02
200006,81.78
200007,80.07
200008,79.72
200009,78.05
200010,76.14
200011,75.76
200012,76.49
200101,76.88
200102,78.28
200103,77.24
200104,75.89
200105,75.81
200106,76.57
200107,76.48
200108,76.03
200109,76.6
200110,76.36
200111,77.29
200112,78.61
200201,79.58
200202,80.27
200203,80.51
200204,80.25
200205,79.98
200206,79.71
200207,80.01
200208,78.65
200209,78
200210,77.55
200211,76.9
200212,76.56
200301,76.75
200302,76.25
200303,76.21
200304,76.18
200305,76.17
200306,76.89
200307,77.15
200308,78.04
200309,79.02
200310,78.82
200311,78.51
200312,77.71
200401,78.21
200402,78.47
200403,78.64
200404,78.77
200405,77.98
200406,77
200407,76.52
200408,75.94
200409,75.78
200410,75.13
200411,75.05
200412,76.33
200501,77.33
200502,78.13
200503,78.34
200504,77.46
200505,77.43
200506,76.66
200507,77.08
200508,77.56
200509,78.15
200510,79.47
200511,79.45
200512,78.97
200601,80.47
200602,81.33
200603,82.87
200604,84.88
200605,83.54
200606,83.89
200607,84.83
200608,85.2
200609,85.48
200610,86.56
200611,87.4
200612,88.16
200701,89.79
200702,92.37
200703,95.53
200704,95.87
200705,95.29
200706,97.1
200707,101.79
200708,96.47
200709,95.08
200710,95.87
200711,94.71
200712,98.42
200801,97.23
200802,93.73
200803,91.14
200804,91.74
200805,92.69
200806,90.1
200807,88.79
200808,87.16
200809,87.47
200810,88.24
200811,87.58
200812,84.88
200901,85.29
200902,86.87
200903,86.99
200904,87.26
200905,86.94
200906,87.75
200907,87.49
200908,87.07
200909,86.4
200910,86.32
200911,86.34
200912,86.78
201001,87.82
201002,88.39
201003,89.92
201004,90.83
201005,92.08
201006,92.74
201007,91.35
201008,91.88
201009,93.32
201010,93.27
201011,93.84
201012,93.71
201101,91.67
201102,90.57
201103,91.07
201104,92.15
201105,91.18
201106,90.15
201107,90.9
201108,91.17
201109,90.61
201110,89.92
201111,90.31
201112,89.68
201201,88.25
201202,90.06
201203,91.36
201204,90.97
201205,90.75
201206,90.93
201207,91.15
201208,91.25
201209,91.55
201210,92.29
201211,92.5
201212,92.95
201301,95.66
201302,97.23
201303,99.28
201304,101.25
201305,99.75
201306,96.26
201307,96.14
201308,94.26
201309,93.77
201310,94.17
201311,93.84
201312,92.39
201401,91.55
201402,92.07
201403,92.79
201404,92.95
201405,92.3
201406,92.41
201407,93.17
201408,93.66
201409,94.14
201410,94.12
201411,95.01
201412,95.79
201501,96.99
201502,97.98
201503,99.01
201504,98.5
201505,95.11
201506,95.41
201507,94.29
201508,92.38
201509,91.16
201510,91.54
201511,92.22
201512,91.5
201601,91.8
201602,91.65
201603,91.55
201604,90.94
201605,91.23
201606,91.19
201607,91.58
201608,91.44
201609,91.52
201610,91.51
201611,92.61
201612,93.4
201701,93.75
201702,93.83
201703,93.69
201704,94.15
201705,93.98
201706,94.51
201707,94.8
201708,94.83
201709,94.81
201710,95.63
201711,96.4
201712,96.33
201801,96.56
201802,96.19
201803,96.89
201804,97.43
201805,97.59
201806,96.85
201807,95.82
201808,97.33
201809,98.99
201810,99
201811,98.45
201812,98.29
201901,99.88
201902,101.23
201903,100.35
201904,100.34
201905,101.69
201906,103.1
201907,103.88
201908,104.91
201909,105.7
201910,105.61
201911,105.35
201912,105.09
202001,103.45
202002,101.28
202003,99.29
202004,97.04
202005,98.7
202006,101.86
202007,100.56
202008,100.17
202009,98.8
202010,98.66
202011,100.18
202012,100.01
202101,99.38
202102,98.18
202103,97.39
202104,97.08
202105,95.44
202106,95.4
202107,92.51
202108,90.89
202109,92.03
202110,91.77
202111,93.01
202112,91.45
202201,92.99
202202,94.98
202203,94.55
202204,94.64
202205,96.28
202206,95.95
202207,93.04
202208,94.37
202209,94.03
202210,93.72
202211,95.73
202212,96.94
202301,98.99
202302,97.17
202303,96.3
202304,96.54
202305,97.07
202306,96.85
202307,97.18
202308,97.53
202309,95.73
202310,94.31
202311,95.91
202312,95.21
202401,95.21
202402,93.63
202403,93.52
202404,93.31
202405,94.05
202406,93.97
202407,94.85
202408,96.14
202409,98.8
202410,99.85
202411,98.68
202412,99.92
202501,100.35
202502,100.48
202503,99.3
202504,98.09
202505,99.22
202506,99.46
202507,99.46
202508,99.69
202509,100.68
202510,99.28
202511,100.66
202512,102.63
202601,102.88
202602,101.45
202603,99.06
202604,98.85
202605,100.59
