DATES,CPI
30/06/2026,3613.704262
31/05/2026,3578.279297
30/04/2026,3518.119454
31/03/2026,3376.962425
28/02/2026,3312.69612
31/01/2026,3217.459324
31/12/2025,3068.92343
30/11/2025,3041.850956
31/10/2025,3015.615105
30/09/2025,2940.629064
31/08/2025,2848.61868
31/07/2025,2791.66864
30/06/2025,2735.321027
31/05/2025,2698.353583
30/04/2025,2657.690912
31/03/2025,2580.282439
28/02/2025,2518.331484
31/01/2025,2462.434227
31/12/2024,2344.505596
30/11/2024,2320.603381
31/10/2024,2269.76074
30/09/2024,2206.22156
31/08/2024,2142.586734
31/07/2024,2090.940503
30/06/2024,2025.516326
31/05/2024,1992.833851
30/04/2024,1927.864807
31/03/2024,1868.448155
29/02/2024,1811.213799
31/01/2024,1732.721515
31/12/2023,1623.918945
30/11/2023,1577.692554
31/10/2023,1527.587678
30/09/2023,1476.929013
31/08/2023,1409.956098
31/07/2023,1292.470527
30/06/2023,1180.446184
31/05/2023,1135.918191
30/04/2023,1135.464005
31/03/2023,1108.959865
28/02/2023,1084.133214
31/01/2023,1051.025898
31/12/2022,985.490763
30/11/2022,973.997591
31/10/2022,946.731718
30/09/2022,914.363258
31/08/2022,887.042354
31/07/2022,874.277896
30/06/2022,854.037214
31/05/2022,813.756279
30/04/2022,790.208078
31/03/2022,736.790749
28/02/2022,698.644746
31/01/2022,666.582144
31/12/2021,599.983928
30/11/2021,528.247868
31/10/2021,510.335106
30/09/2021,498.422801
31/08/2021,492.269433
31/07/2021,486.817082
30/06/2021,478.209314
31/05/2021,469.108607
30/04/2021,464.970371
31/03/2021,457.287933
28/02/2021,452.401992
31/01/2021,448.322259
31/12/2020,440.914889
30/11/2020,435.471495
31/10/2020,425.680836
30/09/2020,416.802934
31/08/2020,412.798785
31/07/2020,409.278986
30/06/2020,406.918857
31/05/2020,402.372053
30/04/2020,396.973217
31/03/2020,393.627384
29/02/2020,391.396424
31/01/2020,390.031315
31/12/2019,384.836029
30/11/2019,382.009161
31/10/2019,380.563021
30/09/2019,373.101001
31/08/2019,369.44351
31/07/2019,366.293387
30/06/2019,361.378638
31/05/2019,361.270257
30/04/2019,357.870487
31/03/2019,351.922989
28/02/2019,348.335137
31/01/2019,347.778691
31/12/2018,344.130903
30/11/2018,345.512955
31/10/2018,350.561034
30/09/2018,341.444467
31/08/2018,321.208341
31/07/2018,313.986648
30/06/2018,312.269168
31/05/2018,304.326253
30/04/2018,299.474762
31/03/2018,293.977384
28/02/2018,291.095539
31/01/2018,288.985941
31/12/2017,286.068047
30/11/2017,284.107704
31/10/2017,279.936648
30/09/2017,274.23261
31/08/2017,272.461609
31/07/2017,271.052138
30/06/2017,270.646169
31/05/2017,271.378892
30/04/2017,270.163158
31/03/2017,266.669783
28/02/2017,263.977216
31/01/2017,261.856181
31/12/2016,255.569179
30/11/2016,251.445473
31/10/2016,250.144721
30/09/2016,246.59377
31/08/2016,246.150699
31/07/2016,246.866612
30/06/2016,244.035797
31/05/2016,242.894194
30/04/2016,241.493532
31/03/2016,239.624461
29/02/2016,239.720349
31/01/2016,239.768303
31/12/2015,235.482521
30/11/2015,234.989044
31/10/2015,233.425096
30/09/2015,229.862231
31/08/2015,227.834504
31/07/2015,226.926797
30/06/2015,226.722747
31/05/2015,227.88496
30/04/2015,226.615911
31/03/2015,222.981315
28/02/2015,220.359043
31/01/2015,218.805523
31/12/2014,216.42485
30/11/2014,217.381328
31/10/2014,216.990745
30/09/2014,212.944794
31/08/2014,212.647088
31/07/2014,212.455877
30/06/2014,211.504109
31/05/2014,210.850472
30/04/2014,210.010431
31/03/2014,207.233502
28/02/2014,204.917929
31/01/2014,204.040555
31/12/2013,200.078991
30/11/2013,199.162842
31/10/2013,199.142927
30/09/2013,195.621736
31/08/2013,194.126959
31/07/2013,194.32128
30/06/2013,193.720745
31/05/2013,192.259573
30/04/2013,191.971615
31/03/2013,191.168707
28/02/2013,189.915266
31/01/2013,189.347224
31/12/2012,186.273708
30/11/2012,185.568548
31/10/2012,184.866057
30/09/2012,181.312335
31/08/2012,179.463857
31/07/2012,178.464456
30/06/2012,178.875871
31/05/2012,180.500374
30/04/2012,180.880223
31/03/2012,178.172008
29/02/2012,177.444486
31/01/2012,176.45633
31/12/2011,175.473678
30/11/2011,174.461799
31/10/2011,171.494937
30/09/2011,166.064624
31/08/2011,164.82841
31/07/2011,163.633883
30/06/2011,164.307544
31/05/2011,166.691229
30/04/2011,162.752615
31/03/2011,161.34888
28/02/2011,160.674049
31/01/2011,159.509629
31/12/2010,158.85831
30/11/2010,159.336319
31/10/2010,159.288532
30/09/2010,156.425937
31/08/2010,154.525277
31/07/2010,153.909638
30/06/2010,154.651967
31/05/2010,155.522896
30/04/2010,156.084801
31/03/2010,155.153878
28/02/2010,154.259174
31/01/2010,152.054386
31/12/2009,149.292475
30/11/2009,148.505396
31/10/2009,146.64303
30/09/2009,143.1921
31/08/2009,142.635821
31/07/2009,143.065016
30/06/2009,142.708245
31/05/2009,142.551439
30/04/2009,141.644911
31/03/2009,141.616588
28/02/2009,140.075754
31/01/2009,140.553637
31/12/2008,140.14721
30/11/2008,140.724179
