DATES,GDP
199503,156645.133994
199506,159225.051615
199509,163479.271944
199512,165227.767244
199603,169459.033372
199606,171715.897842
199609,173727.736856
199612,176849.631524
199703,179281.535638
199706,184996.720687
199709,186511.367967
199712,191138.923612
199803,193536.170246
199806,190282.189005
199809,189789.166017
199812,184278.409175
199903,183904.241996
199906,182385.8168
199909,182812.852031
199912,185770.86636
200003,189971.906756
200006,195170.271889
200009,198639.507347
200012,201682.108904
200103,195679.945563
200106,182091.978256
200109,183782.198946
200112,180731.90319
200203,191660.407024
200206,196380.556675
200209,198844.33162
200212,202686.429928
200303,204633.488843
200306,204515.602066
200309,211409.071338
200312,216930.172234
200403,222039.176509
200406,228993.075251
200409,231644.647377
200412,235644.083463
200503,242917.802926
200506,244970.676229
200509,252919.000826
200512,260437.634856
200603,259853.82653
200606,270455.215576
200609,268652.226259
200612,274888.33161
200703,277955.046783
200706,277521.632359
200709,280405.588473
200712,292662.429491
200803,295937.391868
200806,285444.301962
200809,281550.924124
200812,276930.510011
200903,257899.691687
200906,269618.649827
200909,275440.996896
200912,279634.089963
201003,280779.382279
201006,289897.341844
201009,298168.803014
201012,307202.441838
201103,315332.390948
201106,321434.478791
201109,330258.482989
201112,335656.647727
201203,334083.591674
201206,337759.725845
201209,343758.684333
201212,349749.279317
201303,360816.545473
201306,371307.791272
201309,375251.25937
201312,376521.989561
201403,386022.817206
201406,382733.340567
201409,389418.42271
201412,393245.94835
201503,399751.115424
201506,408913.452388
201509,412442.559924
201512,419524.755378
201603,418574.042582
201606,425032.200112
201609,413390.688572
201612,437162.38334
201703,440597.647136
201706,451321.375404
201709,462992.951899
201712,470462.393809
201803,477342.341582
201806,478205.871638
201809,474857.326314
201812,460392.219485
201903,469765.288838
201906,480036.39735
201909,480154.869616
201912,487657.727184
202003,489378.488748
202006,438578.169821
202009,507325.703083
202012,513761.92262
202103,527533.848919
202106,535987.621157
202109,554800.911874
202112,564979.858852
202203,563316.787627
202206,572781.914336
202209,577948.968953
202212,583565.514266
202303,579018.072642
202306,606512.359119
202309,611237.570068
202312,615333.928894
202403,620567.124633
202406,619799.305165
202409,623709.15005
202412,631909.722529
202503,636569.601547
202506,644798.006424
202509,651240.653954
202512,653741.001666
202603,654599.392796
