DATES,Ryr
07/07/2026,31.01
06/07/2026,30.91
03/07/2026,30.97
02/07/2026,30.77
01/07/2026,30.82
30/06/2026,30.8
29/06/2026,30.77
26/06/2026,30.83
25/06/2026,30.77
24/06/2026,31.02
23/06/2026,31.14
22/06/2026,30.97
19/06/2026,30.97
18/06/2026,30.9
17/06/2026,30.93
16/06/2026,30.91
15/06/2026,30.93
12/06/2026,31.38
11/06/2026,31.95
10/06/2026,32.34
09/06/2026,32.27
08/06/2026,32.27
05/06/2026,32.09
04/06/2026,31.82
03/06/2026,32.22
02/06/2026,32.29
01/06/2026,32.68
29/05/2026,35.72
26/05/2026,32.94
25/05/2026,32.94
22/05/2026,33.36
21/05/2026,33.17
20/05/2026,33.23
18/05/2026,33.04
15/05/2026,32.42
14/05/2026,31.99
13/05/2026,32.03
12/05/2026,31.85
11/05/2026,31.46
08/05/2026,31.19
07/05/2026,30.88
06/05/2026,31.16
05/05/2026,31.8
04/05/2026,31.75
01/05/2026,34.085
30/04/2026,31.52
29/04/2026,31.76
28/04/2026,31.46
27/04/2026,31.11
24/04/2026,31.0
22/04/2026,30.45
21/04/2026,30.14
20/04/2026,29.74
17/04/2026,29.66
16/04/2026,30.06
15/04/2026,29.98
14/04/2026,30.08
13/04/2026,30.34
10/04/2026,29.68
09/04/2026,29.61
08/04/2026,29.05
07/04/2026,30.45
06/04/2026,30.29
03/04/2026,30.45
02/04/2026,30.41
01/04/2026,30.39
31/03/2026,31.12
30/03/2026,31.66
27/03/2026,31.66
26/03/2026,31.49
25/03/2026,31.37
24/03/2026,31.88
23/03/2026,31.95
20/03/2026,33.595
19/03/2026,30.99
18/03/2026,30.62
17/03/2026,30.32
16/03/2026,30.47
13/03/2026,30.53
12/03/2026,30.15
11/03/2026,29.6
10/03/2026,29.35
09/03/2026,30.11
06/03/2026,29.13
05/03/2026,28.36
04/03/2026,28.64
03/03/2026,28.82
02/03/2026,28.53
27/02/2026,28.2
26/02/2026,28.1
25/02/2026,28.21
24/02/2026,28.16
23/02/2026,28.19
20/02/2026,28.16
19/02/2026,28.32
18/02/2026,28.12
17/02/2026,27.84
16/02/2026,27.81
13/02/2026,27.92
12/02/2026,27.96
11/02/2026,28.16
10/02/2026,28.07
09/02/2026,27.93
06/02/2026,28.0
05/02/2026,28.1
04/02/2026,27.81
03/02/2026,27.64
02/02/2026,27.53
30/01/2026,27.78
29/01/2026,27.6
28/01/2026,27.47
27/01/2026,27.53
26/01/2026,27.41
23/01/2026,27.37
22/01/2026,27.59
21/01/2026,27.75
20/01/2026,28.07
19/01/2026,27.87
16/01/2026,28.07
15/01/2026,27.96
14/01/2026,28.01
13/01/2026,27.51
12/01/2026,27.52
09/01/2026,27.55
08/01/2026,27.52
07/01/2026,27.3
06/01/2026,27.24
05/01/2026,27.17
02/01/2026,27.12
31/12/2025,27.16
30/12/2025,27.09
29/12/2025,27.24
26/12/2025,27.73
25/12/2025,27.97
24/12/2025,27.98
23/12/2025,28.21
22/12/2025,28.21
19/12/2025,28.21
18/12/2025,28.43
17/12/2025,28.5
16/12/2025,28.71
15/12/2025,28.74
12/12/2025,28.56
11/12/2025,28.53
10/12/2025,28.65
09/12/2025,28.65
08/12/2025,28.67
05/12/2025,28.68
04/12/2025,28.74
03/12/2025,29.01
02/12/2025,29.12
01/12/2025,29.23
28/11/2025,29.35
27/11/2025,29.6
26/11/2025,29.87
25/11/2025,30.14
24/11/2025,30.22
21/11/2025,30.3
20/11/2025,30.14
19/11/2025,30.14
18/11/2025,30.4
17/11/2025,30.55
14/11/2025,30.64
13/11/2025,30.51
12/11/2025,30.64
11/11/2025,30.44
10/11/2025,30.15
07/11/2025,29.99
06/11/2025,29.99
05/11/2025,29.85
04/11/2025,29.84
03/11/2025,29.68
31/10/2025,29.68
30/10/2025,29.6
28/10/2025,29.44
27/10/2025,29.44
24/10/2025,29.53
23/10/2025,29.78
22/10/2025,29.82
21/10/2025,29.77
20/10/2025,29.68
17/10/2025,29.8
16/10/2025,29.78
15/10/2025,29.84
14/10/2025,29.78
13/10/2025,29.3
10/10/2025,29.04
09/10/2025,29.2
08/10/2025,29.32
07/10/2025,29.34
06/10/2025,29.38
03/10/2025,29.04
02/10/2025,28.8
01/10/2025,29.08
30/09/2025,29.27
29/09/2025,29.49
26/09/2025,29.5
25/09/2025,29.49
24/09/2025,29.45
23/09/2025,29.42
22/09/2025,29.24
19/09/2025,29.42
18/09/2025,29.59
17/09/2025,29.24
16/09/2025,29.35
15/09/2025,29.93
12/09/2025,30.42
11/09/2025,30.52
10/09/2025,30.54
09/09/2025,30.57
08/09/2025,30.73
05/09/2025,30.39
04/09/2025,30.55
03/09/2025,30.62
02/09/2025,30.22
01/09/2025,29.31
29/08/2025,29.1
28/08/2025,29.01
27/08/2025,29.09
26/08/2025,29.11
25/08/2025,29.16
22/08/2025,29.26
21/08/2025,29.22
20/08/2025,29.22
19/08/2025,29.19
18/08/2025,29.25
15/08/2025,29.25
14/08/2025,29.28
13/08/2025,29.33
12/08/2025,29.3
11/08/2025,29.08
08/08/2025,29.16
07/08/2025,29.29
06/08/2025,29.28
05/08/2025,29.16
04/08/2025,29.14
01/08/2025,29.26
31/07/2025,29.44
30/07/2025,29.64
29/07/2025,29.78
28/07/2025,29.54
25/07/2025,29.47
24/07/2025,29.2
23/07/2025,29.24
22/07/2025,29.25
21/07/2025,29.39
18/07/2025,29.77
17/07/2025,29.96
16/07/2025,29.96
14/07/2025,29.87
11/07/2025,29.7
10/07/2025,29.53
09/07/2025,29.47
08/07/2025,29.44
07/07/2025,29.41
04/07/2025,28.77
03/07/2025,28.64
02/07/2025,28.44
01/07/2025,28.55
