DATES,STX
29/06/2026,14183.2001953125
26/06/2026,14274.0
25/06/2026,14259.7998046875
24/06/2026,14331.2001953125
23/06/2026,14539.599609375
22/06/2026,14729.7001953125
19/06/2026,14734.5
18/06/2026,14827.400390625
17/06/2026,14421.2001953125
16/06/2026,14493.099609375
15/06/2026,14446.400390625
12/06/2026,13938.5
11/06/2026,13743.5
10/06/2026,13744.599609375
09/06/2026,13741.900390625
08/06/2026,13860.599609375
05/06/2026,13694.2001953125
04/06/2026,13872.2998046875
03/06/2026,13965.7001953125
02/06/2026,14200.2001953125
01/06/2026,13704.0
26/05/2026,13662.7998046875
25/05/2026,13890.900390625
22/05/2026,13808.2001953125
21/05/2026,13163.900390625
20/05/2026,14012.0
18/05/2026,14029.5
15/05/2026,14367.599609375
14/05/2026,14644.7001953125
13/05/2026,14598.5
12/05/2026,14779.900390625
11/05/2026,15133.5
08/05/2026,15062.7001953125
07/05/2026,15040.2998046875
06/05/2026,14917.400390625
05/05/2026,14495.7998046875
04/05/2026,14369.599609375
30/04/2026,14442.599609375
29/04/2026,14311.2001953125
28/04/2026,14329.2998046875
27/04/2026,14594.0
24/04/2026,14409.099609375
22/04/2026,14335.5
21/04/2026,14375.400390625
20/04/2026,14484.900390625
17/04/2026,14587.900390625
16/04/2026,14201.099609375
15/04/2026,14252.400390625
14/04/2026,14202.2001953125
13/04/2026,14058.5
10/04/2026,14073.7998046875
09/04/2026,13689.0
08/04/2026,13536.7998046875
07/04/2026,12921.599609375
06/04/2026,13112.2998046875
03/04/2026,12936.400390625
02/04/2026,13051.7001953125
01/04/2026,12937.900390625
31/03/2026,12791.0
30/03/2026,12626.400390625
27/03/2026,12698.2001953125
26/03/2026,12727.099609375
25/03/2026,12963.900390625
24/03/2026,12930.2001953125
23/03/2026,13168.2001953125
19/03/2026,13047.7001953125
18/03/2026,13115.099609375
17/03/2026,13217.599609375
16/03/2026,12956.7001953125
13/03/2026,13092.900390625
12/03/2026,13286.099609375
11/03/2026,13200.400390625
10/03/2026,13175.7001953125
09/03/2026,12702.0
