DATES,rEER
199401,128.93
199402,114.15
199403,100.39
199404,76.55
199405,81.74
199406,88.77
199407,88.55
199408,85.7
199409,87.13
199410,93.1
199411,97.82
199412,101.23
199501,100.14
199502,100.6
199503,98.27
199504,100.86
199505,102.38
199506,105.22
199507,102.78
199508,101.85
199509,110.53
199510,113.64
199511,114.6
199512,110.35
199601,111.76
199602,109.0
199603,106.12
199604,107.16
199605,106.34
199606,106.82
199607,102.36
199608,101.11
199609,105.74
199610,110.39
199611,110.53
199612,108.07
199701,107.93
199702,109.79
199703,109.69
199704,111.44
199705,109.75
199706,110.12
199707,109.6
199708,109.0
199709,113.5
199710,119.73
199711,121.97
199712,122.99
199801,125.67
199802,122.73
199803,119.04
199804,119.21
199805,118.21
199806,120.45
199807,118.91
199808,118.53
199809,126.35
199810,132.39
199811,134.38
199812,131.33
199901,130.24
199902,128.86
199903,127.08
199904,128.17
199905,126.13
199906,128.92
199907,127.07
199908,124.11
199909,129.73
199910,135.96
199911,137.84
199912,137.57
200001,138.87
200002,140.78
200003,139.62
200004,140.73
200005,142.36
200006,141.83
200007,140.15
200008,139.06
200009,145.82
200010,153.54
200011,159.69
200012,159.03
200101,159.57
200102,139.8
200103,118.15
200104,105.39
200105,118.31
200106,118.36
200107,108.59
200108,100.13
200109,102.04
200110,103.13
200111,116.74
200112,124.21
200201,138.76
200202,142.48
200203,140.53
200204,146.22
200205,134.29
200206,122.27
200207,109.17
200208,111.68
200209,117.08
200210,124.22
200211,131.6
200212,131.24
200301,126.6
200302,129.17
200303,128.45
200304,132.56
200305,139.86
200306,145.25
200307,150.0
200308,152.16
200309,155.38
200310,145.61
200311,143.27
200312,142.94
200401,149.66
200402,151.58
200403,156.55
200404,153.81
200405,139.1
200406,139.24
200407,142.78
200408,142.17
200409,140.39
200410,142.18
200411,143.25
200412,145.15
200501,152.5
200502,156.93
200503,154.55
200504,151.99
200505,154.29
200506,159.86
200507,162.98
200508,160.53
200509,162.09
200510,165.0
200511,169.81
200512,170.14
200601,170.51
200602,172.77
200603,170.64
200604,169.36
200605,155.36
200606,141.1
200607,146.4
200608,152.71
200609,153.63
200610,156.73
200611,158.05
200612,157.56
200701,161.85
200702,164.57
200703,162.4
200704,166.73
200705,169.96
200706,171.76
200707,172.59
200708,168.8
200709,174.59
200710,182.43
200711,182.32
200712,185.03
200801,185.33
200802,182.72
200803,170.24
200804,162.94
200805,172.97
200806,173.28
200807,174.97
200808,186.35
200809,183.53
200810,168.17
200811,163.42
200812,164.09
200901,162.42
200902,160.14
200903,155.53
200904,162.37
200905,163.49
200906,161.52
200907,164.6
200908,165.02
200909,162.76
200910,166.21
200911,164.66
200912,165.89
201001,174.64
201002,176.1
201003,174.48
201004,180.49
201005,181.13
201006,180.07
201007,178.14
201008,179.98
201009,181.69
201010,185.51
201011,184.64
201012,176.71
201101,170.78
201102,166.01
201103,163.89
201104,167.11
201105,165.31
201106,159.74
201107,154.56
201108,146.59
201109,148.47
201110,151.1
201111,156.27
201112,154.67
201201,159.43
201202,163.65
201203,160.68
201204,163.08
201205,164.67
201206,164.88
201207,166.99
201208,167.26
201209,163.74
201210,165.49
201211,168.33
201212,166.66
201301,170.26
201302,169.49
201303,170.13
201304,171.4
201305,169.23
201306,163.28
201307,162.23
201308,157.77
201309,153.34
201310,156.07
201311,154.6
201312,150.58
201401,144.0
201402,144.95
201403,144.88
201404,152.45
201405,155.59
201406,154.74
201407,155.92
201408,154.75
201409,154.19
201410,156.41
201411,161.02
201412,158.9
201501,164.65
201502,158.41
201503,155.36
201504,152.71
201505,150.91
201506,147.35
201507,149.85
201508,142.9
201509,136.45
201510,141.9
201511,149.83
201512,147.47
201601,148.46
201602,149.25
201603,149.89
201604,151.09
201605,146.9
201606,149.25
201607,150.5
201608,148.5
201609,148.06
201610,146.67
201611,140.52
201612,135.89
201701,129.17
201702,132.02
201703,132.43
201704,133.65
201705,135.12
201706,135.09
201707,132.08
201708,132.36
201709,132.94
201710,129.29
201711,124.02
201712,125.38
201801,125.95
201802,124.87
201803,122.31
201804,119.52
201805,114.32
201806,113.39
201807,111.54
201808,92.64
201809,91.61
201810,103.02
201811,111.42
201812,111.62
201901,111.49
201902,113.34
201903,109.77
201904,106.1
201905,102.72
201906,106.22
201907,110.82
201908,113.38
201909,113.84
201910,113.48
201911,114.65
201912,112.28
202001,111.94
202002,110.95
202003,108.26
202004,102.74
202005,102.8
202006,102.98
202007,101.42
202008,94.77
202009,92.25
202010,89.27
202011,90.14
202012,92.48
202101,97.2
202102,102.1
202103,96.42
202104,91.59
202105,88.58
202106,87.86
202107,90.87
202108,93.03
202109,92.93
202110,88.4
202111,78.83
202112,70.69
202201,78.27
202202,80.8
202203,80.83
202204,85.54
202205,83.85
202206,80.32
202207,81.59
202208,80.21
202209,82.86
202210,85.29
202211,85.27
202212,83.78
202301,87.0
202302,89.6
202303,91.02
202304,90.24
202305,88.82
202306,77.15
202307,75.0
202308,81.44
202309,86.25
202310,87.05
202311,85.86
202312,85.9
202401,88.82
202402,90.81
202403,89.74
202404,92.56
202405,95.22
202406,95.85
202407,97.29
202408,95.79
202409,96.69
202410,100.22
202411,104.21
202412,104.51
202501,108.74
202502,107.65
202503,104.84
202504,102.9
202505,101.54
202506,99.68
202507,98.8
202508,99.62
202509,101.02
202510,102.6
202511,102.96
202512,101.72
202601,104.89
202602,105.26
202603,107.47
202604,108.85
202605,108.41
