DATES,GDP
01/03/2002,11552.2
01/06/2002,11671.3
01/09/2002,11770.7
01/12/2002,11696.5
01/03/2003,11798.6
01/06/2003,11945.2
01/09/2003,12175.1
01/12/2003,12298.8
01/03/2004,12444.1
01/06/2004,12645.4
01/09/2004,12741.4
01/12/2004,12887.3
01/03/2005,13017.4
01/06/2005,13138.0
01/09/2005,13270.5
01/12/2005,13387.3
01/03/2006,13512.6
01/06/2006,13571.5
01/09/2006,13688.7
01/12/2006,13788.1
01/03/2007,13830.0
01/06/2007,14025.0
01/09/2007,14065.4
01/12/2007,13939.3
01/03/2008,13959.4
01/06/2008,13993.0
01/09/2008,13773.3
01/12/2008,13531.4
01/03/2009,13254.6
01/06/2009,13290.5
01/09/2009,13461.9
01/12/2009,13630.7
01/03/2010,13791.4
01/06/2010,13995.9
01/09/2010,14111.7
01/12/2010,14311.3
01/03/2011,14364.5
01/06/2011,14485.5
01/09/2011,14585.3
01/12/2011,14783.8
01/03/2012,14961.5
01/06/2012,15001.4
01/09/2012,15185.1
01/12/2012,15198.9
01/03/2013,15302.4
01/06/2013,15508.9
01/09/2013,15688.0
01/12/2013,15898.4
01/03/2014,15896.4
01/06/2014,16224.8
01/09/2014,16381.7
01/12/2014,16486.3
01/03/2015,16707.9
01/06/2015,16844.7
01/09/2015,16893.9
01/12/2015,16981.4
01/03/2016,17077.9
01/06/2016,17187.6
01/09/2016,17316.6
01/12/2016,17463.2
01/03/2017,17614.4
01/06/2017,17796.8
01/09/2017,17946.8
01/12/2017,18101.5
01/03/2018,18327.3
01/06/2018,18561.6
01/09/2018,18711.0
01/12/2018,18714.8
01/03/2019,18927.7
01/06/2019,19091.7
01/09/2019,19183.1
01/12/2019,19243.5
01/03/2020,19011.0
01/06/2020,17303.2
01/09/2020,18767.5
01/12/2020,19175.5
01/03/2021,19689.7
01/06/2021,20055.2
01/09/2021,20266.6
01/12/2021,20712.7
01/03/2022,20553.0
01/06/2022,20428.5
01/09/2022,20727.7
01/12/2022,20897.2
01/03/2023,21082.3
01/06/2023,21391.2
01/09/2023,21598.2
01/12/2023,21821.6
01/03/2024,22066.2
01/06/2024,22302.7
01/09/2024,22536.5
01/12/2024,22709.7
01/03/2025,23548.2
01/06/2025,23771.0
01/09/2025,24026.8
01/12/2025,24055.7
01/03/2026,24152.7
