DATES,STX
07/07/2026,52924.56
06/07/2026,53055.91
02/07/2026,52900.07
01/07/2026,52305.24
30/06/2026,52319.2
29/06/2026,52182.74
26/06/2026,51876.11
25/06/2026,51920.62
24/06/2026,51848.9
23/06/2026,51666.84
22/06/2026,51712.71
18/06/2026,51564.7
17/06/2026,51492.55
16/06/2026,51999.67
15/06/2026,51671.03
12/06/2026,51202.26
11/06/2026,50848.75
10/06/2026,49918.78
09/06/2026,50872.11
08/06/2026,50786.01
05/06/2026,50866.78
04/06/2026,51561.93
03/06/2026,50687.07
02/06/2026,51307.79
01/06/2026,51078.88
29/05/2026,51032.46
28/05/2026,50668.97
27/05/2026,50644.28
26/05/2026,50461.68
22/05/2026,50579.7
21/05/2026,50285.66
20/05/2026,50009.35
19/05/2026,49363.88
18/05/2026,49686.12
15/05/2026,49526.17
14/05/2026,50063.46
13/05/2026,49693.2
12/05/2026,49760.56
11/05/2026,49704.47
08/05/2026,49609.16
07/05/2026,49596.97
06/05/2026,49910.59
05/05/2026,49298.25
04/05/2026,48941.9
01/05/2026,49499.27
30/04/2026,49652.14
29/04/2026,48861.81
28/04/2026,49141.93
27/04/2026,49167.79
24/04/2026,49230.71
23/04/2026,49310.32
22/04/2026,49490.03
21/04/2026,49149.38
20/04/2026,49442.56
17/04/2026,49447.43
16/04/2026,48578.72
15/04/2026,48463.72
14/04/2026,48535.99
13/04/2026,48218.25
10/04/2026,47916.57
09/04/2026,48185.8
08/04/2026,47909.92
07/04/2026,46584.46
06/04/2026,46669.88
02/04/2026,46504.67
01/04/2026,46565.74
31/03/2026,46341.51
30/03/2026,45216.14
27/03/2026,45166.64
26/03/2026,45960.11
25/03/2026,46429.49
24/03/2026,46124.06
23/03/2026,46208.47
20/03/2026,45577.47
19/03/2026,46021.43
18/03/2026,46225.15
17/03/2026,46993.26
16/03/2026,46946.41
13/03/2026,46558.47
12/03/2026,46677.85
11/03/2026,47417.27
10/03/2026,47706.51
09/03/2026,47740.8
06/03/2026,47501.55
05/03/2026,47954.74
04/03/2026,48739.41
03/03/2026,48501.27
02/03/2026,48904.78
27/02/2026,48977.92
26/02/2026,49499.2
25/02/2026,49482.15
24/02/2026,49174.5
23/02/2026,48804.06
20/02/2026,49625.97
19/02/2026,49395.16
18/02/2026,49662.66
17/02/2026,49533.19
13/02/2026,49500.93
12/02/2026,49451.98
11/02/2026,50121.4
10/02/2026,50188.14
09/02/2026,50135.87
06/02/2026,50115.67
05/02/2026,48908.72
04/02/2026,49501.3
03/02/2026,49240.99
02/02/2026,49407.66
30/01/2026,48892.47
29/01/2026,49071.56
28/01/2026,49015.6
27/01/2026,49003.41
26/01/2026,49412.4
23/01/2026,49098.71
22/01/2026,49384.01
21/01/2026,49077.23
20/01/2026,48488.59
16/01/2026,49359.33
15/01/2026,49442.44
14/01/2026,49149.63
13/01/2026,49191.99
12/01/2026,49590.2
09/01/2026,49504.07
08/01/2026,49266.11
07/01/2026,48996.08
06/01/2026,49462.08
05/01/2026,48977.18
02/01/2026,48382.39
31/12/2025,48063.29
30/12/2025,48367.06
29/12/2025,48461.93
26/12/2025,48710.97
25/12/2025,48731.16
24/12/2025,48731.16
23/12/2025,48442.41
22/12/2025,48362.68
19/12/2025,48134.89
18/12/2025,47951.85
17/12/2025,47885.97
16/12/2025,48114.26
15/12/2025,48416.56
12/12/2025,48458.05
11/12/2025,48704.01
10/12/2025,48057.75
09/12/2025,47560.29
08/12/2025,47739.32
05/12/2025,47954.99
04/12/2025,47850.94
03/12/2025,47882.9
02/12/2025,47474.46
01/12/2025,47289.33
28/11/2025,47716.42
26/11/2025,47427.12
25/11/2025,47112.45
24/11/2025,46448.27
21/11/2025,46245.41
20/11/2025,45752.26
19/11/2025,46138.77
18/11/2025,46091.74
17/11/2025,46590.24
14/11/2025,47147.48
13/11/2025,47457.22
12/11/2025,48254.82
11/11/2025,47927.96
10/11/2025,47368.63
07/11/2025,46987.1
06/11/2025,46912.3
05/11/2025,47311.0
04/11/2025,47085.24
03/11/2025,47336.68
31/10/2025,47562.87
30/10/2025,47522.12
29/10/2025,47632.0
28/10/2025,47706.37
27/10/2025,47544.59
24/10/2025,47207.12
23/10/2025,46734.61
22/10/2025,46590.41
21/10/2025,46924.74
20/10/2025,46706.58
17/10/2025,46190.61
16/10/2025,45952.24
15/10/2025,46253.31
14/10/2025,46270.46
13/10/2025,46067.58
10/10/2025,45479.6
09/10/2025,46358.42
08/10/2025,46601.78
07/10/2025,46602.98
06/10/2025,46694.97
03/10/2025,46758.28
02/10/2025,46519.72
01/10/2025,46441.1
30/09/2025,46397.89
29/09/2025,46316.07
26/09/2025,46247.29
25/09/2025,45947.32
24/09/2025,46121.28
23/09/2025,46292.78
22/09/2025,46381.54
19/09/2025,46315.27
18/09/2025,46142.42
17/09/2025,46018.32
16/09/2025,45757.9
15/09/2025,45883.45
12/09/2025,45834.22
11/09/2025,46108.0
10/09/2025,45490.92
09/09/2025,45711.34
08/09/2025,45514.95
05/09/2025,45400.86
04/09/2025,45621.29
03/09/2025,45271.23
02/09/2025,45295.81
29/08/2025,45544.88
28/08/2025,45636.9
27/08/2025,45565.23
26/08/2025,45418.07
25/08/2025,45282.47
22/08/2025,45631.74
21/08/2025,44785.5
20/08/2025,44938.31
19/08/2025,44922.27
18/08/2025,44911.82
15/08/2025,44946.12
14/08/2025,44911.26
13/08/2025,44922.27
