DATES,GDP
01/03/2002,0.0087
01/06/2002,0.0207
01/09/2002,0.0235
01/12/2002,0.018000000000000002
01/03/2003,0.0213
01/06/2003,0.0254
01/09/2003,0.0364
01/12/2003,0.0496
01/03/2004,0.0464
01/06/2004,0.0377
01/09/2004,0.0461
01/12/2004,0.0478
01/03/2005,0.0381
01/06/2005,0.0381
01/09/2005,0.0434
01/12/2005,0.0393
01/03/2006,0.0379
01/06/2006,0.0325
01/09/2006,0.0277
01/12/2006,0.029900000000000003
01/03/2007,0.023700000000000002
01/06/2007,0.0333
01/09/2007,0.0277
01/12/2007,0.025099999999999997
01/03/2008,0.0196
01/06/2008,0.015
01/09/2008,0.0008
01/12/2008,-0.0189
01/03/2009,-0.0332
01/06/2009,-0.041299999999999996
01/09/2009,-0.03
01/12/2009,-0.0022
01/03/2010,0.0254
01/06/2010,0.0305
01/09/2010,0.0336
01/12/2010,0.0278
01/03/2011,0.026600000000000002
01/06/2011,0.0316
01/09/2011,0.026699999999999998
01/12/2011,0.0322
01/03/2012,0.0414
01/06/2012,0.0355
01/09/2012,0.0278
01/12/2012,0.0278
01/03/2013,0.0155
01/06/2013,0.0158
01/09/2013,0.0179
01/12/2013,0.0274
01/03/2014,0.027200000000000002
01/06/2014,0.0256
01/09/2014,0.029500000000000002
01/12/2014,0.0385
01/03/2015,0.0385
01/06/2015,0.0321
01/09/2015,0.0313
01/12/2015,0.0197
01/03/2016,0.0181
01/06/2016,0.0174
01/09/2016,0.0152
01/12/2016,0.0225
01/03/2017,0.0195
01/06/2017,0.0223
01/09/2017,0.022799999999999997
01/12/2017,0.0229
01/03/2018,0.0256
01/06/2018,0.0317
01/09/2018,0.0317
01/12/2018,0.0311
01/03/2019,0.0317
01/06/2019,0.0282
01/09/2019,0.0235
01/12/2019,0.025
01/03/2020,-0.006999999999999999
01/06/2020,-0.1025
01/09/2020,-0.023399999999999997
01/12/2020,-0.01
01/03/2021,0.035699999999999996
01/06/2021,0.12369999999999999
01/09/2021,0.05
01/12/2021,0.0541
01/03/2022,0.0388
01/06/2022,0.0189
01/09/2022,0.0189
01/12/2022,0.009000000000000001
01/03/2023,0.0256
01/06/2023,0.0271
01/09/2023,0.029500000000000002
01/12/2023,0.0305
01/03/2024,0.0296
01/06/2024,0.031
01/09/2024,0.0296
01/12/2024,0.0252
01/03/2025,0.0236
01/06/2025,0.0223
01/09/2025,0.024700000000000003
01/12/2025,0.0179
01/03/2026,0.0084
