"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.07.2026","9.690,63","9.916,02","9.916,02","9.676,71","","-2,47%"
"07.07.2026","9.936,50","9.808,01","9.969,12","9.733,49","","1,55%"
"06.07.2026","9.784,99","9.503,97","9.784,99","9.503,97","","4,64%"
"01.07.2026","9.350,84","9.390,36","9.408,78","9.344,90","","-0,16%"
"30.06.2026","9.365,49","9.289,54","9.466,29","9.289,21","","0,88%"
"29.06.2026","9.283,49","9.506,55","9.512,37","9.246,91","","-4,10%"
"25.06.2026","9.680,20","9.651,88","9.706,50","9.608,08","","0,36%"
"24.06.2026","9.645,83","9.700,37","9.707,39","9.634,15","","-0,54%"
"23.06.2026","9.697,77","9.876,37","9.889,57","9.697,44","","-1,70%"
"22.06.2026","9.865,97","9.948,33","9.952,32","9.865,97","","-0,83%"
"17.06.2026","9.948,89","9.781,54","9.952,06","9.745,38","","2,15%"
"16.06.2026","9.739,36","9.795,49","9.812,21","9.710,38","","-0,97%"
"15.06.2026","9.834,49","9.811,31","9.874,37","9.808,59","","2,67%"
"11.06.2026","9.578,42","9.535,02","9.638,24","9.488,49","","-0,06%"
"10.06.2026","9.584,31","9.745,07","9.771,04","9.576,03","","-1,64%"
"09.06.2026","9.744,59","9.612,92","9.762,09","9.612,92","","1,37%"
"08.06.2026","9.613,25","9.610,24","9.700,08","9.524,55","","-0,82%"
"04.06.2026","9.692,39","9.661,65","9.699,46","9.621,92","","0,45%"
"03.06.2026","9.648,64","9.675,15","9.730,03","9.611,70","","-0,19%"
"02.06.2026","9.667,03","9.632,72","9.736,66","9.632,72","","0,53%"
"01.06.2026","9.616,33","9.819,71","9.851,22","9.613,16","","-0,78%"
"25.05.2026","9.691,92","9.908,63","9.944,50","9.691,92","","0,48%"
"21.05.2026","9.645,92","9.733,04","9.733,04","9.645,19","","-0,47%"
"20.05.2026","9.691,86","9.855,65","9.860,10","9.691,86","","-1,37%"
"19.05.2026","9.826,86","9.698,33","9.834,11","9.698,33","","1,89%"
"18.05.2026","9.644,59","9.701,76","9.747,47","9.605,37","","-1,90%"
"14.05.2026","9.831,33","9.956,66","9.961,02","9.819,95","","-1,27%"
"13.05.2026","9.957,41","10.167,92","10.181,50","9.891,78","","-2,04%"
"12.05.2026","10.164,78","10.345,46","10.408,13","10.119,89","","-1,59%"
"11.05.2026","10.328,49","10.372,21","10.453,84","10.308,75","","0,98%"
"06.05.2026","10.228,29","10.089,79","10.351,81","10.089,79","","1,95%"
"05.05.2026","10.032,17","9.829,29","10.049,14","9.731,58","","2,19%"
"04.05.2026","9.817,36","9.955,14","9.984,56","9.808,97","","-0,09%"
"30.04.2026","9.826,55","9.996,68","10.001,36","9.826,55","","-1,68%"
"29.04.2026","9.994,48","9.942,69","10.005,68","9.914,91","","0,52%"
"28.04.2026","9.942,69","10.148,44","10.148,44","9.942,69","","-1,43%"
"27.04.2026","10.086,52","10.012,15","10.177,03","10.012,15","","0,65%"
"23.04.2026","10.021,70","9.924,36","10.059,56","9.910,24","","1,12%"
"22.04.2026","9.910,76","10.050,48","10.079,89","9.910,76","","-1,21%"
"21.04.2026","10.032,35","10.093,08","10.102,30","10.006,60","","-0,36%"
"20.04.2026","10.069,00","10.101,72","10.155,27","9.911,98","","0,91%"
"16.04.2026","9.978,33","9.817,70","9.978,33","9.817,70","","2,03%"
"15.04.2026","9.779,56","9.585,95","9.787,68","9.585,95","","2,02%"
"14.04.2026","9.585,95","9.395,81","9.597,20","9.395,81","","2,62%"
"09.04.2026","9.341,21","9.159,79","9.404,21","9.107,76","","1,46%"
"08.04.2026","9.206,47","9.032,68","9.206,47","9.026,85","","4,98%"
"07.04.2026","8.769,54","8.834,33","8.882,62","8.769,54","","-3,77%"
"06.04.2026","9.113,17","9.083,70","9.162,27","9.042,51","","2,91%"
"02.04.2026","8.855,81","8.824,03","8.927,44","8.759,79","","-0,77%"
"01.04.2026","8.924,82","8.922,15","8.930,70","8.790,90","","3,38%"
"31.03.2026","8.632,61","8.625,37","8.751,27","8.569,12","","0,39%"
"30.03.2026","8.599,09","8.887,37","8.925,01","8.564,43","","-4,25%"
"26.03.2026","8.980,95","9.077,19","9.080,82","8.980,95","","-0,86%"
"25.03.2026","9.058,65","8.940,23","9.149,41","8.932,40","","1,71%"
"24.03.2026","8.906,12","9.064,57","9.077,28","8.906,12","","-3,13%"
"18.03.2026","9.194,21","8.783,25","9.194,21","8.782,35","","6,13%"
"17.03.2026","8.662,99","8.536,33","8.732,67","8.536,33","","2,02%"
"16.03.2026","8.491,23","8.745,06","8.752,65","8.458,16","","-3,61%"
"12.03.2026","8.809,22","9.061,70","9.091,82","8.809,22","","-1,54%"
"11.03.2026","8.947,36","9.262,56","9.299,88","8.940,27","","-3,35%"
"10.03.2026","9.257,20","8.979,88","9.257,20","8.956,84","","4,55%"
"09.03.2026","8.854,66","8.836,84","8.882,42","8.593,67","","-2,69%"
"05.03.2026","9.099,27","8.831,39","9.173,37","8.831,39","","3,15%"
"04.03.2026","8.821,04","8.978,37","8.978,37","8.230,72","","-1,75%"
"03.03.2026","8.978,37","9.295,85","9.295,85","8.978,37","","-3,56%"
"02.03.2026","9.309,71","9.446,57","9.497,38","9.309,71","","-3,81%"
"26.02.2026","9.678,28","9.622,73","9.683,10","9.507,53","","0,09%"
"25.02.2026","9.669,22","9.955,91","9.990,69","9.458,46","","-2,88%"
"24.02.2026","9.955,92","10.089,44","10.095,00","9.953,74","","-1,01%"
"23.02.2026","10.057,13","9.770,64","10.057,13","9.762,69","","1,04%"
"19.02.2026","9.953,85","10.221,72","10.260,63","9.930,31","","-2,49%"
"18.02.2026","10.207,94","10.267,75","10.276,32","10.131,29","","-0,33%"
"17.02.2026","10.241,28","10.251,09","10.304,78","10.153,51","","0,99%"
"16.02.2026","10.141,02","10.249,02","10.399,97","10.119,78","","2,17%"
"12.02.2026","9.925,97","9.699,57","9.925,97","9.672,33","","2,59%"
"11.02.2026","9.675,06","9.861,42","9.935,65","9.675,06","","-1,89%"
