DATES,Ryr
09/07/2026,22.620
08/07/2026,22.620
07/07/2026,22.570
06/07/2026,22.590
03/07/2026,22.550
02/07/2026,22.550
01/07/2026,22.550
30/06/2026,22.540
29/06/2026,22.502
26/06/2026,22.500
25/06/2026,22.500
24/06/2026,22.500
23/06/2026,22.510
22/06/2026,22.460
19/06/2026,22.350
18/06/2026,22.350
17/06/2026,22.350
16/06/2026,22.312
15/06/2026,22.258
12/06/2026,22.140
11/06/2026,22.140
10/06/2026,22.140
09/06/2026,22.110
08/06/2026,22.130
05/06/2026,22.080
04/06/2026,22.080
03/06/2026,22.000
02/06/2026,21.980
01/06/2026,21.790
29/05/2026,21.710
28/05/2026,21.710
27/05/2026,21.710
26/05/2026,21.710
25/05/2026,21.710
22/05/2026,21.580
21/05/2026,21.580
20/05/2026,21.550
19/05/2026,21.430
18/05/2026,21.410
15/05/2026,21.400
14/05/2026,21.400
13/05/2026,21.350
12/05/2026,21.300
11/05/2026,21.220
08/05/2026,21.200
07/05/2026,21.200
06/05/2026,21.200
05/05/2026,21.140
04/05/2026,21.050
30/04/2026,21.120
29/04/2026,21.080
28/04/2026,21.040
27/04/2026,20.980
24/04/2026,20.930
23/04/2026,20.930
22/04/2026,20.930
21/04/2026,20.930
20/04/2026,20.890
17/04/2026,20.910
16/04/2026,20.910
15/04/2026,20.920
14/04/2026,20.900
13/04/2026,20.910
10/04/2026,20.910
09/04/2026,20.910
08/04/2026,20.820
07/04/2026,20.810
06/04/2026,20.810
03/04/2026,20.870
02/04/2026,20.870
01/04/2026,20.870
31/03/2026,20.890
30/03/2026,20.540
27/03/2026,20.480
26/03/2026,20.480
25/03/2026,20.490
24/03/2026,20.480
23/03/2026,20.510
20/03/2026,20.510
19/03/2026,20.510
18/03/2026,20.510
17/03/2026,20.460
16/03/2026,20.420
13/03/2026,20.410
12/03/2026,20.410
11/03/2026,20.400
10/03/2026,20.330
09/03/2026,20.310
06/03/2026,20.300
05/03/2026,20.300
04/03/2026,20.150
03/03/2026,20.020
02/03/2026,19.980
27/02/2026,20.000
26/02/2026,20.000
25/02/2026,20.020
24/02/2026,20.020
23/02/2026,19.960
20/02/2026,19.990
19/02/2026,19.990
18/02/2026,20.000
17/02/2026,20.020
16/02/2026,20.020
13/02/2026,20.000
12/02/2026,20.000
11/02/2026,20.010
10/02/2026,20.040
09/02/2026,20.050
06/02/2026,20.060
05/02/2026,20.060
04/02/2026,19.980
03/02/2026,20.000
02/02/2026,19.970
30/01/2026,19.900
29/01/2026,19.900
28/01/2026,19.930
27/01/2026,19.900
26/01/2026,19.980
23/01/2026,19.930
22/01/2026,19.930
21/01/2026,19.890
20/01/2026,19.900
19/01/2026,19.940
16/01/2026,19.830
15/01/2026,19.830
14/01/2026,19.830
13/01/2026,19.810
12/01/2026,19.840
09/01/2026,19.810
08/01/2026,19.810
07/01/2026,19.790
06/01/2026,19.820
05/01/2026,19.830
02/01/2026,19.840
01/01/2026,19.840
31/12/2025,19.840
30/12/2025,19.840
29/12/2025,19.880
25/12/2025,19.840
24/12/2025,19.840
23/12/2025,19.810
22/12/2025,19.910
19/12/2025,19.980
18/12/2025,19.980
17/12/2025,20.010
16/12/2025,20.010
15/12/2025,20.040
12/12/2025,20.020
11/12/2025,20.020
10/12/2025,20.050
09/12/2025,20.030
08/12/2025,19.990
05/12/2025,20.040
04/12/2025,20.040
03/12/2025,20.050
02/12/2025,20.060
01/12/2025,20.070
28/11/2025,19.900
27/11/2025,19.900
26/11/2025,19.880
25/11/2025,19.880
24/11/2025,19.830
21/11/2025,19.790
20/11/2025,19.790
19/11/2025,19.850
18/11/2025,19.910
17/11/2025,20.060
14/11/2025,20.170
13/11/2025,20.170
12/11/2025,20.110
11/11/2025,20.070
10/11/2025,20.110
07/11/2025,20.210
06/11/2025,20.210
05/11/2025,20.220
04/11/2025,20.260
03/11/2025,20.350
31/10/2025,20.400
30/10/2025,20.400
29/10/2025,20.410
28/10/2025,20.400
27/10/2025,20.250
24/10/2025,20.370
23/10/2025,20.370
22/10/2025,20.370
