DATES,STX
08/07/2026,9690.63
07/07/2026,9936.50
06/07/2026,9784.99
01/07/2026,9350.84
30/06/2026,9365.49
29/06/2026,9283.49
25/06/2026,9680.20
24/06/2026,9645.83
23/06/2026,9697.77
22/06/2026,9865.97
17/06/2026,9948.89
16/06/2026,9739.36
15/06/2026,9834.49
11/06/2026,9578.42
10/06/2026,9584.31
09/06/2026,9744.59
08/06/2026,9613.25
04/06/2026,9692.39
03/06/2026,9648.64
02/06/2026,9667.03
01/06/2026,9616.33
25/05/2026,9691.92
21/05/2026,9645.92
20/05/2026,9691.86
19/05/2026,9826.86
18/05/2026,9644.59
14/05/2026,9831.33
13/05/2026,9957.41
12/05/2026,10164.78
11/05/2026,10328.49
06/05/2026,10228.29
05/05/2026,10032.17
04/05/2026,9817.36
30/04/2026,9826.55
29/04/2026,9994.48
28/04/2026,9942.69
27/04/2026,10086.52
23/04/2026,10021.70
22/04/2026,9910.76
21/04/2026,10032.35
20/04/2026,10069.00
16/04/2026,9978.33
15/04/2026,9779.56
14/04/2026,9585.95
09/04/2026,9341.21
08/04/2026,9206.47
07/04/2026,8769.54
06/04/2026,9113.17
02/04/2026,8855.81
01/04/2026,8924.82
31/03/2026,8632.61
30/03/2026,8599.09
26/03/2026,8980.95
25/03/2026,9058.65
24/03/2026,8906.12
18/03/2026,9194.21
17/03/2026,8662.99
16/03/2026,8491.23
12/03/2026,8809.22
11/03/2026,8947.36
10/03/2026,9257.20
09/03/2026,8854.66
05/03/2026,9099.27
04/03/2026,8821.04
03/03/2026,8978.37
02/03/2026,9309.71
26/02/2026,9678.28
25/02/2026,9669.22
24/02/2026,9955.92
23/02/2026,10057.13
19/02/2026,9953.85
18/02/2026,10207.94
17/02/2026,10241.28
16/02/2026,10141.02
12/02/2026,9925.97
11/02/2026,9675.06
10/02/2026,9861.42
09/02/2026,9857.57
05/02/2026,9900.37
04/02/2026,9884.09
03/02/2026,9662.58
02/02/2026,9414.08
28/01/2026,9595.14
27/01/2026,9519.93
26/01/2026,9441.02
22/01/2026,9215.03
21/01/2026,9159.03
20/01/2026,9163.67
19/01/2026,9035.86
15/01/2026,8748.98
14/01/2026,8523.00
13/01/2026,8693.10
12/01/2026,8411.87
08/01/2026,7888.36
06/01/2026,7813.15
05/01/2026,7646.06
31/12/2025,7831.88
30/12/2025,7826.99
29/12/2025,7860.49
25/12/2025,7775.26
24/12/2025,7874.68
23/12/2025,7833.47
22/12/2025,7744.30
18/12/2025,7727.81
17/12/2025,7956.58
16/12/2025,8157.02
15/12/2025,8169.34
11/12/2025,8095.95
10/12/2025,8099.59
09/12/2025,8120.70
08/12/2025,8198.25
04/12/2025,8190.09
03/12/2025,8127.37
02/12/2025,7856.69
01/12/2025,7769.80
27/11/2025,7715.08
26/11/2025,7593.56
25/11/2025,7686.67
24/11/2025,7519.15
20/11/2025,7706.43
19/11/2025,7765.68
18/11/2025,7775.70
17/11/2025,7879.21
13/11/2025,7731.26
12/11/2025,7808.98
11/11/2025,7845.04
10/11/2025,7851.75
06/11/2025,7797.64
05/11/2025,7600.57
04/11/2025,7550.17
03/11/2025,7454.73
30/10/2025,7360.67
29/10/2025,7321.15
28/10/2025,7369.93
27/10/2025,7283.71
23/10/2025,7212.68
22/10/2025,7222.53
21/10/2025,7227.34
20/10/2025,7305.03
16/10/2025,7273.51
15/10/2025,7308.48
14/10/2025,7227.13
13/10/2025,7224.16
08/10/2025,7310.56
07/10/2025,7231.00
06/10/2025,7210.25
02/10/2025,7173.10
01/10/2025,7098.30
30/09/2025,7061.66
29/09/2025,7001.94
25/09/2025,6860.81
24/09/2025,6968.51
23/09/2025,6785.91
22/09/2025,6763.75
18/09/2025,6872.10
17/09/2025,6757.02
16/09/2025,6693.00
15/09/2025,6737.42
12/09/2025,6629.97
11/09/2025,6629.97
10/09/2025,6581.84
09/09/2025,6544.27
08/09/2025,6591.11
03/09/2025,6604.90
02/09/2025,6635.55
01/09/2025,6617.65
28/08/2025,6737.48
27/08/2025,6781.28
26/08/2025,6671.98
25/08/2025,6784.98
21/08/2025,6758.75
20/08/2025,6784.92
19/08/2025,6870.41
18/08/2025,6797.79
14/08/2025,6775.51
13/08/2025,6867.00
12/08/2025,6866.96
11/08/2025,6836.40
07/08/2025,6905.10
06/08/2025,6844.76
05/08/2025,6751.64
04/08/2025,6576.65
31/07/2025,6418.38
30/07/2025,6417.69
29/07/2025,6368.63
28/07/2025,6405.10
23/07/2025,6322.11
22/07/2025,6222.11
21/07/2025,6289.56
17/07/2025,6200.94
16/07/2025,6086.74
15/07/2025,6190.52
14/07/2025,6114.91
11/07/2025,5963.80
10/07/2025,5963.80
09/07/2025,5918.10
07/07/2025,5892.44
02/07/2025,5901.29
01/07/2025,5911.33
30/06/2025,5858.84
25/06/2025,5855.91
24/06/2025,5789.48
23/06/2025,5541.00
19/06/2025,5452.50
