"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.07.2026","531,65","533,46","534,07","527,17","","-1,17%"
"07.07.2026","537,94","537,43","538,34","534,79","","0,13%"
"06.07.2026","537,24","535,73","537,78","534,05","","0,23%"
"03.07.2026","536,01","530,48","536,01","530,28","","1,41%"
"02.07.2026","528,58","528,19","530,32","528,04","","0,10%"
"01.07.2026","528,07","524,34","531,50","524,34","","0,72%"
"30.06.2026","524,27","530,51","531,90","520,00","","-0,94%"
"29.06.2026","529,26","531,57","531,91","527,54","","-0,58%"
"26.06.2026","532,34","531,78","537,31","525,07","","0,27%"
"25.06.2026","530,91","544,73","547,63","529,28","","-2,20%"
"24.06.2026","542,83","545,64","548,09","542,83","","-0,43%"
"23.06.2026","545,20","549,96","550,36","541,72","","-1,04%"
"22.06.2026","550,94","549,54","553,46","548,96","","0,47%"
"19.06.2026","548,38","560,38","560,38","548,38","","-2,16%"
"18.06.2026","560,48","546,67","560,48","545,05","","2,90%"
"17.06.2026","544,68","535,49","544,68","532,89","","1,96%"
"16.06.2026","534,23","533,16","538,88","531,58","","2,61%"
"12.06.2026","520,64","499,12","520,64","498,67","","6,18%"
"11.06.2026","490,32","492,18","492,18","487,29","","-0,49%"
"10.06.2026","492,74","494,11","494,82","490,84","","-0,52%"
"09.06.2026","495,34","495,27","497,97","493,84","","1,08%"
"08.06.2026","490,04","489,74","491,56","485,98","","-1,03%"
"05.06.2026","495,12","493,59","499,58","493,43","","0,53%"
"04.06.2026","492,53","493,91","496,81","491,14","","-0,06%"
"03.06.2026","492,84","496,53","497,08","488,48","","-0,67%"
"02.06.2026","496,16","500,68","503,66","496,16","","-0,64%"
"01.06.2026","499,34","507,35","509,00","499,34","","-1,60%"
"25.05.2026","507,48","511,03","515,63","507,48","","0,80%"
"22.05.2026","503,45","502,04","503,95","500,18","","0,61%"
"21.05.2026","500,42","501,55","503,49","499,48","","0,54%"
"20.05.2026","497,75","503,55","503,55","496,83","","-0,92%"
"19.05.2026","502,36","500,07","507,35","500,07","","1,19%"
"18.05.2026","496,46","504,10","504,14","491,82","","-2,33%"
"15.05.2026","508,28","511,80","511,81","505,53","","-0,58%"
"14.05.2026","511,27","515,33","516,53","510,82","","-0,28%"
"13.05.2026","512,73","517,08","518,30","509,47","","0,06%"
"12.05.2026","512,43","522,95","522,95","512,43","","-1,80%"
"11.05.2026","521,82","528,49","529,33","521,82","","-1,32%"
"08.05.2026","528,79","529,82","530,06","526,95","","-0,69%"
"07.05.2026","532,44","532,77","535,31","530,82","","0,53%"
"06.05.2026","529,63","519,66","532,76","519,66","","2,63%"
"05.05.2026","516,07","513,06","516,22","509,70","","-0,81%"
"04.05.2026","520,27","522,40","527,86","520,27","","0,43%"
"01.05.2026","518,04","518,35","520,21","514,36","","0,49%"
"30.04.2026","515,53","529,99","530,25","515,53","","-2,58%"
"29.04.2026","529,20","529,79","533,52","529,14","","0,34%"
"28.04.2026","527,41","528,78","531,84","526,81","","0,01%"
"27.04.2026","527,37","524,97","531,64","524,85","","0,59%"
"24.04.2026","524,28","519,79","524,28","516,79","","1,04%"
"23.04.2026","518,89","523,03","524,74","518,36","","-0,52%"
"22.04.2026","521,60","532,27","534,36","521,60","","-1,79%"
"21.04.2026","531,13","532,32","536,07","530,74","","0,15%"
"20.04.2026","530,31","538,30","538,30","530,31","","-1,51%"
"17.04.2026","538,43","536,34","539,55","533,20","","0,61%"
"16.04.2026","535,16","536,81","538,62","534,94","","0,37%"
"15.04.2026","533,21","531,77","534,68","529,81","","1,41%"
"14.04.2026","525,80","525,19","529,17","525,19","","1,02%"
"13.04.2026","520,51","522,14","523,55","515,28","","-1,31%"
"10.04.2026","527,42","526,88","528,08","525,01","","0,28%"
"09.04.2026","525,94","530,01","532,76","523,58","","-1,58%"
"08.04.2026","534,40","524,49","550,83","524,49","","7,50%"
"07.04.2026","497,11","503,46","504,30","497,11","","-1,26%"
"06.04.2026","503,47","499,40","506,90","497,59","","0,03%"
"03.04.2026","503,33","503,33","504,55","501,48","","-0,63%"
"02.04.2026","506,53","507,50","508,81","502,51","","-0,99%"
"01.04.2026","511,59","505,63","512,58","505,63","","3,33%"
"31.03.2026","495,09","496,63","502,34","491,71","","0,26%"
"30.03.2026","493,81","505,09","507,60","493,81","","-1,88%"
"27.03.2026","503,26","507,90","511,51","501,31","","-0,34%"
"26.03.2026","504,99","521,78","521,79","504,99","","-3,59%"
"25.03.2026","523,79","504,57","523,79","504,57","","5,43%"
"24.03.2026","496,80","495,92","501,55","488,15","","2,52%"
"23.03.2026","484,59","495,60","495,60","482,04","","-3,20%"
"18.03.2026","500,59","498,63","517,53","498,63","","0,38%"
"17.03.2026","498,68","475,77","499,63","474,52","","3,28%"
"16.03.2026","482,82","483,99","483,99","468,74","","-0,99%"
"13.03.2026","487,66","493,38","497,06","484,29","","-2,78%"
"12.03.2026","501,63","515,03","515,16","500,54","","-4,24%"
"11.03.2026","523,84","541,13","544,92","521,93","","-2,74%"
"10.03.2026","538,58","518,58","547,88","518,01","","1,89%"
"09.03.2026","528,60","526,48","528,60","522,85","","-2,81%"
"06.03.2026","543,88","549,46","552,30","541,61","","-3,19%"
"05.03.2026","561,82","547,84","561,82","547,84","","-1,99%"
"04.03.2026","573,20","577,06","577,06","572,37","","-4,51%"
"27.02.2026","600,30","621,23","621,23","600,30","","-3,19%"
"26.02.2026","620,09","625,72","625,75","619,54","","-1,05%"
"25.02.2026","626,66","627,97","628,58","623,02","","0,07%"
"24.02.2026","626,22","627,96","633,16","623,75","","-0,26%"
"23.02.2026","627,86","617,54","628,65","616,42","","1,85%"
"20.02.2026","616,46","617,50","618,66","613,01","","-0,47%"
"19.02.2026","619,38","633,14","633,48","615,94","","-2,36%"
"18.02.2026","634,34","619,88","634,34","618,14","","2,28%"
"17.02.2026","620,20","620,90","620,90","613,90","","-0,15%"
"16.02.2026","621,11","623,20","623,77","617,51","","-0,30%"
"13.02.2026","623,01","623,93","629,98","619,35","","-0,08%"
"12.02.2026","623,52","619,20","623,52","614,84","","0,69%"
"11.02.2026","619,26","617,91","619,26","615,26","","-0,32%"
"10.02.2026","621,24","619,30","621,85","615,63","","0,23%"
"09.02.2026","619,83","615,44","619,83","614,47","","1,06%"
"06.02.2026","613,35","609,56","613,35","608,98","","0,30%"
"05.02.2026","611,51","608,93","613,63","607,61","","0,29%"
"04.02.2026","609,77","604,33","609,78","601,00","","1,02%"
"03.02.2026","603,60","593,48","603,74","593,48","","1,80%"
"02.02.2026","592,92","580,39","592,92","579,42","","2,15%"
"30.01.2026","580,43","587,06","587,17","580,43","","-1,51%"
"29.01.2026","589,33","593,15","593,67","588,33","","-0,63%"
"28.01.2026","593,05","585,69","593,05","585,69","","1,08%"
"27.01.2026","586,72","577,80","588,17","577,80","","1,30%"
"26.01.2026","579,18","580,84","581,12","569,36","","-0,42%"
"23.01.2026","581,65","582,70","582,70","577,97","","-0,31%"
"22.01.2026","583,47","572,80","583,86","572,80","","2,03%"
"21.01.2026","571,86","570,06","572,93","568,61","","0,14%"
"20.01.2026","571,07","568,98","571,07","567,42","","0,39%"
"19.01.2026","568,83","565,51","569,85","565,29","","0,67%"
"16.01.2026","565,04","559,47","565,04","559,47","","1,10%"
"15.01.2026","558,90","558,06","559,35","554,84","","0,38%"
"14.01.2026","556,79","563,05","564,81","556,32","","-1,07%"
"13.01.2026","562,83","554,82","562,83","553,86","","1,46%"
"12.01.2026","554,75","551,18","554,75","549,68","","0,42%"
"09.01.2026","552,43","556,20","556,20","550,91","","-0,72%"
"08.01.2026","556,44","557,24","557,98","554,26","","-0,29%"
"07.01.2026","558,06","549,64","558,06","548,94","","1,22%"
"06.01.2026","551,31","546,07","551,31","545,91","","1,09%"
"05.01.2026","545,34","545,73","545,73","539,77","","-0,35%"
"02.01.2026","547,28","543,50","547,28","543,26","","0,84%"
"31.12.2025","542,74","539,58","545,93","539,58","","0,49%"
"30.12.2025","540,08","550,74","551,01","538,80","","-2,12%"
"29.12.2025","551,79","549,66","551,79","549,24","","0,35%"
"26.12.2025","549,89","550,48","551,45","549,17","","0,00%"
"25.12.2025","549,90","552,31","552,66","549,90","","-0,48%"
"24.12.2025","552,58","553,38","554,49","551,20","","-0,20%"
"23.12.2025","553,70","551,65","553,70","548,99","","0,32%"
"22.12.2025","551,91","543,56","551,91","543,35","","1,69%"
"19.12.2025","542,72","546,23","546,68","542,52","","-0,57%"
"18.12.2025","545,81","543,67","547,80","542,82","","0,40%"
"17.12.2025","543,63","545,80","546,75","542,66","","-0,46%"
"16.12.2025","546,16","544,12","546,87","544,12","","0,40%"
"15.12.2025","543,99","543,17","545,99","540,41","","0,03%"
"12.12.2025","543,80","544,55","546,18","542,25","","-0,19%"
"11.12.2025","544,86","541,51","544,86","541,34","","0,69%"
"10.12.2025","541,10","540,33","541,69","538,05","","0,16%"
"09.12.2025","540,25","537,31","540,25","534,93","","0,62%"
"08.12.2025","536,92","539,55","539,70","535,72","","-0,49%"
"05.12.2025","539,58","531,82","539,58","531,79","","1,34%"
"04.12.2025","532,46","527,96","533,63","527,49","","1,01%"
"03.12.2025","527,15","516,03","527,15","515,99","","2,53%"
"28.11.2025","514,16","511,59","515,18","509,36","","0,66%"
"27.11.2025","510,81","514,50","515,15","510,81","","-0,49%"
"26.11.2025","513,32","515,60","516,67","511,54","","-0,29%"
"25.11.2025","514,82","517,60","520,41","514,82","","-0,25%"
"24.11.2025","516,12","518,48","519,04","512,49","","-0,27%"
"21.11.2025","517,53","526,11","526,11","515,23","","-1,96%"
"20.11.2025","527,88","525,06","528,45","524,77","","1,00%"
"19.11.2025","522,66","525,97","527,13","521,76","","-0,70%"
"18.11.2025","526,32","528,76","528,76","524,25","","-0,69%"
"17.11.2025","530,00","531,83","532,57","527,13","","-0,39%"
"14.11.2025","532,05","535,62","535,62","530,82","","-0,79%"
"13.11.2025","536,28","541,33","541,36","536,28","","-0,80%"
"12.11.2025","540,62","544,97","545,55","539,71","","-0,78%"
"11.11.2025","544,89","539,39","545,06","538,41","","1,23%"
"10.11.2025","538,25","545,66","546,91","538,25","","-1,35%"
"07.11.2025","545,62","543,92","545,62","541,09","","0,63%"
"06.11.2025","542,22","539,25","543,73","539,25","","0,59%"
"05.11.2025","539,04","544,41","544,47","538,51","","-1,16%"
"04.11.2025","545,39","543,24","547,55","542,38","","0,27%"
