DATES,CPI
31/12/1960,0.018095
31/12/1961,0.018444
31/12/1962,0.018277
31/12/1963,0.018598
31/12/1964,0.018857
31/12/1965,0.019339
31/12/1966,0.019478
31/12/1967,0.019492
31/12/1968,0.019974000000000002
31/12/1969,0.020422
31/12/1970,0.021183
31/12/1971,0.021741999999999997
31/12/1972,0.022364
31/12/1973,0.023635
31/12/1974,0.026381
31/12/1975,0.028484
31/12/1976,0.030468000000000002
31/12/1977,0.032934
31/12/1978,0.035275
31/12/1979,0.042506
31/12/1980,0.050848000000000004
31/12/1981,0.05620599999999999
31/12/1982,0.060608
31/12/1983,0.064821
31/12/1984,0.075035
31/12/1985,0.08188200000000001
31/12/1986,0.092292
31/12/1987,0.12946
31/12/1988,0.175431
31/12/1989,0.31753600000000004
31/12/1990,0.43337200000000003
31/12/1991,0.567792
31/12/1992,0.748672
31/12/1993,1.0926200000000001
31/12/1994,1.86658
31/12/1995,2.9233599999999997
31/12/1996,5.94152
31/12/1997,8.17608
31/12/1998,10.6212
31/12/1999,12.7482
31/12/2000,14.460999999999999
31/12/2001,16.2371
31/12/2002,21.3055
31/12/2003,27.0759
31/12/2004,32.2705
31/12/2005,36.904
31/12/2006,43.1856
31/12/2007,52.8588
31/12/2008,69.1921
31/12/2009,86.5298
31/12/2010,110.052
31/12/2011,140.393
31/12/2012,168.567
31/12/2013,263.29
31/12/2014,443.749
31/12/2015,1246.36
31/12/2016,4665.79
