countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab,DP,bankname_cnbv,pd_source,year,month,equity,bankname_sbs
brazil,abc_brasil,2014-03-01,4087514947.87,12327187883.260002,18401052706.81,,,,,1986349875.68,4087514947.87,16414702831.13,14370945357.195002,,,,,,
brazil,abc_brasil,2014-06-01,4274975267.99,11929836866.28,18236211813.05,,,,,2031399678.78,4274975267.99,16204812134.27,14067324500.274998,,,,,,
brazil,abc_brasil,2014-09-01,5119103356.0,11971868247.5,19218713397.7,,,,,2127741794.2,5119103356.0,17090971603.5,14531419925.5,,,,,,
brazil,abc_brasil,2014-12-01,5291520263.74,13268252608.21,20748318299.7,,,,,2188545427.75,5291520263.74,18559772871.95,15914012740.080002,,,,,,
brazil,abc_brasil,2015-03-01,5672914668.69,15186195636.660004,23135006384.99,,,,,2275896079.64,5672914668.69,20859110305.35,18022652971.005005,,,,,,
brazil,abc_brasil,2015-06-01,5173187754.0,15583597628.87,23091987358.1,,,,,2335201975.23,5173187754.0,20756785382.87,18170191505.87,,,,,,
brazil,abc_brasil,2015-09-01,5129857456.23,18992155807.42,26562827604.18,,,,,2440814340.53,5129857456.23,24122013263.65,21557084535.535004,,,,,,
brazil,abc_brasil,2015-12-01,5057192079.57,16676788118.64,24243638454.16,,,,,2509658255.95,5057192079.57,21733980198.21,19205384158.425,,,,,,
brazil,abc_brasil,2016-03-01,4893948751.71,15935397239.03,23459209785.39,,,,,2629863794.65,4893948751.71,20829345990.74,18382371614.885,,,,,,
brazil,abc_brasil,2016-06-01,5253153519.59,14806905676.31,22748878816.13,,,,,2688819620.23,5253153519.59,20060059195.9,17433482436.105003,,,,,,
brazil,abc_brasil,2016-09-01,5430152594.37,15294093022.260002,23555553265.06,,,,,2831307648.43,5430152594.37,20724245616.63,18009169319.445004,,,,,,
brazil,abc_brasil,2016-12-01,6157841376.93,16641552680.260002,25692611406.81,,,,,2893217349.62,6157841376.93,22799394057.19,19720473368.725,,,,,,
brazil,abc_brasil,2017-03-01,6695407155.81,16469052609.52,26196385013.75,,,,,3031925248.42,6695407155.81,23164459765.33,19816756187.425,,,,,,
brazil,abc_brasil,2017-06-01,7251683872.37,16208358667.61,26549966067.66,,,,,3089923527.68,7251683872.37,23460042539.98,19834200603.795,,,,,,
brazil,abc_brasil,2017-09-01,7752042444.06,16008830342.039995,26989309636.46,,,,,3228436850.36,7752042444.06,23760872786.1,19884851564.07,,,,,,
brazil,abc_brasil,2017-12-01,7996732907.26,17487371666.25,28768434743.6,,,,,3284330170.09,7996732907.26,25484104573.51,21485738119.88,,,,,,
