countryname,bankname,bankname_cnbv,pd_source,date,year,month,tot_asset,total_liab,equity,st_borrow,lt_borrow,net_income,net_rev,prof_margin
mexico,banco_bajio,Banco del Bajío,market,2011-01-31,2011,1,80800.13912900003,70222.387017,10577.752112,70222.387017,0.0,,,
mexico,banco_bajio,Banco Del Bajío,market,2011-12-31,2011,12,89952.04699000002,80106.21051600002,9845.836474,80106.21051600002,0.0,,,
mexico,banco_bajio,Banco del Bajío,market,2012-01-31,2012,1,89519.612083,79589.33334499999,9930.278738,79589.33334499999,0.0,,,
mexico,banco_bajio,Banco del Bajío,market,2012-02-29,2012,2,91397.171485,81444.28091100001,9952.890574,81444.28091100001,0.0,,,
mexico,banco_bajio,Banco del Bajío,market,2012-05-31,2012,5,92760.05265,82649.13209,10110.92056,81783.362617,865.769473,,,
mexico,banco_bajio,Banco del Bajío,market,2012-06-30,2012,6,95185.98658,85018.0402,10167.94638,84146.610095,871.430105,90.00706600000001,303.362486,0.2966980762413715
mexico,banco_bajio,Banco del Bajío,market,2012-07-31,2012,7,94940.073428,84670.07721,10269.996218,83792.75890100001,877.318309,73.51124599999997,320.7853009999999,0.2291602694102246
mexico,banco_bajio,Banco del Bajío,market,2012-08-31,2012,8,95660.459942,85303.841117,10356.618825,84420.594818,883.246299,80.09274999999997,320.05836499999987,0.250244201553676
mexico,banco_bajio,Banco del Bajío,market,2012-09-30,2012,9,96042.896317,85620.700312,10422.196005,84731.679113,889.021199,66.46747000000005,325.6229860000003,0.204124011073346
mexico,banco_bajio,Banco del Bajío,market,2012-10-31,2012,10,98181.094721,87682.616307,10498.478414,86787.588042,895.028265,76.904133,335.63347499999963,0.2291312956790143
mexico,banco_bajio,Banco del Bajío,market,2012-11-30,2012,11,101874.678568,91305.042189,10569.636379,90404.16199,900.880199,70.24566800000002,354.86209800000006,0.1979520168423284
mexico,banco_bajio,Banco del Bajío,market,2012-12-31,2012,12,102812.105716,92191.074483,10621.031233,91284.107087,906.967396,51.65931899999998,358.330978,0.1441664890050337
mexico,banco_bajio,Banco del Bajío,market,2013-01-31,2013,1,106487.223311,95790.580533,10696.642778,94877.48481,913.095723,,,
mexico,banco_bajio,Banco del Bajío,market,2013-02-28,2013,2,104843.134727,94084.774428,10758.360299,93166.107857,918.666571,,,
mexico,banco_bajio,Banco del Bajío,market,2013-04-30,2013,4,109257.392243,98648.3733,10609.018943,97717.452278,930.921022,,,
mexico,banco_bajio,Banco del Bajío,market,2013-05-31,2013,5,110575.584265,99632.383814,10943.200451,98695.172612,937.211202,105.05365799999998,358.01758399999994,0.2934315594956923
mexico,banco_bajio,Banco Del Bajío,market,2013-06-30,2013,6,110618.813667,99569.270518,11049.543149,98625.931579,943.338939,94.01962500000002,366.348141,0.256640103982403
mexico,banco_bajio,Banco del Bajío,market,2013-07-31,2013,7,113316.484234,102156.803795,11159.680439,101207.090768,949.713027,110.61943499999995,382.8147140000001,0.2889633834712004
mexico,banco_bajio,Banco del Bajío,market,2013-08-31,2013,8,113452.305725,102203.79394,11248.511785,101247.663755,956.130185,107.24715400000002,366.9068870000001,0.2923007384159567
mexico,banco_bajio,Banco del Bajío,market,2013-10-31,2013,10,119319.152197,107870.711835,11448.440362,106901.827458,968.884377,,,
mexico,banco_bajio,Banco del Bajío,market,2013-11-30,2013,11,115912.435955,104361.690791,11550.745164,103386.471589,975.219202,102.65722700000003,359.2522780000004,0.2857524733635785
mexico,banco_bajio,Banco Del Bajío,market,2013-12-31,2013,12,113904.701189,102539.725423,11364.975766,101557.91672,981.808703,75.52918899999986,391.875102,0.1927379121932576
mexico,banco_bajio,Banco Del Bajío,market,2014-03-31,2014,3,121836.986938,109992.796041,11844.190897,108991.603169,1001.192872,394.508586,1100.843715,0.3583692949548247
mexico,banco_bajio,Banco del Bajío,market,2014-04-30,2014,4,123109.225495,111111.184063,11998.041432,110103.445124,1007.738939,154.00372099999998,368.31396799999993,0.4181316332808752
mexico,banco_bajio,Banco del Bajío,market,2014-05-31,2014,5,126071.267813,113972.549772,12098.718041,112958.001598,1014.548174,100.60355600000004,381.11907700000006,0.2639688277792507
mexico,banco_bajio,Banco Del Bajío,market,2014-06-30,2014,6,126235.281565,113997.833754,12237.447811,112976.652194,1021.18156,138.53663900000004,380.7366680000002,0.3638647144960568
mexico,banco_bajio,Banco del Bajío,market,2014-07-31,2014,7,133864.965567,121503.66116,12361.304407,120475.579534,1028.081626,123.74418500000002,425.452382,0.2908531958812726
mexico,banco_bajio,Banco del Bajío,market,2014-08-31,2014,8,132525.099351,119792.72785,12732.371501,118757.699534,1035.028316,121.00961700000003,395.6747390000001,0.3058310401766639
mexico,banco_bajio,Banco Del Bajío,market,2014-09-30,2014,9,131599.876269,118730.121562,12869.754707,117688.325955,1041.795607,137.28062699999987,385.908766,0.3557333730014307
mexico,banco_bajio,Banco del Bajío,market,2014-10-31,2014,10,137194.664337,124212.907934,12981.756403,123164.072973,1048.834961,111.74245599999996,414.50130199999967,0.2695828829990021
mexico,banco_bajio,Banco del Bajío,market,2014-11-30,2014,11,137320.522189,124199.957525,13120.564664,123144.265001,1055.692524,138.71124600000007,417.7667620000002,0.3320303542961132
mexico,banco_bajio,Banco Del Bajío,market,2014-12-31,2014,12,133724.519578,120485.053327,13239.466251,119422.227548,1062.825779,118.579252,411.09914500000014,0.2884444140597761
mexico,banco_bajio,Banco del Bajío,market,2015-01-31,2015,1,134075.922153,120715.233221,13360.688932,119645.225938,1070.007283,121.164913,454.607486,0.2665264359505069
mexico,banco_bajio,Banco del Bajío,market,2015-02-28,2015,2,141168.228468,127698.260527,13469.967941,126621.725071,1076.535456,108.335344,382.548919,0.2831934391115088
mexico,banco_bajio,Banco Del Bajío,market,2015-03-31,2015,3,136614.697262,123020.045751,13594.651511,121936.236205,1083.809546,124.486948,417.3230290000001,0.2982987742092708
mexico,banco_bajio,Banco del Bajío,market,2015-04-30,2015,4,136440.749191,122716.764819,13723.984372,121625.869088,1090.895731,129.150845,413.471155,0.3123575694173878
mexico,banco_bajio,Banco del Bajío,market,2015-05-31,2015,5,141522.839481,127684.664314,13838.175167,126586.397462,1098.266852,113.99421099999996,432.5305429999999,0.2635518181198131
mexico,banco_bajio,Banco Del Bajío,market,2015-06-30,2015,6,139130.205151,125171.662632,13958.542519,124066.215019,1105.447613,120.05578200000002,437.6199180000003,0.2743380204188967
mexico,banco_bajio,Banco del Bajío,market,2015-07-31,2015,7,140167.731116,126088.526205,14079.204911,124975.609144,1112.917061,124.83760600000004,476.701212,0.2618780965046089
mexico,banco_bajio,Banco del Bajío,market,2015-08-31,2015,8,144616.79775,130417.275265,14199.522485,129296.838286,1120.436979,120.31757399999992,452.15543899999966,0.2660978142076491
mexico,banco_bajio,Banco Del Bajío,market,2015-09-30,2015,9,146466.92318,132136.763365,14330.159815,131009.000671,1127.762694,130.63733000000013,455.0527220000004,0.287081746101499
mexico,banco_bajio,Banco del Bajío,market,2015-10-31,2015,10,148399.536571,133967.432689,14432.103882,132832.049766,1135.382923,101.9440669999999,471.286415,0.216310217641219
mexico,banco_bajio,Banco del Bajío,market,2015-11-30,2015,11,151565.849938,137011.42699,14554.422948,135868.62063000002,1142.80636,122.31906600000002,478.9580959999994,0.2553857362920538
mexico,banco_bajio,Banco Del Bajío,market,2015-12-31,2015,12,151437.227327,136631.097432,14806.129895,135480.569194,1150.528238,177.47468099999992,544.5450260000007,0.3259136940496077
mexico,banco_bajio,Banco del Bajío,market,2016-01-31,2016,1,163050.6332,147702.928324,15347.704876,146544.626032,1158.302292,144.512554,480.281867,0.3008911306659845
mexico,banco_bajio,Banco del Bajío,market,2016-02-29,2016,2,158214.728513,142682.860885,15531.867628,141517.238542,1165.622343,153.57898300000002,460.001044,0.3338665966158112
mexico,banco_bajio,Banco Del Bajío,market,2016-03-31,2016,3,160144.894565,144439.014389,15705.880176,143265.516002,1173.498387,174.01254799999998,498.2202359999999,0.3492683263872887
mexico,banco_bajio,Banco del Bajío,market,2016-04-30,2016,4,165503.613541,149661.000867,15842.612674,148479.829834,1181.171033,151.68768200000005,488.1264580000002,0.3107548863905263
mexico,banco_bajio,Banco del Bajío,market,2016-05-31,2016,5,165356.633996,149330.616476,16026.01752,148141.46433699998,1189.152139,181.20521999999997,505.6963270000001,0.3583281315784599
mexico,banco_bajio,Banco Del Bajío,market,2016-06-30,2016,6,175456.166489,159241.614114,16214.552375,158044.686981,1196.927133,188.534855,511.6936679999999,0.3684525855809496
mexico,banco_bajio,Banco del Bajío,market,2016-07-31,2016,7,163690.780651,147273.833147,16416.947504,146068.818445,1205.014702,202.3951290000001,532.0323439999997,0.3804188434829447
mexico,banco_bajio,Banco del Bajío,market,2016-08-31,2016,8,163211.881379,146594.465424,16617.415955,145381.308506,1213.156918,200.468451,513.5294360000003,0.3903738265940413
mexico,banco_bajio,Banco Del Bajío,market,2016-09-30,2016,9,170071.217297,153250.357217,16820.86008,152029.268355,1221.088862,203.444125,542.7282300000002,0.3748545105162484
mexico,banco_bajio,Banco del Bajío,market,2016-10-31,2016,10,170233.715959,153202.885352,17030.830607,151973.54566200002,1229.33969,209.97052699999995,578.4007359999996,0.3630191214002883
mexico,banco_bajio,Banco del Bajío,market,2016-11-30,2016,11,173152.943063,155900.764379,17252.178684,154663.386938,1237.377441,215.443074,589.7328070000003,0.3653231962725111
mexico,banco_bajio,Banco Del Bajío,market,2016-12-31,2016,12,176206.735345,158748.422827,17458.312518,157502.684496,1245.738331,220.14570100000012,652.6039380000002,0.337334312867723
mexico,banco_bajio,Banco del Bajío,market,2017-01-31,2017,1,174024.003563,156338.68965,17685.313913,155084.533936,1254.155714,264.425609,678.257372,0.389860280058998
mexico,banco_bajio,Banco del Bajío,market,2017-02-28,2017,2,176276.184438,158339.155643,17937.028795,157077.34825500002,1261.807388,259.77643,615.8057269999999,0.4218480254568987
mexico,banco_bajio,Banco Del Bajío,market,2017-03-31,2017,3,174516.932448,156298.671,18218.261448,155028.337651,1270.333349,281.30032199999994,699.167138,0.4023363037408659
mexico,banco_bajio,Banco del Bajío,market,2017-04-30,2017,4,175874.038322,157366.351148,18507.687174,156087.71202099998,1278.639127,290.3464090000001,692.2002190000001,0.4194543732151002
mexico,banco_bajio,Banco del Bajío,market,2017-05-31,2017,5,177249.594414,158863.735143,18385.859271,157576.456323,1287.27882,320.27839900000004,710.1661330000002,0.4509908092167498
mexico,banco_bajio,Banco Del Bajío,market,2017-06-30,2017,6,179348.196926,157255.945404,22092.251522,155960.250012,1295.695392,330.002606,734.2798829999997,0.4494234605089952
mexico,banco_bajio,Banco del Bajío,market,2017-07-31,2017,7,175358.471897,152930.385771,22428.086126,151625.935438,1304.450333,335.87556599999994,778.1516030000003,0.4316325568245341
mexico,banco_bajio,Banco del Bajío,market,2017-08-31,2017,8,182840.055009,160064.823541,22775.231468,158751.55911099998,1313.26443,346.621083,782.6329919999998,0.4428909674689513
mexico,banco_bajio,Banco Del Bajío,market,2017-09-30,2017,9,184380.334257,161263.980443,23116.353814,159942.12954,1321.850903,356.7772,767.5278689999996,0.4648394076749807
mexico,banco_bajio,Banco del Bajío,market,2017-10-31,2017,10,186992.690379,163506.812587,23485.877792,163506.812587,0.0,373.706991,778.0393080000003,0.4803189082575245
mexico,banco_bajio,Banco del Bajío,market,2017-11-30,2017,11,190198.4134,166371.250977,23827.162423,166371.250977,0.0,354.5762529999997,782.5887009999997,0.453081232257658
mexico,banco_bajio,Banco Del Bajío,market,2017-12-31,2017,12,186409.023778,162172.211937,24236.811841,162172.211937,0.0,401.28638500000034,828.0433220000004,0.4846200365830619
mexico,banco_bajio,Banco del Bajío,market,2018-01-31,2018,1,193333.190474,168738.633325,24594.557149,168738.633325,0.0,395.751822,849.851467,0.4656717524969572
mexico,banco_bajio,Banco del Bajío,market,2018-02-28,2018,2,191153.692262,166246.858797,24906.833465,166246.858797,0.0,346.88125499999995,778.2230260000001,0.4457350186397593
